field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
branch_point,branch point,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_branch_point,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
directive_bytes,directive bytes,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_directive_bytes,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
directive_sha256,directive sha256,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_directive_sha256,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
generated_at,generated at,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_generated_at,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
initial_head,initial head,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_initial_head,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
outer_source_zip_bytes,outer source zip bytes,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_outer_source_zip_bytes,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
outer_source_zip_sha256,outer source zip sha256,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_outer_source_zip_sha256,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
protected_branch,protected branch,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_protected_branch,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
protected_head,protected head,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_protected_head,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
prs,prs,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_prs,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
repository,repository,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_repository,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
requirements,requirements,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_requirements,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
sources,sources,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_sources,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
v1_zip_bytes,v1 zip bytes,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_v1_zip_bytes,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
v1_zip_sha256,v1 zip sha256,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_v1_zip_sha256,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
work_branch,work branch,string,required,see schema or controlled vocabulary where applicable,empty means unavailable or not applicable only where documented,00_PROGRAM_CONTROL/SOURCE_AUTHENTICATION_AND_REPOSITORY_RECONCILIATION.json,required column present; non-empty unless explicitly allowed,example_work_branch,"must not infer adoption, activation, implementation, production, merge, or certification authority","linked by stable ID, source path, PR number, or document number where applicable"
