defect_id,expected_role,finding_id,detected,observed_severity,severity_acceptable,blocking_if_missed
A04-DEF-001,ES-RA-04,ES-RA-04-F-005,True,P1_BLOCKING,True,True
A04-DEF-002,ES-RA-02,ESRA02-002,True,P1_BLOCKING,True,True
A04-DEF-002,ES-RA-04,ES-RA-04-F-002,True,P1_BLOCKING,True,True
A04-DEF-002,ES-RA-05,ESRA05-F001,True,P1_BLOCKING,True,True
A04-DEF-003,ES-RA-04,ES-RA-04-F-001,True,P1_BLOCKING,True,True
A04-DEF-003,ES-RA-05,ESRA05-F006,True,P1_BLOCKING,True,True
A04-DEF-004,ES-RA-04,ES-RA-04-F-003,True,P1_BLOCKING,True,True
A04-DEF-004,ES-RA-05,ESRA05-F001,True,P1_BLOCKING,True,True
A04-DEF-005,ES-RA-02,ESRA02-004,True,FOUNDER_DECISION_REQUIRED,False,True
A04-DEF-005,ES-RA-05,ESRA05-F002,True,FOUNDER_DECISION_REQUIRED,False,True
A04-DEF-006,ES-RA-02,ESRA02-007,True,P2_NONBLOCKING,True,False
A04-DEF-006,ES-RA-05,ESRA05-F004,True,P2_NONBLOCKING,True,False
A04-DEF-007,ES-RA-02,ESRA02-008,True,P1_BLOCKING,True,True
A04-DEF-007,ES-RA-03,ESRA03-F-006,True,OBSERVATION,False,True
A04-DEF-008,ES-RA-02,ESRA02-005,True,P1_BLOCKING,True,True
A04-DEF-008,ES-RA-03,ESRA03-F-006,True,OBSERVATION,False,True
A04-DEF-009,ES-RA-03,ESRA03-F-006,True,OBSERVATION,False,True
A04-DEF-010,ES-RA-03,ESRA03-F-007,True,P2_NONBLOCKING,True,True
A04-DEF-010,ES-RA-04,ES-RA-04-F-009,True,P2_NONBLOCKING,True,True
A04-DEF-010,ES-RA-05,ESRA05-F005,True,P2_NONBLOCKING,True,True
A04-DEF-011,ES-RA-03,ESRA03-F-006,True,OBSERVATION,False,True
A04-DEF-011,ES-RA-05,ESRA05-F003,True,P1_BLOCKING,True,True
A04-DEF-012,ES-RA-04,ES-RA-04-F-004,True,P1_BLOCKING,True,True
