family_key,source_path,canonical_path,relationship,source_sha256,canonical_sha256,source_byte_length,canonical_byte_length
ACCEPTANCE_CRITERIA,governance/pia/items/02_facility_tenant_organizational_structure/source_package/ES-PIA-FACILITY-TENANT-ORGANIZATION-V1.1.0/ACCEPTANCE_CRITERIA.csv,governance/pia/items/04_horse_identity_profile_lifecycle/source_package/ITEM_04_FOUNDER_APPROVED_V0_3/ACCEPTANCE_CRITERIA.csv,related_historical_duplicate_draft_or_predecessor,4926c07f07cd99ae5d25a3b88f274714494690c3723954ed0db8bc46be72c758,111baa87489ba4c9d462dadc4ae082338b6df45e89ec40783598ece008501353,11013,8339
ACCEPTANCE_CRITERIA,governance/pia/items/03_relationship_authorization_permission/source_package/ITEM_03_STRENGTHENED_V0_2/ACCEPTANCE_CRITERIA.csv,governance/pia/items/04_horse_identity_profile_lifecycle/source_package/ITEM_04_FOUNDER_APPROVED_V0_3/ACCEPTANCE_CRITERIA.csv,related_historical_duplicate_draft_or_predecessor,118034ded5c956c83cd29de61fddf8181acdd807fd3c46e85424d95455388b10,111baa87489ba4c9d462dadc4ae082338b6df45e89ec40783598ece008501353,5585,8339
ACCEPTANCE_CRITERIA,governance/pia/items/04_horse_identity_profile_lifecycle/source_package/ITEM_04_FOUNDER_APPROVED_V0_3/ACCEPTANCE_CRITERIA.csv,governance/pia/items/04_horse_identity_profile_lifecycle/source_package/ITEM_04_FOUNDER_APPROVED_V0_3/ACCEPTANCE_CRITERIA.csv,canonical,111baa87489ba4c9d462dadc4ae082338b6df45e89ec40783598ece008501353,111baa87489ba4c9d462dadc4ae082338b6df45e89ec40783598ece008501353,8339,8339
ACCEPTANCE_CRITERIA,governance/pia/items/05_core_navigation_search_application_shell/source_branch_tree/docs/canon/reviews/core_navigation_search_application_shell_pia_v0_4_0/01_complete_documentary_package/03_registers/ACCEPTANCE_CRITERIA.csv,governance/pia/items/04_horse_identity_profile_lifecycle/source_package/ITEM_04_FOUNDER_APPROVED_V0_3/ACCEPTANCE_CRITERIA.csv,related_historical_duplicate_draft_or_predecessor,22011691d83c80adda11e0c6f38e5f355aedcea45a1ed062acf1238bf59ee583,111baa87489ba4c9d462dadc4ae082338b6df45e89ec40783598ece008501353,31770,8339
ACCEPTANCE_CRITERIA,governance/pia/items/06_task_calendar_scheduling_notification/source_package/ES-PIA-TASK-CALENDAR-SCHEDULING-NOTIFICATION-V0.3.0-CANONICAL-CONFORMANCE-FRESH-STRUCTURED-REVIEW/ACCEPTANCE_CRITERIA.csv,governance/pia/items/04_horse_identity_profile_lifecycle/source_package/ITEM_04_FOUNDER_APPROVED_V0_3/ACCEPTANCE_CRITERIA.csv,related_historical_duplicate_draft_or_predecessor,f8b3ea3bebe9079a63966560cf38077e454d5c323feb86919813717dfaa07e21,111baa87489ba4c9d462dadc4ae082338b6df45e89ec40783598ece008501353,9983,8339
ADOPTION_CANDIDATE_CHECKLIST,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADOPTION_CANDIDATE_CHECKLIST.md,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADOPTION_CANDIDATE_CHECKLIST.md,canonical,eb8e5d8a7ca196d7572c918992d4bccab1b59954bbacb048ee6949e85d4f7ca6,eb8e5d8a7ca196d7572c918992d4bccab1b59954bbacb048ee6949e85d4f7ca6,1629,1629
ADOPTION_CANDIDATE_CHECKLIST,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-01/ADOPTION_CANDIDATE_CHECKLIST.md,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADOPTION_CANDIDATE_CHECKLIST.md,related_historical_duplicate_draft_or_predecessor,92d55200642d6086fcc42733cb32b57230765f71be59da6184280253828ba6ff,eb8e5d8a7ca196d7572c918992d4bccab1b59954bbacb048ee6949e85d4f7ca6,1629,1629
ADOPTION_CANDIDATE_CHECKLIST,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-10/ADOPTION_CANDIDATE_CHECKLIST.md,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADOPTION_CANDIDATE_CHECKLIST.md,related_historical_duplicate_draft_or_predecessor,479fbf7a5fe47d6df0e018da81101f7c556ee02e7e30e16c56af3b6d59855e2c,eb8e5d8a7ca196d7572c918992d4bccab1b59954bbacb048ee6949e85d4f7ca6,1629,1629
ADOPTION_CANDIDATE_CHECKLIST,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-13/ADOPTION_CANDIDATE_CHECKLIST.md,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADOPTION_CANDIDATE_CHECKLIST.md,related_historical_duplicate_draft_or_predecessor,d820cd86082c31dbf3c7fdc23cf21343e751f4e06321a12c510dddc3bfc36877,eb8e5d8a7ca196d7572c918992d4bccab1b59954bbacb048ee6949e85d4f7ca6,1629,1629
ADVERSARIAL_REVIEW,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADVERSARIAL_REVIEW.md,governance/implementation/code-guides/drafting/CGP-006/WAVE_1_V1_1_GUIDE_COMPLETION_AND_ADOPTION_CANDIDATE_PREPARATION/guides/ES-CG-00/ADVERSARIAL_REVIEW.md,canonical,ccfbe0b9bac5708a9550d2ec46b0d01de6ae41ab90b8500291e4d50f14aac595,ccfbe0b9bac5708a9550d2ec46b0d01de6ae41ab90b8500291e4d50f14aac595,336,336
