row_id,source_register,artifact_id,issue_type,severity,blocker_scope,recommended_action,can_code_comparison_proceed,must_fix_before_code_mutation,must_fix_before_runtime_mutation,must_fix_before_production,source_path_or_paths,source_row_evidence
TRIAGE-00001,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md,- audit finding opened;
TRIAGE-00002,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_ADOPTED_SOURCE,HISTORICAL_SUPERSEDED_DRAFT_OR_NONBLOCKING_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Keep as historical/provenance context; use canonical_path for comparison.,YES,NO,NO,NO_UNLESS_PUBLIC_CLAIM_RELIES_ON_CLOSURE,docs/canon/adopted_sources/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_1_ADOPTED_SOURCE.md,"P0 is 0. P1 is 0. Six P2 obligations remain for jurisdiction registries, retention, exact Privacy dependency, scenario depth, qualified review, and machine dependency/orphan scans. They are nonblocking for adoption revie"
TRIAGE-00003,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,"The participant may view assigned schedules and permitted horse information, acknowledge or complete low-risk supervised tasks, submit concerns, and exercise age-appropriate assent or refusal. High-risk, medical, financi"
TRIAGE-00004,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,"- generate a risk score, grooming score, credibility score, or propensity score for a protected participant or adult;"
TRIAGE-00005,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,"All policy P1 findings identified in the controlled reconciliation are resolved for adoption-candidate preparation. Six nonblocking P2 obligations remain for exact machine-source recovery, jurisdiction and legal-readines"
TRIAGE-00006,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,| P2
TRIAGE-00007,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,6
TRIAGE-00008,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_MINOR_GUARDIANSHIP_SAFEGUARDING_AND_PROTECTED_PARTICIPANT_MODEL_V1_2_ADOPTED_SOURCE.md,"Retained, assigned, and nonblocking for adoption review; blocking before affected implementation or claims |"
TRIAGE-00009,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE,NONBLOCKING_RETAINED_OR_HISTORICAL_ROW,P3,RETAIN_DURING_CODE_COMPARISON,Retain as context during comparison; do not close by accession.,YES,NO,NO,NO,docs/canon/adopted_sources/MASTER_PLATFORM_EXTENSIBILITY_AND_PLUGIN_GOVERNANCE_MODEL_V2_0_ADOPTED_SOURCE.md,"Review findings, approvals, exceptions, remediation, test evidence, and reassessment decisions must be retained according to applicable evidence and retention governance."
TRIAGE-00010,RETAINED_OPEN_FINDINGS_AND_RESIDUAL_RISK_REGISTER.csv,MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE,AUTHORITY_BOUNDARY_OR_LATER_MUTATION_GATE,P2,BLOCKS_LATER_MUTATION_OR_PUBLIC_AUTHORITY_NOT_READ_ONLY_COMPARISON,"Carry forward as a gate; require Founder disposition/evidence before mutation, runtime, production, launch, certification, or public claims.",YES,YES,YES,YES,docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md,"- no P0 or P1 ambiguity remains regarding record identity, stewardship, authority, correction, transfer, retention, legal hold, privacy erasure, historical access, or disposal;"
