row_id,source_path,reason_excluded,blocker_scope,required_action_before_comparison,founder_disposition_required,second_reviewer_or_outside_review_closure_required
UNASSESSED-00001,docs/OFFLINE_SECURITY_MODEL.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00002,docs/REFINEMENT_MASTER_FIX_LIST.md,Comparison blocker in triage register,BLOCKS_AFFECTED_FEATURE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00003,docs/RF12_BILLING_PAYMENTS_EXPORTS_FINANCIAL_TRUTH_PLAN.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00004,docs/RF13_MESSAGING_NOTIFICATIONS_DELIVERY_TRUTH_PLAN.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00005,docs/RF14_DOCUMENTS_SIGNATURES_STORAGE_CONSOLIDATION_PLAN.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00006,docs/RF15_OFFLINE_LOCK_SCREEN_FIELD_RELIABILITY_PLAN.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00007,docs/RF16_PWA_NATIVE_APP_STORE_READINESS_PLAN.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00008,docs/RF18_QA_UAT_PUBLIC_LAUNCH_READINESS_PLAN.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00009,docs/RF4_FEATURE_COMPLETION_CERTIFICATION.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00010,docs/canon/MASTER_ANALYTICS_FRAMEWORK.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00011,docs/canon/MASTER_ATLAS_GOVERNANCE.md,Comparison blocker in triage register,BLOCKS_AFFECTED_FEATURE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00012,docs/canon/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00013,docs/canon/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00014,docs/canon/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00015,docs/canon/MASTER_RELATIONSHIP_MODEL.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00016,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_ALIGNMENT_REPORT.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00017,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_CANON_INDEX_PROPOSAL.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00018,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_DELTA_MATRIX.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00019,docs/canon/MASTER_RELATIONSHIP_MODEL_V2_0_FINAL_CANDIDATE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00020,docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00021,docs/canon/adopted_sources/MASTER_COMMUNICATION_NOTIFICATION_AND_NOTICE_MODEL_V2_0_ADOPTED_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00022,docs/canon/adopted_sources/MASTER_MEDIA_FILES_AND_DIGITAL_ASSET_GOVERNANCE_MODEL_V2_1_ADOPTED_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00023,docs/canon/adopted_sources/MASTER_PLATFORM_RESILIENCE_BACKUP_AND_RECOVERY_OPERATIONAL_MODEL_V1_0_ADOPTED_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00024,docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md,Historical/draft/superseded row not permitted by canonical filter,UNASSESSED_HISTORICAL_SCOPE,Use canonical successor path if available,NO,NO
UNASSESSED-00025,docs/canon/adoptions/c0_004_master_product_vision/C0_004_MASTER_PRODUCT_VISION_CONSTITUTIONAL_ADOPTION_RECORD.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00026,docs/canon/adoptions/c0_004_master_product_vision/MASTER_PRODUCT_VISION_V2_1_ADOPTED_PRE_LOCK.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
UNASSESSED-00027,docs/canon/adoptions/c0_004_master_product_vision/history/MASTER_PRODUCT_VISION_V2_1_PRE_ADOPTION_FOUNDER_APPROVED.md,Comparison blocker in triage register,BLOCKS_UNCONSTRAINED_CODE_TO_GOVERNANCE_COMPARISON,Resolve or explicitly scope/pin canonical source before comparison,YES,NO
