artifact_id,title,artifact_family,tier,current_status,authority_status,founder_decision_status,merge_status,adoption_status,implementation_authority_status,lock_status,production_authority_status,source_path,canonical_path,commit_sha,sha256,byte_length,predecessor_successor,supersession_status,retained_open_findings,linked_prs,linked_founder_directives,linked_review_packages
AI_CODING_PROMPTS,AI_CODING_PROMPTS.md,governance adjacent artifact,Unassigned governance tier,STATUS_NOT_EXPLICITLY_EXTRACTED,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,docs/AI_CODING_PROMPTS.md,docs/AI_CODING_PROMPTS.md,f5b2973c9a796d6864607dcae42aa6c89f894250,0aedc603f1282a216b173c044fb15de0b3b688fc5ae3a42cd54d0f8188884383,1885,,CANONICAL_OR_CURRENT_INFERRED,,,,"Review: authentication, authorization, tenant isolation, secrets handling, API security. | Review workflow for mobile usage. Optimize: layout, spacing, touch targets, performance. Preserve existing functionality. | Review feature. Create: happy-path tests, edge-case tests, permission tests, tenant isolation tests. Report coverage gaps."
API_CONTRACTS,API_CONTRACTS.md,governance adjacent artifact,Unassigned governance tier,| POST | `/api/auth/login` | Rate-limited. 403 if `ENFORCE_EMAIL_VERIFICATION=true` and user unverified. **423** if account is temporarily locked (brute-force lockout). |,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/API_CONTRACTS.md,docs/API_CONTRACTS.md,f5b2973c9a796d6864607dcae42aa6c89f894250,9b3ab185502813ac12d5f14bc0c22a08fca5a02ec182c8549e4891ee2a223f23,3095,,CANONICAL_OR_CURRENT_INFERRED,,,,
API_VERSIONING,API_VERSIONING.md,governance adjacent artifact,Unassigned governance tier,STATUS_NOT_EXPLICITLY_EXTRACTED,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,docs/API_VERSIONING.md,docs/API_VERSIONING.md,f5b2973c9a796d6864607dcae42aa6c89f894250,9514986f575e9246deada22dbf25433d8b9e1421719a5626dbb645a71f287f91,547,,CANONICAL_OR_CURRENT_INFERRED,,,,
APP_STORE_PRODUCTION_READINESS,App Store Production Readiness,governance adjacent artifact,Unassigned governance tier,Status: BN18E Codex-reviewed and locked. Native App Store / Google Play launch | readiness is blocked unless founder explicitly defers app-store distribution | Current classification: App Store / Google Play readiness is blocked. | | Account deletion | Blocked | No deletion route/URL found | Apps with account creation need in-app initiation before store submission. |,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,FOUNDER_REFERENCE_PRESENT,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/APP_STORE_PRODUCTION_READINESS.md,docs/APP_STORE_PRODUCTION_READINESS.md,f5b2973c9a796d6864607dcae42aa6c89f894250,65f4e7bcc521405a21c9d40256e30226dbb25a3d8a4e1b6f901dbcf682e4e9e6,9114,,CANONICAL_OR_CURRENT_INFERRED,,,readiness is blocked unless founder explicitly defers app-store distribution | | App name | Equine-Sync / EquineSync | Founder final required | | | Category | Likely Business/Productivity; founder/legal must confirm | Missing |,Status: BN18E Codex-reviewed and locked. Native App Store / Google Play launch | - Reviewer note bundle or safe review-account package. | - Apple app review readiness:
ARCHITECTURE,ARCHITECTURE.md,governance adjacent artifact,Unassigned governance tier,STATUS_NOT_EXPLICITLY_EXTRACTED,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,docs/ARCHITECTURE.md,docs/ARCHITECTURE.md,f5b2973c9a796d6864607dcae42aa6c89f894250,bc31ec7882aa7c6c2ba7b0a15abc0b10365ed410d18cd9f35ac3c89b0992741c,5224,,CANONICAL_OR_CURRENT_INFERRED,,,,
AUDIT_LOGGING,Audit Logging (Phase 5),governance adjacent artifact,Unassigned governance tier,"## Design principles (locked) | 1. **Fail-open.** `audit.record(...)` never raises to the caller and never | - `await record(..., _db=None)` — fail-open append (`_db` lets tests inject a fake collection). | - **Auth/session:** `auth.login.success`, `auth.login.failure`, `auth.login.locked`,",AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/AUDIT_LOGGING.md,docs/AUDIT_LOGGING.md,f5b2973c9a796d6864607dcae42aa6c89f894250,b0341f8b2494e72dcf6db2c1dfc900dd136266a188bfceaaa35021649ea75c37,7292,,CANONICAL_OR_CURRENT_INFERRED,,,,`delete_many({})` on the shared DB); verified by code review + the denied-gate test
BILLING_REFERENCE,BILLING_REFERENCE.md,governance adjacent artifact,Unassigned governance tier,"due_date, status, # status ∈ {open, paid, overdue} | `period_key`, `source=""recurring""`, `status=""open""`, | ## 6. Audit events (fail-open, non-sensitive metadata only) | invoices (7D-1). The owner UI (`OwnerBillingCard.jsx`) shows open balance,",AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,docs/BILLING_REFERENCE.md,docs/BILLING_REFERENCE.md,f5b2973c9a796d6864607dcae42aa6c89f894250,0d48ed3292ced674d4ab95c25c3e26d825e0e6981b81eebd359e6896a8f0e283,8048,,CANONICAL_OR_CURRENT_INFERRED,,,,
BN20,BN20 / BN12 Launch Closure,implementation governance,Unassigned governance tier,Status: BN20 Codex-reviewed and locked. Ready for BN21 pilot go/no-go review. | chain after BN19 founder acceptance. It confirms that the next step is BN21 | | BN19 founder acceptance ledger | Accepted and locked | Founder accepted web-first / PWA-assisted pilot posture and deferred native App Store / Google Play distribution. | | | BN18C UAT role refresh | Present / ready for founder review | TP-1 through TP-11 role evidence remains the current UAT role-evidence basis. |,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,FOUNDER_REFERENCE_PRESENT,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/BN20_BN12_LAUNCH_CLOSURE.md,docs/BN20_BN12_LAUNCH_CLOSURE.md,f5b2973c9a796d6864607dcae42aa6c89f894250,a05cabf938783362900f08c521b21c1022485c7da5abfb09a5b9cf01ff39f858,3192,,CANONICAL_OR_CURRENT_INFERRED,,,chain after BN19 founder acceptance. It confirms that the next step is BN21 | | BN19 founder acceptance ledger | Accepted and locked | Founder accepted web-first / PWA-assisted pilot posture and deferred native App Store / Google Play distribution. | | | BN18C UAT role refresh | Present / ready for founder review | TP-1 through TP-11 role evidence remains the current UAT role-evidence basis. |,Status: BN20 Codex-reviewed and locked. Ready for BN21 pilot go/no-go review. | first-client pilot go/no-go review for a web-first / PWA-assisted pilot only. | | BN18C UAT role refresh | Present / ready for founder review | TP-1 through TP-11 role evidence remains the current UAT role-evidence basis. |
BN21,BN21 First-Client Pilot Go/No-Go,implementation governance,Unassigned governance tier,Status: BN21 is Codex-reviewed and locked. Evidence result is go for web-first | BN21 turns locked BN20 closure evidence into the first-client pilot go/no-go | | BN20 / BN12 closure | Present / locked | Closure evidence is ready for BN21. | | | BN19 founder acceptance | Present / accepted | Founder accepted web-first / PWA-assisted pilot and deferred native App Store / Google Play distribution. |,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,FOUNDER_REFERENCE_PRESENT,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/BN21_FIRST_CLIENT_PILOT_GO_NO_GO.md,docs/BN21_FIRST_CLIENT_PILOT_GO_NO_GO.md,f5b2973c9a796d6864607dcae42aa6c89f894250,45e26cb3b49cf60e3d7d25c96f3bd091158216795ae6ef40cd754842c4d0f2b8,2474,,CANONICAL_OR_CURRENT_INFERRED,,,| BN19 founder acceptance | Present / accepted | Founder accepted web-first / PWA-assisted pilot and deferred native App Store / Google Play distribution. |,Status: BN21 is Codex-reviewed and locked. Evidence result is go for web-first | | First-client pilot | Go for web-first pilot | Go applies only to first-client web-first / PWA-assisted pilot review. | | | Production environment | Go for pilot review | Does not approve broad public launch. |
BN22,BN22A Capacitor Native Readiness + Shell Integration,implementation governance,Unassigned governance tier,- add broad offline/PWA claims beyond locked BN18D limits; | - mark founder acceptance automatically; | founder-approved packaging exception is recorded. | ## Founder Decision Rows,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,FOUNDER_REFERENCE_PRESENT,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,docs/BN22A_CAPACITOR_NATIVE_READINESS_PLAN.md,f5b2973c9a796d6864607dcae42aa6c89f894250,28e3defb9cc517635acb6075f7e85f5ae0e3ef65fb8abceb6f387cf67a484ac1,3522,,CANONICAL_OR_CURRENT_INFERRED,,,- mark founder acceptance automatically; | founder-approved packaging exception is recorded. | ## Founder Decision Rows,"native iOS and Android shell that can be reviewed for TestFlight and Google | - configure app identity and bundle/package naming; | billing-policy, and review-note gaps."
BRAND_AND_LOGO_GUIDE,BRAND_AND_LOGO_GUIDE.md,governance adjacent artifact,Unassigned governance tier,STATUS_NOT_EXPLICITLY_EXTRACTED,CONTROLLING_OR_AUTHORITY_TEXT_PRESENT,NOT_EXPLICITLY_ESTABLISHED,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,docs/BRAND_AND_LOGO_GUIDE.md,docs/BRAND_AND_LOGO_GUIDE.md,f5b2973c9a796d6864607dcae42aa6c89f894250,0133c6455ad14d3f5e01569f6f3471e9e7e1f4509e3936e237fb1da43f347a8d,6416,,CANONICAL_OR_CURRENT_INFERRED,,,,
BUILD_NEXT_12_CURRENT_INPUTS_STATUS,Build-Next-12 Current Inputs Status,implementation governance,Unassigned governance tier,| Environment label | production-like hosted environment; founder must confirm whether this is official staging or production | needs founder label | | | Stripe readiness | backend is configured enough for startup/catalog provisioning; controlled live-safe checkout/webhook proof still pending | pending proof | | | DocuSign readiness | connector/webhook phases are built; live-safe disposable envelope/webhook proof still pending | pending proof | | Official staged role-account readiness still needs founder/operator,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,FOUNDER_REFERENCE_PRESENT,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/BUILD_NEXT_12_CURRENT_INPUTS_STATUS.md,docs/BUILD_NEXT_12_CURRENT_INPUTS_STATUS.md,f5b2973c9a796d6864607dcae42aa6c89f894250,cbab7ad6dc1d0124fa0b5f97a3389163d1b7f7593be6a255cc958a575eef7f99,3915,,CANONICAL_OR_CURRENT_INFERRED,,,"| Environment label | production-like hosted environment; founder must confirm whether this is official staging or production | needs founder label | | Official staged role-account readiness still needs founder/operator | role-account proof, provider proof, and final founder staging/production label",
BUILD_NEXT_12_ROLE_READINESS_CHECKLIST,Build-Next-12 Role Account Readiness Checklist,implementation governance,Unassigned governance tier,| `pending` | Account not yet confirmed. | | | `blocked` | Account cannot be used until a setup issue is fixed. | | | `founder-accepted` | Rian explicitly accepts a caveat for first-client pilot only. | | | UAT-R1 | Platform admin | pending | Confirm platform admin can sign in and reach Admin Portal. |,AUTHORITY_NOT_EXPLICITLY_ESTABLISHED,FOUNDER_REFERENCE_PRESENT,REPOSITORY_CURRENT_AT_HEAD,NOT_EXPLICITLY_ESTABLISHED,NOT_ESTABLISHED_BY_ACCESSION,LOCKED_OR_LOCK_RECORDED,NOT_ESTABLISHED_BY_ACCESSION,docs/BUILD_NEXT_12_ROLE_READINESS_CHECKLIST.md,docs/BUILD_NEXT_12_ROLE_READINESS_CHECKLIST.md,f5b2973c9a796d6864607dcae42aa6c89f894250,b387cb25daaa03866a46384bef1ce52cf1e2ca0772d77a3765fd20aa50d375a4,3315,,CANONICAL_OR_CURRENT_INFERRED,,,"| `founder-accepted` | Rian explicitly accepts a caveat for first-client pilot only. | | walked through with sanitized evidence, or explicitly founder-accepted by Rian",
