classification_record_id,source_or_document_id,source_id,source_layer,repository_path,title,source_family,source_class,authority_status,primary_guide_family,related_guide_families,primary_classification,normative_status,source_freeze_status,controlling_or_contextual_role,provenance,immutable_commit_or_checksum,conflict_status,classification_basis,review_status,required_later_action,notes
CGP006-CL-0001,CGP005-RC-0001,CGSRC-ARCH-0001,CGP005_REFERENCE_CORPUS_ROW,docs/API_CONTRACTS.md,API_CONTRACTS.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,9b3ab185502813ac12d5f14bc0c22a08fca5a02ec182c8549e4891ee2a223f23,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0002,CGP005-RC-0002,CGSRC-ARCH-0002,CGP005_REFERENCE_CORPUS_ROW,docs/API_VERSIONING.md,API_VERSIONING.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,9514986f575e9246deada22dbf25433d8b9e1421719a5626dbb645a71f287f91,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0003,CGP005-RC-0003,CGSRC-ARCH-0003,CGP005_REFERENCE_CORPUS_ROW,docs/ARCHITECTURE.md,ARCHITECTURE.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,bc31ec7882aa7c6c2ba7b0a15abc0b10365ed410d18cd9f35ac3c89b0992741c,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0004,CGP005-RC-0004,CGSRC-ARCH-0004,CGP005_REFERENCE_CORPUS_ROW,docs/AUDIT_LOGGING.md,Audit Logging (Phase 5),REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,b0341f8b2494e72dcf6db2c1dfc900dd136266a188bfceaaa35021649ea75c37,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0005,CGP005-RC-0005,CGSRC-ARCH-0005,CGP005_REFERENCE_CORPUS_ROW,docs/CARE_WORKFLOW_STRENGTHENING.md,Care Workflow Strengthening (Phase 6),REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,ab9034a378db744ececec2c577b13045a7141a67dc57ddd0187b174de6e3e93d,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0006,CGP005-RC-0006,CGSRC-ARCH-0006,CGP005_REFERENCE_CORPUS_ROW,docs/DATA_MODEL.md,DATA_MODEL.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,2e6c1a4ec0a0693474d622b3c82a3a1792fa303ad02cb9960e4011c29242c6d0,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0007,CGP005-RC-0007,CGSRC-ARCH-0007,CGP005_REFERENCE_CORPUS_ROW,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,Field Reliability Offline Matrix,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,ce61a028ae65adffa1ad32653b32bd98a360537fcae61306e60bb7131b447180,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0008,CGP005-RC-0008,CGSRC-ARCH-0008,CGP005_REFERENCE_CORPUS_ROW,docs/INCIDENT_RESPONSE.md,INCIDENT_RESPONSE.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,49f5fc4e7932b0f3b562c91303e31c248e26a7b2ffa1e2fff1e2facc6b298377,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0009,CGP005-RC-0009,CGSRC-ARCH-0009,CGP005_REFERENCE_CORPUS_ROW,docs/OBSERVABILITY.md,OBSERVABILITY.md,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,063b8cdad20c20c4e8f5226ca319628d1024f0788c51ee0917812de31285cac2,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-CL-0010,CGP005-RC-0010,CGSRC-ARCH-0010,CGP005_REFERENCE_CORPUS_ROW,docs/OFFLINE_IMPLEMENTATION_PLAN.md,Offline Implementation Plan,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,APPROVED_ARCHITECTURE,SUPPORTING,ES-CG-00,ES-CG-00;ES-CG-01;ES-CG-13,REFERENCE_ONLY_NON_NORMATIVE,NON_NORMATIVE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,REFERENCE_CONTEXT_ONLY,governance/implementation/code-guides/receipts/CGP_005_EXECUTION_RECEIPT.md,394860ce01b4fdeb12dfdd121ff72d01bcbfeb551242d923c435cb4c6a1de8b5,NO_KNOWN_BLOCKING_CONFLICT,CGP-005 reference corpus row retained for discovery and traceability; not normative drafting authority.,CLASSIFIED_NON_NORMATIVE_REFERENCE,No drafting reliance unless separately promoted through a guide-specific source freeze or Founder authority.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
