context_record_id,source_or_document_id,source_id,repository_path,title,context_package,approval_authority,approval_pr,approved_pr_head,merge_commit,receipt_path,checksum,primary_classification,guide_family_allocation,refresh_level,retained_gap_relevance,drafting_effect,authority_limitation,notes
CGP006-CTX-0001,CGP006-CONTEXT-0001,CGP006-CONTEXT-0001,governance/implementation/code-guides/PROGRAM_STATUS.md,PROGRAM_STATUS.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,5d6aeb81ff2940da271a9d7d3b2a7f138356613ca81f7673e0bedaeeef142755,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0002,CGP006-CONTEXT-0002,CGP006-CONTEXT-0002,governance/implementation/code-guides/initiation/CGP-006/CGP_006_AUTHORITY_BOUNDARY.md,CGP_006_AUTHORITY_BOUNDARY.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,48dc61b1cf2ba668996840cd023ba4817284738d5fb21f488b2e34c4d82e37d3,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0003,CGP006-CONTEXT-0003,CGP006-CONTEXT-0003,governance/implementation/code-guides/initiation/CGP-006/CGP_006_FOUNDER_DECISION_REGISTER.md,CGP_006_FOUNDER_DECISION_REGISTER.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,6603fed89a7a054a1e5bcd73345a6d78c3d261ab69d3d54ba41632f6948131b9,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0004,CGP006-CONTEXT-0004,CGP006-CONTEXT-0004,governance/implementation/code-guides/initiation/CGP-006/CGP_006_INITIATION_ASSESSMENT.md,CGP_006_INITIATION_ASSESSMENT.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,e5c27b65076028d0b9be9488e90c8ad9ee92731ba48d6521e004c2f289f5b735,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0005,CGP006-CONTEXT-0005,CGP006-CONTEXT-0005,governance/implementation/code-guides/initiation/CGP-006/CGP_006_INPUT_REGISTER.md,CGP_006_INPUT_REGISTER.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,2f1cb21fbf3eb13a1fb7aa2a10d3326f54f95f33018651b56019fae5d4c8e1c3,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0006,CGP006-CONTEXT-0006,CGP006-CONTEXT-0006,governance/implementation/code-guides/initiation/CGP-006/CGP_006_OUTPUT_REGISTER.md,CGP_006_OUTPUT_REGISTER.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,7aad116fc18af8d0edbdc90cdefbac42da92bc13392e7ed32356d2912071bd91,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0007,CGP006-CONTEXT-0007,CGP006-CONTEXT-0007,governance/implementation/code-guides/initiation/CGP-006/CGP_006_PACKAGE_MANIFEST.json,CGP_006_PACKAGE_MANIFEST.json,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,65593b8d58a6da6c7c5ccd0ae5c66452039e34f271f276d0eb3bb8b3e141bd03,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0008,CGP006-CONTEXT-0008,CGP006-CONTEXT-0008,governance/implementation/code-guides/initiation/CGP-006/CGP_006_PR23_CONFLICT_ASSESSMENT.md,CGP_006_PR23_CONFLICT_ASSESSMENT.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,e8514814331b4c250edb72fe39dd993c54ed59671258a88c0a7f74f684f27dc8,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0009,CGP006-CONTEXT-0009,CGP006-CONTEXT-0009,governance/implementation/code-guides/initiation/CGP-006/CGP_006_REPOSITORY_LIFECYCLE_PLAN.md,CGP_006_REPOSITORY_LIFECYCLE_PLAN.md,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,c6fb43f43e0b386661601e0d3679114b70c50fed42bd20b9a35ef407d3f234f8,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
CGP006-CTX-0010,CGP006-CONTEXT-0010,CGP006-CONTEXT-0010,governance/implementation/code-guides/initiation/CGP-006/CGP_006_RISK_FINDING_DEVIATION_REGISTER.csv,CGP_006_RISK_FINDING_DEVIATION_REGISTER.csv,CGP006_INITIATION_CONTEXT,Founder CGP-006 initiation approval,#24,,d3da33f04098ae5195105a5de1a523a9d7940724,governance/implementation/code-guides/receipts/CGP_006_REPOSITORY_INTEGRATION_RECEIPT.md,c92972c3ea1c74af1edc60e715ff7d07ecde5c3bc6c87bd8e249fecd2134f865,FOUNDER_APPROVED_CONTEXT_NON_NORMATIVE,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-10,CGP006_INITIATION_CONTEXT,DOCUMENT_CLASSIFICATION_GATE_RETAINS_FOUNDER_REVIEW,Supports bounded candidate drafting only after classification approval; no adoption or activation.,NO_IMPLEMENTATION_AUTHORITY; NO_GUIDE_ADOPTION; NO_GUIDE_ACTIVATION; CGP-007_NOT_ISSUED,Contextual CGP-006 initiation artifact only.
