historical_record_id,source_or_document_id,source_id,repository_path,title,source_class,authority_status,controlling_or_contextual_role,expressly_retained_by_normative_freeze,supersession_status,required_later_action,notes
CGP006-HIST-0001,CGP005-RC-1485,CGSRC-HIST-0001,docs/canon/history/MASTER_EXTERNAL_ARCHITECTURE_AND_ADAPTER_MODEL_V2_0_REVIEWED_SOURCE.md,MASTER EXTERNAL ARCHITECTURE AND ADAPTER MODEL,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0002,CGP005-RC-1486,CGSRC-HIST-0002,docs/canon/history/MASTER_FINANCIAL_TRUTH_AND_RESPONSIBILITY_MODEL_V2_1_FOUNDER_APPROVED_SOURCE.md,MASTER FINANCIAL TRUTH AND RESPONSIBILITY MODEL,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0003,CGP005-RC-1487,CGSRC-HIST-0003,docs/canon/history/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0_REVIEWED_SOURCE.md,"MASTER IDENTITY, ACCOUNT, AND ACTOR MODEL",HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0004,CGP005-RC-1488,CGSRC-HIST-0004,docs/canon/history/MASTER_RELATIONSHIP_MODEL_V1_FINAL_LOCKED.md,MASTER RELATIONSHIP MODEL,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0005,CGP005-RC-1489,CGSRC-HIST-0005,docs/canon/history/master_product_vision_v2_0/MASTER_PRODUCT_VISION_V2_0_HISTORICAL_PREDECESSOR.md,MASTER_PRODUCT_VISION.md,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0006,CGP005-RC-1490,CGSRC-HIST-0006,docs/canon/reviews/equine_health_founder_decision_reconciliation_v1_1/history/FOUNDER_DECISION_REGISTER_PRE_INGESTION.md,Equine Health Founder Decision Register,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0007,CGP005-RC-1491,CGSRC-HIST-0007,docs/canon/reviews/equine_health_founder_decision_reconciliation_v1_1/history/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_0_DRAFT.md,"Master Equine Health, Welfare, Medical Record, and Clinical Support Model V1.0",HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0008,CGP005-RC-1492,CGSRC-HIST-0008,docs/canon/reviews/equine_health_founder_decision_reconciliation_v1_1/history/MASTER_EQUINE_HEALTH_WELFARE_MEDICAL_RECORD_AND_CLINICAL_SUPPORT_MODEL_V1_0_REVISED_NONCONTROLLING_DRAFT.md,"Master Equine Health, Welfare, Medical Record, and Clinical Support Model V1.0",HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0009,CGP005-RC-1493,CGSRC-HIST-0009,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_batch_1_track_b_pre_lock/C0_CURRENT_LIFECYCLE_STATE_REGISTER.json,C0 Current Lifecycle State Register.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0010,CGP005-RC-1494,CGSRC-HIST-0010,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_batch_1_track_b_pre_lock/C0_CURRENT_LIFECYCLE_STATE_REGISTER.md,C0 Current Lifecycle State Register,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0011,CGP005-RC-1495,CGSRC-HIST-0011,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_batch_1_track_b_pre_lock/C0_ROW_BY_ROW_LIFECYCLE_RESOLUTION_LEDGER.json,C0 Row By Row Lifecycle Resolution Ledger.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0012,CGP005-RC-1496,CGSRC-HIST-0012,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_batch_1_track_b_pre_lock/C0_ROW_BY_ROW_LIFECYCLE_RESOLUTION_LEDGER.md,C0 Row-by-Row Lifecycle Resolution Ledger,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0013,CGP005-RC-1497,CGSRC-HIST-0013,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_batch_1_track_b_pre_lock/C0_UNRESOLVED_LIFECYCLE_BLOCKER_LEDGER.md,C0 Unresolved Lifecycle Blocker Ledger,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0014,CGP005-RC-1498,CGSRC-HIST-0014,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_CURRENT_LIFECYCLE_STATE_REGISTER.json,C0 Current Lifecycle State Register.Json,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
CGP006-HIST-0015,CGP005-RC-1499,CGSRC-HIST-0015,docs/canon/reviews/governance_v1_0_final_baseline_resumption/c0_lifecycle/history/c0_phase_c_pre_operation/C0_CURRENT_LIFECYCLE_STATE_REGISTER.md,C0 Current Lifecycle State Register,HISTORICAL_PREDECESSOR,HISTORICAL,HISTORICAL_CONTEXT_ONLY,NO,RETAINED_HISTORICAL_CONTEXT,Use only as retained history unless a guide-specific source freeze separately retains it.,"The 2,511-row reference corpus remains non-normative under the CGP-005 two-layer source model."
