t1c_id,severity,consolidated_defect,current_target_disposition,closure_state,source_review_ids,current_target_evidence,second_reviewer_state,authority_effect,merge_effect
T1C-001,BLOCKING,"Review-target identity inconsistent across kit, archives, commits, and reports.",PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,Current PR #83 head and current committed ZIP authenticated; predecessor/successor table added. Closure still requires independent rereview of the new V2 bytes.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-002,BLOCKING,Founder decision lifecycle count may conflict with state model.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V1 current target still requires current-surface verification and binding validator evidence in V2 closure rereview.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-003,BLOCKING,"Founder residual-risk decision population may be empty, incomplete, or already remediated.",VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 records no Founder disposition and leaves decision population open pending Second Reviewer/originating reviewer concurrence.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-004,BLOCKING,Document 10 templates may be generic duplicates.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,"V1 contains purpose-specific templates from prior remediation; V2 adds negative fixture/disposition record, but closure requires independent rereview.",NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-005,BLOCKING,Source authority may be elevated from path or filename keywords.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 records this as open until row-level evidence-backed authority locators are independently confirmed.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-006,BLOCKING,Document 03 may treat fragments and prompts as atomic requirements.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 preserves candidate-only limitation and requires accepted/candidate recomputation evidence before closure.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-007,HIGH,Independent findings may be incompletely carried or self-closed.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 adds a consolidated T1C/source-review crosswalk and prohibits self-closure; high-consequence closure remains open.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-008,HIGH,Validator PASS may be overstated.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 validation reports distinguish STRUCTURAL_PASS from SUBSTANTIVE_CONTROL_BLOCKED and include negative fixtures.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-009,HIGH,Founder decision surfaces may imply selected approval.,PARTIALLY_REMEDIATED,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 requires no preselected dispositions and records no authority granted; independent rereview still required.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-010,HIGH,Production/deployment evidence-state separation incomplete.,VALID_OPEN,OPEN_PENDING_SECOND_REVIEW,see consolidated outside-review register source findings column,V2 retains non-observed production/deployment status pending evidence-field verification.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
