guide_id,guide_version,guide_sha256,guide_byte_length,scope,activation_state_after_custody,effective_event,authority,implementation_mapping,implementation
ES-CG-00,1.1.0,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,2986,PLANNING_REFERENCE,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-00,1.1.0,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,2986,IMPLEMENTATION_CONTROL,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-00,1.1.0,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,2986,PULL_REQUEST_REVIEW,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-00,1.1.0,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,2986,MERGE_GATE,NOT_ACTIVE,DEFERRED_NO_EFFECTIVE_EVENT,DEFERRED_BY_STAGE24_FOUNDER_DISPOSITION,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-00,1.1.0,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,2986,RELEASE_GATE,NOT_ACTIVE,DEFERRED_NO_EFFECTIVE_EVENT,DEFERRED_BY_STAGE24_FOUNDER_DISPOSITION,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-00,1.1.0,2275ca1b9674b4e05390f134470a37e7ee63ca423705b6579b1bc8eef874f0c1,2986,OPERATIONS_REFERENCE,NOT_ACTIVE,DEFERRED_NO_EFFECTIVE_EVENT,DEFERRED_BY_STAGE24_FOUNDER_DISPOSITION,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-01,1.1.0,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,3008,PLANNING_REFERENCE,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-01,1.1.0,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,3008,IMPLEMENTATION_CONTROL,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-01,1.1.0,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,3008,PULL_REQUEST_REVIEW,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-01,1.1.0,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,3008,MERGE_GATE,NOT_ACTIVE,DEFERRED_NO_EFFECTIVE_EVENT,DEFERRED_BY_STAGE24_FOUNDER_DISPOSITION,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-01,1.1.0,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,3008,RELEASE_GATE,NOT_ACTIVE,DEFERRED_NO_EFFECTIVE_EVENT,DEFERRED_BY_STAGE24_FOUNDER_DISPOSITION,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-01,1.1.0,e35ea6b9031bd4c727852b124ef9968fe0ef30afbc4e83efabd270f18248e9e6,3008,OPERATIONS_REFERENCE,NOT_ACTIVE,DEFERRED_NO_EFFECTIVE_EVENT,DEFERRED_BY_STAGE24_FOUNDER_DISPOSITION,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-10,1.1.0,435eb4940da15e6ffbbd66bbc207a05b4fa3ffd3405ff436a8ca15950dfd32c7,3250,PLANNING_REFERENCE,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-10,1.1.0,435eb4940da15e6ffbbd66bbc207a05b4fa3ffd3405ff436a8ca15950dfd32c7,3250,IMPLEMENTATION_CONTROL,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
ES-CG-10,1.1.0,435eb4940da15e6ffbbd66bbc207a05b4fa3ffd3405ff436a8ca15950dfd32c7,3250,PULL_REQUEST_REVIEW,ACTIVE,VERIFIED_PROTECTED_MERGE_OF_THE_POST_PR_59_STAGE_24_CUSTODY_PR,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,NOT_AUTHORIZED,NOT_AUTHORIZED
