source_id,record_type,custody_visibility,canonical_update_authorization_state,implementation_mapping,implementation
CGP006-AR-COND-0001,RETAINED_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-COND-0002,RETAINED_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-COND-0003,RETAINED_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-COND-0004,RETAINED_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-COND-0005,RETAINED_CONDITION,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-CLF-0001,RETAINED_WARNING,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-CLF-0002,RETAINED_WARNING,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-CLF-0003,RETAINED_WARNING,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-CLF-0004,RETAINED_WARNING,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-CLF-0005,RETAINED_WARNING,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP005-TA-APP-GAP-0004,RETAINED_OPEN_GAP,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-ACT-ES_CG_00,ACTIVATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-ACT-ES_CG_01,ACTIVATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-ACT-ES_CG_13,ACTIVATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
CGP006-AR-ACT-ES_CG_10,ACTIVATION_BLOCKER,RETAINED_VISIBLE_NOT_CLOSED,NOT_AUTHORIZED_IN_THIS_WORKSTREAM,NOT_AUTHORIZED,NOT_AUTHORIZED
