risk_id,affected_guide,founder_decision,risk_closure_status,disposition_id,custody_treatment,suspension_trigger
SFCA-RISK-0001,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Any independent-assurance claim
SFCA-RISK-0002,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,New domain-critical ambiguity
SFCA-RISK-0003,ES-CG-10,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Validator failure or missing negative test
SFCA-RISK-0004,ES-CG-13,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Evidence record incompleteness
SFCA-RISK-0005,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Any closure claim before evidence
SFCA-RISK-0006,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Minor-protection ambiguity
SFCA-RISK-0007,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Cross-facility data exposure risk
SFCA-RISK-0008,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Mapping work begins without authority
SFCA-RISK-0009,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Rollback unavailable
SFCA-RISK-0010,PORTFOLIO,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Pilot use begins without authority
SFCA-RISK-0011,ES-CG-00,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Scope overclaim
SFCA-RISK-0012,ES-CG-01,ACCEPTED_FOR_LIMITED_STAGE_24_ACTIVATION_ONLY,OPEN_NOT_CLOSED,ES-FD-CGP-006-STAGE-24-LIMITED-ACTIVATION-2026-07-30,CARRIED_FORWARD_VISIBLE,Implementation begins without authority
