evidence_id,title,evidence_class,evidence_existence_status,purpose,associated_guide,associated_control_or_invariant,associated_condition_warning_or_gap,evidence_owner,intended_producer,intended_reviewer,intended_approver,required_timing,required_format,current_location_if_existing,proposed_future_location_if_planned,integrity_requirements,retention_requirements,validation_method,acceptance_criteria,blocking_effect_if_absent,authority_required_to_create_or_collect,implementation_dependency,runtime_dependency
CGP006-W1-ACT-EVID-ES_CG_00-COND-ADOPT,Founder conditional adoption record,FOUNDER_APPROVED_GOVERNANCE_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,CGP006-W1-CAR-0001,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/reports/CGP_006_WAVE_1_FOUNDER_CONDITIONAL_ADOPTION_RECORD.md,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-CUSTODY,Conditional adoption custody receipt,CUSTODY_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,CGP_006_WAVE_1_CONDITIONAL_ADOPTION_MERGED_THROUGH_PROTECTED_CONTROLS,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_CUSTODY_RECEIPT.md,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-META,Conditional adoption metadata reconciliation,CUSTODY_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,CGP_006_WAVE_1_CONDITIONAL_ADOPTION_METADATA_RECONCILED,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/receipts/CGP_006_WAVE_1_CONDITIONAL_ADOPTION_METADATA_RECONCILIATION.md,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-SRC,Adoption source-integrity confirmation,EXISTING_EVIDENCE_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,SOURCE_INTEGRITY_PASS,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/reports/CGP_006_WAVE_1_SOURCE_INTEGRITY_CONFIRMATION.md,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-CHECK,Prior adoption-readiness checksum ledger,EXISTING_EVIDENCE_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,CHECKSUM_LEDGER_PASS,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/CGP_006_WAVE_1_ADOPTION_READINESS_REVIEW_CHECKSUMS.sha256,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-WARN,Retained warning evidence register,EXISTING_EVIDENCE_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,WARNINGS_RETAINED_OPEN,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/drafting/CGP-006/WAVE_1_WARNING_GAP_DISPOSITION_V1/registers/CGP_006_WAVE_1_WARNING_GAP_EVIDENCE_REGISTER.csv,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-GAP4,GAP-0004 retained-open evidence,EXISTING_EVIDENCE_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,GAP_0004_OPEN,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005;CGP005-TA-APP-GAP-0004,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/drafting/CGP-006/WAVE_1_WARNING_GAP_DISPOSITION_V1/registers/CGP_006_WAVE_1_WARNING_GAP_RETAINED_OPEN_REGISTER.csv,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-ACT-DIR,Future activation directive and scope record,FOUNDER_DECISION_RECORD,PLANNED_NOT_CREATED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,FUTURE_ACTIVATION_SCOPE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,governance/implementation/code-guides/drafting/CGP-006/future_activation_decision/,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_ACTIVATION_UNTIL_CREATED_OR_CARRIED_BY_FOUNDER_DECISION,FOUNDER_DECISION_OR_SEPARATE_GOVERNANCE_AUTHORITY_REQUIRED,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-OWNER,Named accountable owner and reviewer record,GOVERNANCE_ACCOUNTABILITY_RECORD,PLANNED_NOT_CREATED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,ACCOUNTABLE_OWNER,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future activation package owner register,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_ACTIVATION_UNTIL_CREATED_OR_CARRIED_BY_FOUNDER_DECISION,FOUNDER_DECISION_OR_SEPARATE_GOVERNANCE_AUTHORITY_REQUIRED,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-OPS,Activated-use operating procedure,OPERATING_PROCEDURE,PLANNED_NOT_CREATED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,OPERATING_PROCEDURE,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future activation package operating procedure,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_ACTIVATION_UNTIL_CREATED_OR_CARRIED_BY_FOUNDER_DECISION,FOUNDER_DECISION_OR_SEPARATE_GOVERNANCE_AUTHORITY_REQUIRED,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-TRAIN,Reliance training or attestation record,TRAINING_AND_RELIANCE_RECORD,PLANNED_NOT_CREATED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,TRAINING,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_OR_RELIANCE,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future activation package training record,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_ACTIVATION_UNTIL_CREATED_OR_CARRIED_BY_FOUNDER_DECISION,FOUNDER_DECISION_OR_SEPARATE_GOVERNANCE_AUTHORITY_REQUIRED,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-WARN-MON,Warning monitoring and escalation log,MONITORING_RECORD,PLANNED_NOT_CREATED,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,WARNING_MONITORING,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,AFTER_ACTIVATION_IF_AUTHORIZED,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future warning monitoring register,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_ACTIVATION_UNTIL_CREATED_OR_CARRIED_BY_FOUNDER_DECISION,FOUNDER_DECISION_OR_SEPARATE_GOVERNANCE_AUTHORITY_REQUIRED,NO,NO
CGP006-W1-ACT-EVID-ES_CG_00-IMAP-AUTH,Implementation-mapping authorization and abstract mapping package,IMPLEMENTATION_MAPPING_AUTHORITY_RECORD,IMPLEMENTATION_DEPENDENT,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,IMPLEMENTATION_MAPPING_REQUIRES_SEPARATE_AUTHORITY,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_IMPLEMENTATION_MAPPING,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future implementation-mapping workstream,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_IMPLEMENTATION_RELIANCE_AND_GAP_CLOSURE,SEPARATE_IMPLEMENTATION_MAPPING_AND_IMPLEMENTATION_AUTHORITY_REQUIRED,YES,NO
CGP006-W1-ACT-EVID-ES_CG_00-IMPL-EVID,Implementation evidence package responsive to controls and GAP-0004,IMPLEMENTATION_EVIDENCE,IMPLEMENTATION_DEPENDENT,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,CGP005-TA-APP-GAP-0004,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005;CGP005-TA-APP-GAP-0004,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_IMPLEMENTATION_OR_GAP_CLOSURE,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future implementation evidence package,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_IMPLEMENTATION_RELIANCE_AND_GAP_CLOSURE,SEPARATE_IMPLEMENTATION_MAPPING_AND_IMPLEMENTATION_AUTHORITY_REQUIRED,YES,NO
CGP006-W1-ACT-EVID-ES_CG_00-RUN-MON,Runtime monitoring evidence and suspension/deactivation log,RUNTIME_EVIDENCE,RUNTIME_DEPENDENT,Support activation-readiness planning for ES-CG-00 without granting activation or implementation authority.,ES-CG-00,RUNTIME_MONITORING,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,DURING_AUTHORIZED_RUNTIME_OPERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",NONE,future runtime evidence repository,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review",Created only under separate authority and accepted by Founder-designated reviewer,BLOCKS_RUNTIME_RELIANCE,SEPARATE_RUNTIME_OPERATION_AUTHORITY_REQUIRED,NO,YES
CGP006-W1-ACT-EVID-ES_CG_01-COND-ADOPT,Founder conditional adoption record,FOUNDER_APPROVED_GOVERNANCE_SOURCE,EXISTING_VERIFIED,Support activation-readiness planning for ES-CG-01 without granting activation or implementation authority.,ES-CG-01,CGP006-W1-CAR-0001,CGP006-CLF-0002;CGP006-CLF-0003;CGP006-CLF-0004;CGP006-CLF-0005,Future activation owner,Founder or separately authorized governance custodian,Founder-designated activation reviewer,Founder,BEFORE_ACTIVATION_CONSIDERATION,"Repository markdown, CSV, JSON, checksum ledger, GitHub PR metadata, or Founder directive",governance/implementation/code-guides/drafting/CGP-006/WAVE_1_ADOPTION_READINESS_REVIEW_V1/reports/CGP_006_WAVE_1_FOUNDER_CONDITIONAL_ADOPTION_RECORD.md,NONE,Repository provenance plus manifest and checksum coverage where repository-scoped,Retain with the CGP-006 Wave 1 activation-readiness package and successor custody records,"Package validator, checksum verification, documentary source review, or future authorized evidence review","Located, reviewed, provenance-verified, and consistent with non-activation boundaries",NONE_IF_VERIFIED,NONE_FOR_EXISTING_DOCUMENTARY_VERIFICATION,NO,NO
