decision_id,expected_gate_from_directive,review_status,review_result
FAC-FD-019,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-020,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-021,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-022,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-025,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-026,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-023,OPEN_BEFORE_ENROLLMENT,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-024,OPEN_BEFORE_ENROLLMENT,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-027,OPEN_BEFORE_ENROLLMENT,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
FAC-FD-028,OPEN_BEFORE_ENROLLMENT,NOT_REVIEWED_PERMISSION_BLOCKED,NO_CONCLUSION
