finding_id,severity,category,artifact,repository_or_package_path,section_or_row,finding_summary,exact_evidence,failure_mode,impact,required_correction,acceptance_criterion,blocking_effect,related_prior_finding_ids,reviewer_recommendation,remediation_status
C-OR-01,S1,remediation_overclaim,closing templates,10_CLOSING_AUDIT_PROTOCOL/templates/*.md,all 19 templates,F-02 marked REMEDIATED but normalised template bodies are identical,Excluding H1 and Template name line collapses 19/19 files to hash prefix 6b48ae34e0f59f08; identical ## section set,Control asserted remediated while instrument set remains one file with renamed titles,Undermines Document 10 and external disposition honesty,Author distinct purpose-specific fields or reduce instrument count; validator must fail identical normalised bodies,Normalised template body uniqueness check fails build when collision exists,BLOCKS_FOUNDER_DOCUMENTARY_RELIANCE_ON_DOC10,F-02,Reject F-02 remediation claim; require rewrite,OPEN
C-OR-02,S2,cross_register_contradiction,Founder decision packet/register vs lifecycle standard,FOUNDER_DECISION_PACKET.md; 05_FOUNDER_DECISION_REGISTER/FOUNDER_DECISION_DISPOSITION_REGISTER.csv; SHARED_TIER_1_DOCUMENTARY_STANDARD_REVISION_ROUND_2_V1.md,FD-T1R2-001,FD-001 asks for eleven-state vocabulary while package defines thirteen states,Decision text says eleven-state; standard enumerates 13 states; matrix states=13 rows=169,Question presented does not match controlling model,Founder cannot safely disposition FD-001,Make question text match live 13-state vocabulary or revert model with explicit delta,FD-001 question byte-identical to enumerated live states,BLOCKS_FD_T1R2_001,F-09;F-15,Revise decision instruments before Founder pass,OPEN
C-OR-03,S2,thin_remediation,per-document validators/tests,0N_*/validators/validate_document_0N_rr2.py; 0N_*/tests/test_document_0N_rr2_validator.py,docs 03-10,F-16 restoration is presence/smoke only,Validators only count csv/json/md files; tests only assert exit 0; package validator only checks file presence,Claimed restoration of per-doc validation capability without document-specific assertions,Overstates Round 2 verification recovery,Implement document-specific checks or label PRESENCE_SMOKE_ONLY and stop counting as F-16 closure,Either substantive per-doc assertions exist or disposition downgraded,BLOCKS_F16_CLOSURE_CLAIM,F-16,Downgrade or implement,OPEN
C-OR-04,S2,validator_gap,ownership checks,VALIDATION/validate_tier1_documents_03_10_rr2.py; 07_OWNERSHIP_STEWARDSHIP_REVIEW/,ownership_gap_effect_present,Invented appointments do not fail ownership semantic checks,Mutation filled accountable_function/appointment_evidence/vacancy_state; ownership checks still PASS; only manifest hash fails,Semantic ownership control cannot fail on invented appointment,Future regenerated manifests could conceal invented appointments,Fail non-NOT_RECORDED appointment/acceptance evidence absent Founder authority row,Invented appointment mutation fails semantic ownership check,BLOCKS_RELIANCE_ON_OWNERSHIP_VALIDATION,F-14 related class; prior ownership vacancy concern,Add semantic anti-invention rule,OPEN
C-OR-05,S2,thin_remediation,findings register,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,T1R2-F-01..F-15 rows,Findings narratives remain boilerplate across key fields,severity_rationale/impact/mitigation/affected_actors identical across 9 rows; generic closure_evidence,Schema examples replaced by tracking rows without usable narratives,Weakens FD-004 residual-risk decisions,Write finding-specific narratives and locators or relabel as REMEDIATION_TRACKING_SUMMARY,Unique impact/rationale/mitigation per finding with file/row/hash locators,BLOCKS_FD_T1R2_004,F-12,Strengthen or relabel,OPEN
C-OR-06,S3,terminology,source authority labels,08_SOURCE_RECONCILIATION/SOURCE_AUTHORITY_DISPOSITION_REGISTER.csv,authority_state,FOUNDER_APPROVAL_EVIDENCE_PRESENT retained on 170 rows after F-20 relabel,Counter shows 170 FOUNDER_APPROVAL_EVIDENCE_PRESENT; validator only bans ADOPTION_OR_LOCK_EVIDENCE_PRESENT,Incomplete terminology remediation,Risk of reading package as recording Founder approval,Rename to historical/observed token; extend validator denylist,0 rows with FOUNDER_APPROVAL_EVIDENCE_PRESENT,NONBLOCKING_TRACK,F-20,Complete relabel,OPEN
C-OR-07,S3,token_drift,document inventory,TIER_1_DOCUMENT_INVENTORY.csv vs README_FIRST.md,readiness column,Inventory readiness token lags package determination,Inventory REVISION_ROUND_2_COMPLETE_... vs README/manifest REVISION_ROUND_2_EXTERNAL_REVIEW_REMEDIATED_...,Stale readiness token,Readers see inconsistent package status,Align inventory tokens or note supersession per row,All inventory readiness values match package determination,NONBLOCKING_TRACK,n/a,Align tokens,OPEN
C-OR-08,S3,register_hygiene,unresolved issue register,UNRESOLVED_ISSUE_REGISTER.csv,all 28 EXT rows,Remediated and tracked findings conflated as unresolved,All classifications REMEDIATED_OR_TRACKED_PER_EXTERNAL_REVIEW_DISPOSITION_REGISTER,Unresolved register does not identify what remains open,Understates clarity of open population,Keep only open/tracked items; move remediated to closure log,Unresolved register contains only non-remediated open items,NONBLOCKING_TRACK,F-22,Split registers,OPEN
C-OR-09,S3,authentication_drift,PR authentication,GitHub PR #83 body vs branch ZIP,Final Archive section,PR body archive SHA does not match branch/uploaded ZIP bytes,Body aa61978c...; branch+upload 909ba841... byte length 2586324,Assessment report/authentication text not tied to distributed object,Reviewers authenticating against PR text will mismatch,Update PR hash/byte length to live archive,PR body SHA equals git object SHA of drafting ZIP,BLOCKS_EXTERNAL_AUTHENTICATION_AGAINST_PR_TEXT,F-06 class,Update PR auth block,OPEN
C-OR-10,S3,known_limitation,manifest of manifests,MANIFEST_OF_MANIFESTS.csv; PACKAGE_MANIFEST.json,root_manifest_binding_limitation,Root integrity files and outer ZIP still not self-bound inside package,MoM excludes root PACKAGE_MANIFEST/CHECKSUMS/MoM; ZIP record notes no self-authentication,Disclosed residual of F-05/F-28,Acceptable if sidecar hash published with every copy,Retain Founder-visible limitation; always distribute sidecar,Sidecar hash published with archive (met for this upload),TRACKED_NONBLOCKING,F-05;F-28,Retain with disclosure,OPEN
C-OR-11,S3,incomplete_field_population,traceability register,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,discovery_method,discovery_method is NOT_PERFORMED for all 96 candidates,Counter discovery_method=NOT_PERFORMED x96,Discovery method not recorded after F-01 retag,Losslessness of how candidates were found,Populate true discovery method; keep verification_method=NOT_PERFORMED,discovery_method records actual method for all rows,NONBLOCKING_TRACK,F-01;F-02 class,Populate discovery_method,OPEN
C-OR-12,S4,editorial,delta report,REVISION_ROUND_2_DELTA_REPORT.md,External Review Remediation Delta,Remediation delta heading repeated three times,Heading count=3 in 41-line file,Editorial duplication,Minor clarity issue,Deduplicate sections,Single remediation delta section,NONBLOCKING,n/a,Edit,OPEN
C-OR-13,S4,tracked_prior,validation provenance,VALIDATION_RESULTS/*.json,environment metadata,Validation remains single-host unsigned; independent Linux re-run also PASS,Embedded reports macOS-26.5.2 Python 3.14.6; this review Linux PASS failures=0,No signature/container digest,Agree with tracked non-blocking,Optional signed reproducible runner,Second independent PASS recorded (this review),TRACKED_NONBLOCKING,F-28,Keep tracked,OPEN
