feature_id,feature_name,prior_expected_code_guide,reconciliation_class,primary_v1_1_guide,secondary_v1_1_guides,new_guide_required,reconciliation_rationale,pilot_treatment
ES-FEAT-RELATIONSHIP-002,trainer-client relationships,ES-CG-01,EXISTING_GUIDE_AMENDMENT,ES-CG-03,ES-CG-01;ES-CG-09,NO,"Relationship-based authority and tenancy/authorization enforcement belong primarily to Identity Tenancy and Authorization; precedence and high-risk protection remain cross-cutting.",VERIFY_IF_ENABLED
ES-FEAT-FACILITY-011,maintenance,ES-CG-07,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-07;ES-CG-11,NO,"Facility maintenance is domain engineering behavior; human factors and operational reliability are secondary.",VERIFY_IF_ENABLED
ES-FEAT-LESSONS-007,trainer programs,ES-CG-13,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-07;ES-CG-13,NO,"Trainer-program behavior is domain engineering; human-factor and evidence requirements remain secondary.",VERIFY_IF_ENABLED
ES-FEAT-LESSONS-008,horse-training sessions,ES-CG-13,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-07;ES-CG-13,NO,"Training-session behavior is domain engineering; interface and evidence controls remain secondary.",VERIFY_IF_ENABLED
ES-FEAT-TASKS-005,claims,ES-CG-10,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-03;ES-CG-13,NO,"Claims workflow behavior is a domain concern with authorization and evidence dependencies; testing is not the primary ownership layer.",VERIFY_IF_ENABLED
ES-FEAT-DOCUMENTS-002,waivers,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-03;ES-CG-09;ES-CG-13,NO,"Waiver behavior can be governed as domain engineering with authorization privacy/security and evidence controls; a new guide is not established.",VERIFY_IF_ENABLED
ES-FEAT-FINANCIAL-012,failed payments,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-06;ES-CG-11;ES-CG-13,NO,"Failed-payment behavior is domain engineering with provider-adapter operational and evidence dependencies.",VERIFY_IF_ENABLED
ES-FEAT-INVENTORY-013,AI-assisted identification,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-08;ES-CG-13,NO,"AI-assisted identification falls directly within the V1.1 AI control guide with domain and evidence overlays.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
ES-FEAT-MEDIA-008,thumbnails,DOC-CG-DOMAIN-SPECIFIC-GUIDE-CANDIDATE,EXISTING_GUIDE_AMENDMENT,ES-CG-08,ES-CG-06;ES-CG-07,NO,"Thumbnail behavior is media-domain engineering; external processing and UI behavior are secondary where used.",VERIFY_IF_ENABLED
ES-FEAT-AI-001,AI assistant,DOC-CG-AI-MODEL-GOVERNANCE,EXISTING_GUIDE_AMENDMENT,ES-CG-09,ES-CG-03;ES-CG-10;ES-CG-13,NO,"AI assistant behavior is expressly within Safeguarding Privacy Security and AI; authorization testing and evidence remain secondary.",EXCLUDE_UNLESS_SEPARATELY_VERIFIED
