queue_name,feature_id,feature_name,primary_domain,risk,priority,affected_personas,governance_status,implementation_status,dependency_blockers,proposed_owner,recommended_next_action,rationale
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-001,application shell,Platform and shell,LOW:3,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-001 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-001,application shell,Platform and shell,LOW:3,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-001 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RETAINED_GAP_REREVIEW_QUEUE,ES-FEAT-PLATFORM-001,application shell,Platform and shell,LOW:3,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-001 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-001,application shell,Platform and shell,LOW:3,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-001 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-002,role-aware navigation,Platform and shell,MEDIUM:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-002 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-002,role-aware navigation,Platform and shell,MEDIUM:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-002 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RETAINED_GAP_REREVIEW_QUEUE,ES-FEAT-PLATFORM-002,role-aware navigation,Platform and shell,MEDIUM:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-002 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
RUNTIME_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-002,role-aware navigation,Platform and shell,MEDIUM:4,P2,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,COVERED_WITH_RETAINED_GAP,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,ENGINEERING,VERIFY_REPOSITORY_IMPLEMENTATION,Derived from revised structured row ES-FEAT-PLATFORM-002 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
FOUNDER_DECISION_QUEUE,ES-FEAT-PLATFORM-003,operating centers,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-003 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
IMPLEMENTATION_VERIFICATION_QUEUE,ES-FEAT-PLATFORM-003,operating centers,Platform and shell,MEDIUM:4,P1,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,PIA_SUPPLEMENT_CANDIDATE,IMPLEMENTED_UNVERIFIED,ES-FEAT-PLATFORM-001;ES-FEAT-IDENTITY-001;ES-FEAT-RELATIONSHIP-001;ES-FEAT-FINANCIAL-001;ES-FEAT-COMMUNICATIONS-001;ES-FEAT-TASKS-001,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Derived from revised structured row ES-FEAT-PLATFORM-003 after independent-review adjudication; evidence tier=KEYWORD_MATCH_ONLY.
