feature_id,feature_name,product_domain,missing_controlling_canon,missing_controlling_pia,missing_system_of_truth,missing_permission_owner,missing_safeguarding_owner,missing_retention_treatment,missing_audit_treatment,required_action,source_ids
ES-FEAT-MARKETPLACE-001,provider profiles,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-HORSE-LEDGER;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-ROUTE-SERVICE-PROVIDER-CENTER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-002,provider verification,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-ROUTE-SERVICE-PROVIDER-CENTER;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-CORE-AUTH-VERIFICATION-GATE;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-003,credentials,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-004,listings,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-005,discovery,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-006,search ranking,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ACCEPTINVITE;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-EXPENSES;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-007,reviews,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-008,referrals,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-009,community features,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-ROUTE-PULSE;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
ES-FEAT-MARKETPLACE-010,moderation,"Marketplace, provider network, and community",NO,YES,NO,YES,NO,NO,NO,DOC-NEW-PIA-MARKETPLACE-PROVIDER-NETWORK-COMMUNITY,SRC-BACKEND-PERMISSION-MAP;SRC-BACKEND-ROUTE-ADMIN-BILLING;SRC-BACKEND-ROUTE-ADMIN-REVIEW;SRC-BACKEND-ROUTE-AUTH;SRC-BACKEND-ROUTE-BACKLOG;SRC-BACKEND-ROUTE-MEMBERSHIP;SRC-BACKEND-SERVER-ASSEMBLY;SRC-BACKEND-TEST-TEST-BUILD-NEXT-18A-PROVIDER-LIVE-PROOF;SRC-BACKEND-TEST-TEST-MARKETPLACE-SIGNUP;SRC-BACKEND-TEST-TEST-RF10-SERVICE-PROVIDER-CARE-PARTNER;SRC-BACKEND-TEST-TEST-RF11-PROPERTY-LOCATION-MAP-COMMUNITY-HELP;SRC-CANON-CLAIMS-CANON-V2.0;SRC-CANON-COMMUNICATION-CANON-V2.0;SRC-CANON-ECOSYSTEM-CANON-V2.1;SRC-CANON-FINANCIAL-TRUTH-CANON-V2.1;SRC-CANON-VENDOR-SECURITY-CANON-V2.0;SRC-CODE-GUIDE-PROGRAM-STATUS;SRC-FOUNDER-DIRECTIVE;SRC-FRONTEND-APP-ROUTES;SRC-FRONTEND-PAGE-ADMINREVIEWQUEUE;SRC-FRONTEND-PAGE-CARELEDGERTAB;SRC-FRONTEND-PAGE-ENROLLMENT;SRC-FRONTEND-PAGE-SERVICEPROVIDERDASHBOARD;SRC-FRONTEND-PAGE-SIGNUP;SRC-IMPLEMENTATION-ATLAS;SRC-MASTER-PRODUCT-VISION;SRC-PIA-COMPONENT-OWNERSHIP;SRC-PIA-PORTFOLIO-TEN;SRC-PIA-REALIGNMENT-REGISTER;SRC-ROLE-PERMISSION-MATRIX
