consolidated_finding_id,reviewer_finding_ids,reviewers,finding_title,affected_files,affected_fields,affected_feature_ids,reviewer_severities,final_validity,final_severity,evidence,adjudication_rationale,required_correction,acceptance_test,correction_status,closure_evidence_paths,residual_risk,founder_decision_required
CFG-001,Claude F3;Perplexity F-01;Cursor F-07,Claude;Perplexity;Cursor,Templated feature semantics,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,VALID,HIGH,All 314 descriptions replaced and template detector added.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Templated feature semantics,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-002,Claude F1;Claude F9;Perplexity F-02;Cursor F-01,Claude;Perplexity;Cursor,Coverage/readiness overstatement,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,BLOCKER,VALID,BLOCKER,FULLY_COVERED rows reclassified to retained-gap documentary language.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Coverage/readiness overstatement,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-003,Claude F1;Perplexity F-05;Cursor F-13,Claude;Perplexity;Cursor,Parent PIA source identity prerequisites,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,BLOCKER,VALID,BLOCKER,Parent PIA source-state fields and prerequisite report added.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Parent PIA source identity prerequisites,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-004,Claude F8;Perplexity F-03;Cursor F-09,Claude;Perplexity;Cursor,Field dictionary boilerplate,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,VALID,HIGH,Substantive data contract added for every field.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Field dictionary boilerplate,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-005,Claude F2;Perplexity F-08;Cursor F-06,Claude;Perplexity;Cursor,Evidence path hygiene and keyword evidence,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,VALID,HIGH,Path fields cleaned; evidence tier and limitation fields added.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Evidence path hygiene and keyword evidence,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-006,Claude F4;Perplexity F-06;Perplexity F-11;Cursor F-02;Cursor F-07,Claude;Perplexity;Cursor,Semantic governance mapping limits,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,PARTIALLY_VALID,HIGH,Placeholder Code Guides reduced; semantic review report records retained rereview need.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Semantic governance mapping limits,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-007,Claude F6;Perplexity F-04;Cursor F-04,Claude;Perplexity;Cursor,Risk calibration clustering,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,VALID,HIGH,Risk rationales added and distribution recalibrated as planning-only.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Risk calibration clustering,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-008,Claude F10;Perplexity F-09;Cursor F-05;Cursor F-08,Claude;Perplexity;Cursor,Dependency semantics and hub overstatement,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,VALID,HIGH,Dependency basis/type updated; inverse register regenerated.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Dependency semantics and hub overstatement,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-009,Claude F5;Perplexity F-07;Cursor F-03,Claude;Perplexity;Cursor,Conflict register too coarse,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,HIGH,VALID,HIGH,Atomic conflict decomposition and derived queue added.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Conflict register too coarse,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
CFG-010,Claude F7;Perplexity F-10;Cursor F-14,Claude;Perplexity;Cursor,Persona saturation,"matrix package structured data, reports, validators, tests",See closure evidence paths,ALL_OR_REGISTER_SPECIFIC,MEDIUM,VALID,MEDIUM,Persona rationale field added; broad sets retained as planning-only.,Accepted where repository/package evidence confirmed the reviewer observation; partial where deterministic correction records retained need for targeted rereview.,Persona saturation,Validator/tests plus report evidence listed in closure paths.,CLOSED_WITH_RETAINED_REREVIEW_RISK,INDEPENDENT_REVIEW_FINDING_ADJUDICATION_REGISTER.csv;SEMANTIC_VALIDATION_REPORT.md;REVISION_CLOSURE_REPORT.md;validators/validate_master_product_feature_coverage_matrix.py;tests/test_master_product_feature_coverage_matrix.py,Targeted independent rereview still required; no Founder review/readiness claim made.,YES_FOR_RETAINED_POLICY_OR_AUTHORITY_CHOICES
