pia_id,pia_title,source_status,features_governed,features_partially_governed,fully_covered_features,apparent_overlaps,apparent_ownership_conflicts,missing_supplements,source_gaps,lifecycle_gaps,implementation_gaps,evidence_gaps
PIA-01,"Identity, Account, Actor, and Onboarding",UNDERLYING_ITEM_01_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,27,22,4,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,NONE_IDENTIFIED_BY_THIS_PACKAGE,DOC-SUP-PIA-01-IDENTITY-ACCESS;DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP,PIA realignment register status retained: UNDERLYING_ITEM_01_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,No adoption or amendment occurs in this package,27,7
PIA-02,"Facility, Tenant, and Organizational Structure",NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,60,28,0,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-02-FACILITY-OPERATIONS;DOC-SUP-PIA-07-INVENTORY-ASSETS,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,60,10
PIA-03,"Relationship, Authorization, and Permission",UNDERLYING_COMPONENT_A_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,111,87,7,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,NONE_IDENTIFIED_BY_THIS_PACKAGE,DOC-SUP-PIA-01-IDENTITY-ACCESS;DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP;DOC-SUP-PIA-04-HORSE-LIFECYCLE;DOC-SUP-PIA-08-EVENTS-TRAVEL;DOC-SUP-PIA-08-LESSONS-GUARDIAN;DOC-SUP-PIA-10-COMMUNICATIONS-PORTAL;DOC-SUP-PIA-10-DOCUMENTS-SIGNATURES,PIA realignment register status retained: UNDERLYING_COMPONENT_A_DESIGN_APPROVED_SUCCESSOR_TEXT_PENDING_FRESH_REVIEW,No adoption or amendment occurs in this package,111,24
PIA-04,"Horse Identity, Profile, and Lifecycle",NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,60,45,1,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-04-HORSE-LIFECYCLE;DOC-SUP-PIA-07-CARE-OPERATIONS;DOC-SUP-PIA-10-MEDIA-FILES,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,60,12
PIA-05,"Core Navigation, Search, and Application Shell",NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,49,7,3,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-05-PLATFORM-SHELL,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,49,8
PIA-06,"Task, Calendar, Scheduling, and Notification",NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,91,55,1,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-06-TASK-CALENDAR;DOC-SUP-PIA-07-CARE-OPERATIONS;DOC-SUP-PIA-08-EVENTS-TRAVEL;DOC-SUP-PIA-08-LESSONS-GUARDIAN,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,91,24
PIA-07,Care Operations,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,97,45,0,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-07-CARE-OPERATIONS;DOC-SUP-PIA-07-INVENTORY-ASSETS;DOC-SUP-PIA-10-MEDIA-FILES,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,97,30
PIA-08,"Lessons, Training, Rider, and Guardian",NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,54,36,1,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-03-RELATIONSHIP-GUARDIANSHIP;DOC-SUP-PIA-08-EVENTS-TRAVEL;DOC-SUP-PIA-08-LESSONS-GUARDIAN,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,54,34
PIA-09,"Billing, Payments, and Financial Operations",NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,58,17,1,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-09-FINANCIAL-OPERATIONS,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,58,15
PIA-10,Owner Portal and Communications,NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,73,42,1,YES_CROSS_DOMAIN_DEPENDENCIES_RECORDED,SOURCE_RECONCILIATION_NEEDED,DOC-SUP-PIA-10-COMMUNICATIONS-PORTAL;DOC-SUP-PIA-10-DOCUMENTS-SIGNATURES;DOC-SUP-PIA-10-MEDIA-FILES,PIA realignment register status retained: NO_PRIMARY_PIA_PACKAGE_LOCATED_IN_REALIGNMENT_REGISTER,No adoption or amendment occurs in this package,73,27
