supplement_id,feature_id,feature_name,product_domain,parent_pia_ids,affected_personas,risk_severity,risk_score,governance_readiness_score,recommended_owner,recommended_next_action,mapping_basis
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-003,operating centers,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-005,context switching,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-006,dashboard composition,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-007,feature discovery,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-008,global actions,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-009,administrative navigation,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-05-PLATFORM-SHELL,ES-FEAT-PLATFORM-010,multi-facility context,Platform and shell,PIA-05,Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,MEDIUM,8,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-005,sessions,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-006,recovery,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-007,invitations,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-008,enrollment,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-009,tenant membership,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-010,facility membership,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-012,delegation,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-013,support access,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
DOC-SUP-PIA-01-IDENTITY-ACCESS,ES-FEAT-IDENTITY-014,service accounts,Identity and access,PIA-01;PIA-03,Guest;User;Admin;Facility Owner;Barn Manager;Trainer;Staff;Owner;Guardian;Rider;Service Provider,HIGH,12,74,GOVERNANCE,DRAFT_PIA_SUPPLEMENT,Current row has PIA supplement candidate state and a bounded supplement document identifier; adoption is not inferred.
