source_id,title,artifact_class,version,exact_repository_path,lifecycle_state,authority_state,sha256,byte_length,relevant_section_or_anchor,predecessor,successor,controlling_or_contextual_status,features_supported,unresolved_source_issues
SRC-BACKEND-PERMISSION-MAP,Backend Permission Capability Map,AS_BUILT_BACKEND,CURRENT_REPOSITORY_VERSION,backend/core/permissions.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,a75361cfeff1e0fc5eb1aa4753c7105fd71ff9ca62524b4e0a86d01bdd0f7079,8449,GENERAL,NONE,NONE,CONTROLLING,MULTIPLE,NONE
SRC-BACKEND-ROUTE-ACCOUNT-CONTEXT,Backend route account_context,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/account_context.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,1b07ece0c2888ec8367acf6cf9892b061378bbf63d1c60972c7bd6f2e0478336,731,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-ADMIN,Backend route admin,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/admin.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,2b7319b3c020bcdd75a5b1fc2c24e2e801ee508525cf16e01eae582cea3dbfa3,4532,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-ADMIN-BILLING,Backend route admin_billing,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/admin_billing.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,1b1e222d0af95c3711a4ee03307b74972e864bad17e1846fb3c443133486f510,23782,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-ADMIN-REVIEW,Backend route admin_review,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/admin_review.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,22035c4b6ccbfa2fc4c55530a99fba359a633ced66911f6b757e0c888b6b0481,4221,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-ANALYTICS,Backend route analytics,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/analytics.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,05e0df2dae263681e57336293034ce7691b4844984087ab9e10fcc7f01127ef3,1788,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-AUDIT,Backend route audit,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/audit.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,2738c33dba8fb95e6f911e107414cc43e7ff0bbf4bab84eaf348230a187305ce,3965,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-AUTH,Backend route auth,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/auth.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,4b7005a625f0273be24ff3f38b894b7325938b449a5e40e2a8a8dafc4540ee01,28563,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-BACKLOG,Backend route backlog,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/backlog.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,6ace6f477ead7123ee8fccc5faef51052599f282adbee136dc3069e514092832,121861,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
SRC-BACKEND-ROUTE-BARN-OWNER-INTAKE,Backend route barn_owner_intake,AS_BUILT_BACKEND_ROUTE,CURRENT_REPOSITORY_VERSION,backend/routes/barn_owner_intake.py,CURRENT_REPOSITORY_SOURCE,IMPLEMENTATION_EVIDENCE_ONLY,7b29b25b6c4307e65b58d33229caf54a11cc5189f9a0f3c0dae852c0db5c26d9,8792,GENERAL,NONE,NONE,CONTROLLING,KEYWORD_MATCHED_ROWS,NONE
