change_id,source_text,replacement_text,expected_occurrences,actual_occurrences,affected_candidate_lines,substantive_effect,authorized_by,validation_status
SFCA-TXT-001,MEDICAL_OR SAFETY,MEDICAL_OR_SAFETY,2,2,376;627,CONTROLLED_TOKEN_SEPARATOR_CORRECTION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-TXT-002,SECURITY_AND NEGATIVE,SECURITY_AND_NEGATIVE,1,1,850,CONTROLLED_TOKEN_SEPARATOR_CORRECTION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-001,**Founder Approval Date:** Pending exact-byte Founder approval,**Founder Approval Date:** 2026-07-29,1,1,10,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-002,**Effective Date:** Upon exact-byte Founder approval for preparatory authority; controlling repository effect upon protected accession and custody,**Effective Date:** 2026-07-29 for preparatory authority; controlling repository effect upon protected accession and custody,1,1,11,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-003,**Exact Approved SHA-256:** To be recorded after exact-byte approval,**Exact Approved SHA-256:** Recorded in companion FOUNDER_APPROVAL_RECORD.md,1,1,19,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-004,**Approved Byte Length:** To be recorded after exact-byte approval,**Approved Byte Length:** Recorded in companion FOUNDER_APPROVAL_RECORD.md,1,1,20;796;820,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-005,**Protected Accession Commit:** Pending,**Protected Accession Commit:** Pending protected merge,2,2,21;799,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-006,**Repository Custody Receipt:** Pending,**Repository Custody Receipt:** Pending post-merge custody,1,1,22,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-007,"Upon exact-byte approval, the Founder disposition shall be:",The Founder disposition is:,1,1,759,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-008,**Founder Decision:** Pending,**Founder Decision:** APPROVED_AS_CONTROLLING_FOUNDER_DETERMINATION_FOR_SOLO_FOUNDER_COMPENSATING_ASSURANCE_AND_REVIEW_GATE_RECLASSIFICATION,1,1,791,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-009,**Approved Date:** Pending,**Approved Date:** 2026-07-29,1,1,794,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-010,**Approved SHA-256:** Pending,**Approved SHA-256:** Recorded in companion FOUNDER_APPROVAL_RECORD.md,1,1,795,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-011,**Approved Byte Length:** Pending,**Approved Byte Length:** Recorded in companion FOUNDER_APPROVAL_RECORD.md,1,1,20;796;820,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
SFCA-APP-012,**Protected Accession PR:** Pending,**Protected Accession PR:** Pending protected accession workflow,1,1,798,APPROVAL_METADATA_FINALIZATION_ONLY,CGP_006_FOUNDER_APPROVED_SOLO_FOUNDER_DETERMINATION_FINALIZATION_ACCESSION_AND_CUSTODY_DIRECTIVE_V1_0_0,PASS
