control_id,control,repository_evidence,stripe_evidence,current_status,evidence_required_for_closure
FIN-001,Stripe account identity,STRIPE_API_KEY configuration paths,"Equine Sync account verified",SATISFIED,"Retain redacted account receipt"
FIN-002,Product and price catalog,Local plan catalog and Stripe price mapping,"Live products and recurring prices observed",PARTIALLY_SATISFIED,"Full local-to-Stripe catalog parity report"
FIN-003,Tax registration and settings,Billing paths support provider prices and tax behavior,"Missouri registration and active Stripe Tax settings observed",PARTIALLY_SATISFIED,"Successful tax calculation with valid customer location"
FIN-004,Checkout Session creation,backend/routes/subscriptions.py,"No Checkout Sessions observed",OPEN,"Authorized test Checkout Session receipt"
FIN-005,Subscription creation and update,subscriptions_webhook_handlers.py,"No subscriptions observed",OPEN,"Provider-delivered create/update/cancel event evidence"
FIN-006,Webhook endpoint configuration,/api/webhook/stripe-subscriptions,"No webhook endpoints observed",OPEN,"Authorized test webhook endpoint receipt"
FIN-007,Webhook signature verification,stripe.Webhook.construct_event,"No provider-delivered signed event observed",OPEN,"Valid signature accepted; invalid/missing signature rejected"
FIN-008,Duplicate event idempotency,billing_events status-gated pipeline and tests,"No provider replay dataset",PARTIALLY_SATISFIED,"Provider replay evidence showing one financial effect"
FIN-009,Out-of-order event resilience,metadata retry and bootstrap logic/tests,"No provider out-of-order dataset",PARTIALLY_SATISFIED,"Controlled out-of-order provider event evidence"
FIN-010,Invoice lifecycle mirror,subscription_invoices handlers/tests,"Only zero-dollar draft invoice observed",OPEN,"Created/finalized/paid/failed invoice reconciliation"
FIN-011,PaymentIntent lifecycle mirror,payments handlers/tests,"No PaymentIntents observed",OPEN,"Success and failure provider evidence"
FIN-012,Charge reconciliation,payment and invoice mirror code,"No charges observed",OPEN,"Charge/PaymentIntent/invoice/local-ledger crosswalk"
FIN-013,Refund or credit treatment,No closure evidence established,"No refunds observed",OPEN,"Authorized refund/credit test and local representation"
FIN-014,Financial report control totals,Local subscription invoice and payment collections,"No customer transaction control total",OPEN,"Stripe-to-EquineSync report/export variance of zero"
FIN-015,Payload minimization,No raw payload persistence and capped summary tests,"Read-only inspection exposed no stored EquineSync payloads",PARTIALLY_SATISFIED,"Runtime log and database evidence with no secrets/raw payload"
FIN-016,Failure and retry recovery,502/503 retry states and stale-lock tests,"No provider retry evidence",PARTIALLY_SATISFIED,"Provider retry and recovery receipts"
FIN-017,Customer tax-location completeness,Customer/invoice tax fields,"Customer address absent; invoice requires location inputs",OPEN,"Location collection and completed automatic-tax calculation"
FIN-018,Founder closure disposition,CGP006 gap register and IWP candidate,"No closure decision",OPEN,"Express Founder closure after all evidence passes"
