field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
role,role,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,role_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
accountable_function,accountable function,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,accountable_function_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
responsible_function,responsible function,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,responsible_function_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
consulted_function,consulted function,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,consulted_function_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
informed_function,informed function,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,informed_function_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
appointment_authority,appointment authority,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,appointment_authority_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
appointment_evidence,appointment evidence,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,appointment_evidence_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
acceptance_evidence,acceptance evidence,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,acceptance_evidence_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
effective_date,effective date,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,effective_date_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
deputy,deputy,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,deputy_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
succession_process,succession process,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,succession_process_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
response_deadline,response deadline,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,response_deadline_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
overdue_escalation,overdue escalation,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,overdue_escalation_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
conflict_restrictions,conflict restrictions,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,conflict_restrictions_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
review_responsibility,review responsibility,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,review_responsibility_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
reassignment_trigger,reassignment trigger,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,reassignment_trigger_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
accountability_gap_effect,accountability gap effect,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,07_OWNERSHIP_STEWARDSHIP_REVIEW/OWNERSHIP_ACCOUNTABILITY_MATRIX.csv,required column present; enum and relationship checks where implemented,accountability_gap_effect_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
