section,canonical_heading,source_ids,requirement_ids,acceptance_ids,test_ids,decision_ids,unresolved_ids,status
1,Document Control and Status,HOR-SRC-001,HOR-REQ-094;HOR-REQ-099;HOR-REQ-100,NONE,NONE,NONE,NONE,DOCUMENTED
2,Executive Summary,HOR-SRC-002;HOR-SRC-003;HOR-SRC-005,HOR-REQ-001;HOR-REQ-020;HOR-REQ-050;HOR-REQ-101;HOR-REQ-113,NONE,NONE,NONE,NONE,DOCUMENTED
3,"Purpose, Outcomes, and Success Measures",HOR-SRC-001;HOR-SRC-012,HOR-REQ-001;HOR-REQ-088;HOR-REQ-093,NONE,NONE,NONE,NONE,DOCUMENTED
4,Authoritative Sources and Inheritance,HOR-SRC-001;HOR-SRC-002;HOR-SRC-003;HOR-SRC-004;HOR-SRC-005;HOR-SRC-006;HOR-SRC-007;HOR-SRC-008;HOR-SRC-009;HOR-SRC-010;HOR-SRC-011;HOR-SRC-012,HOR-REQ-094;HOR-REQ-099,NONE,NONE,NONE,NONE,DOCUMENTED
5,"Scope, Boundaries, and Ownership",HOR-SRC-005;HOR-SRC-006;HOR-SRC-007;HOR-SRC-008,HOR-REQ-002;HOR-REQ-037;HOR-REQ-069;HOR-REQ-120,NONE,NONE,NONE,NONE,DOCUMENTED
6,Definitions and Controlled Vocabulary,HOR-SRC-002;HOR-SRC-003,HOR-REQ-001;HOR-REQ-029,NONE,NONE,NONE,NONE,DOCUMENTED
7,"Actors, Roles, Relationships, and Authorities",HOR-SRC-006;HOR-SRC-007;HOR-SRC-008,HOR-REQ-057;HOR-REQ-058;HOR-REQ-069;HOR-REQ-120,NONE,NONE,NONE,NONE,DOCUMENTED
8,Capability Map and Release Classification,HOR-SRC-001;HOR-SRC-005,HOR-REQ-096;HOR-REQ-100,NONE,NONE,NONE,NONE,DOCUMENTED
9,User and Operational Workflows,HOR-SRC-002;HOR-SRC-003;HOR-SRC-007,HOR-REQ-002;HOR-REQ-040;HOR-REQ-050;HOR-REQ-113,NONE,NONE,NONE,NONE,DOCUMENTED
10,Business Rules and Decision Logic,HOR-SRC-002;HOR-SRC-003;HOR-SRC-009,HOR-REQ-001;HOR-REQ-040;HOR-REQ-050;HOR-REQ-113,NONE,NONE,NONE,NONE,DOCUMENTED
11,"Data Entities, Relationships, and Provenance",HOR-SRC-002;HOR-SRC-003;HOR-SRC-009,HOR-REQ-009;HOR-REQ-012;HOR-REQ-087,NONE,NONE,NONE,NONE,DOCUMENTED
12,"Record Ownership, Stewardship, Correction, and Retention",HOR-SRC-009,HOR-REQ-009;HOR-REQ-015;HOR-REQ-068;HOR-REQ-115,NONE,NONE,NONE,NONE,DOCUMENTED
13,State and Transition Models,HOR-SRC-002;HOR-SRC-003,HOR-REQ-005;HOR-REQ-029;HOR-REQ-050;HOR-REQ-111,NONE,NONE,NONE,NONE,DOCUMENTED
14,Authorization and Permission Matrix,HOR-SRC-007,HOR-REQ-069;HOR-REQ-070;HOR-REQ-072,NONE,NONE,NONE,NONE,DOCUMENTED
15,User Interface and Experience Requirements,HOR-SRC-009;HOR-SRC-011,HOR-REQ-019;HOR-REQ-020;HOR-REQ-104;HOR-REQ-116,NONE,NONE,NONE,NONE,DOCUMENTED
16,"API, Event, Job, and Integration Contracts",HOR-SRC-011,HOR-REQ-084;HOR-REQ-087,NONE,NONE,NONE,NONE,DOCUMENTED
17,Notifications and Communications,HOR-SRC-011,HOR-REQ-087,NONE,NONE,NONE,NONE,DOCUMENTED
18,"Files, Media, and Document Handling",HOR-SRC-009,HOR-REQ-073;HOR-REQ-076;HOR-REQ-116,NONE,NONE,NONE,NONE,DOCUMENTED
