source_id,repository_path_or_location,claimed_sha256,verification_result,authority_effect_summary,notes
SRC-001,docs/canon/CANON_INDEX.md,4fa4e10369389728aa9116d9cfeece59b468a8dfe62f0a2088141a52a101ea4a,HASH_MATCH_AT_PR_HEAD,Higher-order constitutional and operational source map; no implementation or production authority,RESOLVED_REPOSITORY_PATH
SRC-002,docs/canon/registries/CANON_STATE_AND_LOCK_REGISTRY.md,272f35833dad117c08bd4e673dfd673becbc3cbc3eb0b240ce436f49292424ec,HASH_MATCH_AT_PR_HEAD,"Registry evidence only; rows cannot create active, adopted, or locked states without durable decision/checksum/index action",RESOLVED_REPOSITORY_PATH
SRC-003,docs/canon/registries/CANON_LOCK_LEDGER.md,ccbcda1f1f1e2d858adf8bc38973a29634d6e487de8d7990171092cdd5aded4e,HASH_MATCH_AT_PR_HEAD,Checksum-backed lock evidence and continuing non-authorization boundaries,RESOLVED_REPOSITORY_PATH
SRC-004,docs/canon/registries/IMPLEMENTATION_AUTHORIZATION_REGISTRY.md,3d2d90ecbe3cc519b21628145dab8f57d3d492b6126db582bd2da86df29efe45,HASH_MATCH_AT_PR_HEAD,All unlisted runtime/schema/provider/production/release authority defaults false,RESOLVED_REPOSITORY_PATH
SRC-005,docs/canon/registries/GOVERNANCE_FINDING_REGISTRY.md,6573f1a831ea1c7f84c5241acef3d24069265eb1d13972273f066d099d8b706f,HASH_MATCH_AT_PR_HEAD,"Findings track blockers, retained P2s, closure rules, and implementation/activation impacts",RESOLVED_REPOSITORY_PATH
SRC-006,docs/canon/registries/CANON_ARTIFACT_INVENTORY.md,5cedea86f1dfcbcf6bb69aef000f25175ed72d497fda18826f69b51c770382d1,HASH_MATCH_AT_PR_HEAD,Descriptive source inventory and provenance; does not create authority,RESOLVED_REPOSITORY_PATH
SRC-007,docs/canon/registries/CANON_DEPENDENCY_REGISTRY.md,dffc4f152f65f5ebcf65c27b533b45a217f3c60f1737a87cffd38c165c5cb562,HASH_MATCH_AT_PR_HEAD,Dependency mapping input; does not override canons,RESOLVED_REPOSITORY_PATH
SRC-008,docs/canon/registries/DOMAIN_OWNER_AND_STEWARD_REGISTRY.md,2cad6f74e89eb404fa8b520b694d71ea93e1240d9b01c24e98eff107f9f3b5c3,HASH_MATCH_AT_PR_HEAD,Assigns responsibility classes only; separate operational registries required for named assignments,RESOLVED_REPOSITORY_PATH
SRC-009,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,16c9b4c4f16f078c036c0768da38ae0d70cc643b10f9b5d76a50205a426ba551,HASH_MATCH_AT_PR_HEAD,Current aggregate baseline lock record; global lock preserves each included artifact lifecycle and grants no implementation/runtime/production authority,RESOLVED_REPOSITORY_PATH
SRC-010,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_SCOPE.md,6f46803d8074ba530a042f34f4c1f9f4dc31bd61dc83bbec811e758605182b52,HASH_MATCH_AT_PR_HEAD,Defines included/excluded scope and current-state checksum authority,RESOLVED_REPOSITORY_PATH
