t1c_id,severity,consolidated_defect,current_target_disposition,closure_state,source_review_ids,current_target_evidence,second_reviewer_state,authority_effect,merge_effect
T1C-001,BLOCKING,Package integrity chain was stale and internally inconsistent.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-01;CLAUDE-V2-02;PPLX-N-01;PPLX-N-03,"V3 regenerates per-directory manifests, MANIFEST_OF_MANIFESTS.csv, root PACKAGE_MANIFEST.json, root CHECKSUMS.sha256, and final detached ZIP checksum after content stabilization.",NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-002,BLOCKING,Founder decision lifecycle wording used an incorrect state count although the operative model contains thirteen states.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-04;PPLX-FD-001,V3 replaces operative incorrect state-count wording with thirteen-state wording and preserves no-disposition/no-authority decision posture.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-003,BLOCKING,Founder residual-risk disposition population was not independently closed.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-04;PPLX-P-03,V3 records no Founder disposition and retains residual-risk closure for Founder or authorized reviewer action.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-004,BLOCKING,Document 10 template purpose-specificity remains disputed by source reviewers.,VALID_OPEN_RETAINED_PENDING_INDEPENDENT_DOC10_ADJUDICATION,OPEN_RETAINED_FOR_INDEPENDENT_ADJUDICATION,PPLX-P-04;PPLX-V3-03;CURSOR-VR3-001;CLAUDE-V3-04,"V4 authors purpose-specific Doc 10 templates and gates normalized bodies, but does not close the dispute without independent adjudication.",NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-005,BLOCKING,Source authority labels over-described approval evidence as package adoption.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-04;PPLX-P-06,V3 scopes the label to source-contained Founder approval evidence and does not treat it as adoption of this package.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-006,BLOCKING,Document 03 requirement discovery remains candidate-only and not independently verified.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-04;PPLX-P-01,V3 removes verified-fact hedging but retains source-text candidate limitations.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-007,HIGH,Source-review traceability used placeholders and duplicate evidence rows.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CLAUDE-V2-03;CLAUDE-V2-07;PPLX-N-04;PPLX-N-05,V3 populates actual source-review identifiers and makes the closure evidence register a distinct evidence register.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-008,HIGH,Validator PASS was overstated while stronger integrity checks failed and negative fixtures were inert.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,PPLX-V3-01;PPLX-V3-03;CURSOR-VR3-005;CLAUDE-V3-01,"V4 designates one authoritative validator, archives older validators as non-operative, and runs negative fixtures by mutating temporary package copies.",NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-009,HIGH,Founder decision surfaces could imply selected approval.,REMEDIATED_IN_V3_PENDING_REREVIEW,REMEDIATED_PENDING_OUTSIDE_REVIEWER_REREVIEW,CURSOR-V3-01;CLAUDE-V3-01,V3 preserves NO_DISPOSITION_SELECTED and NONE_BY_THIS_PACKAGE authority state.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
T1C-010,HIGH,Production/deployment evidence-state separation remains documentary only.,VALID_OPEN_RETAINED,OPEN_RETAINED_FOR_OUTSIDE_REVIEWER_REREVIEW,CURSOR-VR3-007,V3 retains no-production-use and no-implementation boundary.,NOT_PERFORMED_NOT_FABRICATED,NONE,MERGE_NOT_AUTHORIZED
