FEATURE_ID,FINAL_SCENARIO_COUNT,FINAL_CONTROLLING_SCENARIO_ID,FINAL_CONTROLLING_SCENARIO_SCOPE_KEY,FINAL_RESIDUAL_SEVERITY,FINAL_RESIDUAL_LIKELIHOOD,FINAL_RISK_SCORE,FINAL_RISK_PRIORITY_SIGNAL,FINAL_GOVERNANCE_GATE_STATE,FINAL_GOVERNANCE_URGENCY,CO_CONTROLLING_SCENARIO_SCOPE_KEYS,INSUFFICIENT_EVIDENCE_SCENARIO_COUNT,FEATURE_RESULT_STATE
ES-FEAT-ADMINOPS-001,1,RB-ADMINOPS-001-01,ES-FEAT-ADMINOPS-001::ADMIN_SECURITY_CONTROL_FAILURE::ENTIRE_PLATFORM_TENANT_POPULATION::SYSTEMIC_UNAUTHORIZED_ACCESS_OR_MASKED_INCIDENT::ES-RISK-SCOPE-MCE-001,CRITICAL,POSSIBLE,12,VERY_HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-AI-001,2,RB-AI-001-01,ES-FEAT-AI-001::AI_RECOMMENDATION_ACTED_ON_WITHOUT_EFFECTIVE_OVERRIDE::END_USER_ACTING_ON_RECOMMENDATION::BOUNDED_INCORRECT_ACTION_FROM_UNREVIEWED_AI_OUTPUT::ES-RISK-SCOPE-MCE-001,MEDIUM,POSSIBLE,6,MODERATE_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,1,CALIBRATED_EXERCISE_RESULT
ES-FEAT-CARE-010,1,RB-CARE-010-01,ES-FEAT-CARE-010::CARE_PLAN_OR_MEDICATION_RECORD_FAILURE::HORSE_UNDER_CARE::MISSED_OR_DELAYED_CRITICAL_CARE::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-COMMUNICATIONS-001,1,RB-COMMUNICATIONS-001-01,ES-FEAT-COMMUNICATIONS-001::MESSAGE_MISDELIVERY_OR_VISIBILITY_ERROR::MESSAGE_RECIPIENT_OR_SUBJECT::BOUNDED_PERSONAL_DATA_EXPOSURE::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-DEVELOPER-001,2,RB-DEVELOPER-001-01,ES-FEAT-DEVELOPER-001::API_CREDENTIAL_OR_SANDBOX_ISOLATION_DEFECT::INTEGRATION_PARTNER_OR_OTHER_TENANT::UNAUTHORIZED_CROSS_TENANT_ACCESS::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-DOCUMENTS-001,1,RB-DOCUMENTS-001-01,ES-FEAT-DOCUMENTS-001::ESIGNATURE_OR_CONSENT_RECORD_FAILURE::AGREEMENT_OR_CONSENT_SUBJECT::IMPAIRED_PROOF_OF_CONSENT_OR_WAIVER::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-EVENTS-001,1,RB-EVENTS-001-01,ES-FEAT-EVENTS-001::TRAVEL_TRANSPORT_OR_LODGING_COORDINATION_FAILURE::PROTECTED_PARTICIPANT_TRAVELING_OFFSITE::UNAUTHORIZED_OR_UNSUPERVISED_MOVEMENT::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-FACILITY-001,2,AB-RECON-FACILITY-001-A01,AB-RECON-FACILITY-001-A01::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-FINANCIAL-008,1,RB-FINANCIAL-008-01,ES-FEAT-FINANCIAL-008::PAYMENT_OR_PAYOUT_PROCESSING_DEFECT::FACILITY_OWNER_OR_OWNER_PAYEE::UNAUTHORIZED_OR_INCORRECT_FUND_MOVEMENT::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,NONE,0,CALIBRATED_EXERCISE_RESULT
ES-FEAT-HORSE-013,2,RB-HORSE-013-02,ES-FEAT-HORSE-013::LIFECYCLE_OR_TRANSFER_RECORD_CORRUPTION::HORSE_IDENTITY_RECORD::CONSEQUENTIAL_PROVENANCE_CORRUPTION::ES-RISK-SCOPE-MCE-001,HIGH,POSSIBLE,9,HIGH_PRIORITY_SIGNAL,GATE_STATUS_UNKNOWN,PLANNED,ES-FEAT-HORSE-013::LIFECYCLE_OR_TRANSFER_RECORD_CORRUPTION::HORSE_IDENTITY_RECORD::CONSEQUENTIAL_PROVENANCE_CORRUPTION::ES-RISK-SCOPE-MCE-001;ES-FEAT-HORSE-013::PUBLIC_PROJECTION_SCOPE_ERROR::HORSE_RECORD_SUBJECT_AND_OWNER::UNAUTHORIZED_PUBLIC_DISCLOSURE_OF_CONFIDENTIAL_RECORD::ES-RISK-SCOPE-MCE-001,0,CALIBRATED_EXERCISE_RESULT
