document,first_draft_sha256,first_pass_review,finding_ids,required_change,revision_count,final_sha256,second_pass_review,final_status
ACCEPTANCE_CRITERIA.csv,1e8d803d793bb689d790320fc6a7e215592758de4dc85446500ba1bb06904120,COMPLETED,NONE,NO,0,1e8d803d793bb689d790320fc6a7e215592758de4dc85446500ba1bb06904120,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
ADVERSARIAL_SCENARIOS.md,48bf7761ee74616787c6364918f3eeb687eba943068270dcd97cd25022e55544,COMPLETED,FAC-FIND-P1-004,YES,0,48bf7761ee74616787c6364918f3eeb687eba943068270dcd97cd25022e55544,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
API_EVENT_JOB_CONTRACTS.md,24c502c6d4cde92ff6d53e32befd35a55f26a358709e0dfbbe682c3372609035,COMPLETED,FAC-FIND-P2-001;FAC-FIND-P3-002,YES,0,24c502c6d4cde92ff6d53e32befd35a55f26a358709e0dfbbe682c3372609035,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
AS_BUILT_RECONCILIATION.md,b443706b70c478d0442b44a5e16b922ce78bb04740c53b11cbf32ab48302041b,COMPLETED,FAC-FIND-P2-006,YES,0,b443706b70c478d0442b44a5e16b922ce78bb04740c53b11cbf32ab48302041b,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
CHANGE_CONTROL_LOG.md,6321786a0a3fbf921b57d6c3d08e9c8f370a21d5a4369d03a29353559272af94,COMPLETED,NONE,NO,0,6321786a0a3fbf921b57d6c3d08e9c8f370a21d5a4369d03a29353559272af94,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
DATA_DICTIONARY.md,16ee15da8020e58e760d56505435bf2f468f9714782b374377a92c6c993c3576,COMPLETED,FAC-FIND-P1-001;FAC-FIND-P2-002;FAC-FIND-P2-004,YES,1,e9abc6d63fece50108ec91e08e8fa341226cc5b6c8a3aeae0fbdc22010473503,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
DEPENDENCY_REGISTER.csv,d92cc3f95b58d93bdc32652803ee2d0808b76a4d28af0095d1dcba9302ef88ef,COMPLETED,NONE,NO,0,d92cc3f95b58d93bdc32652803ee2d0808b76a4d28af0095d1dcba9302ef88ef,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
DOCUMENT_OVERVIEW_AND_RATIONALE.md,17121dadd9ad30ed7d5f3ccde316ec4e12892da7f7660a761289a0c6486dc5fa,COMPLETED,NONE,NO,0,17121dadd9ad30ed7d5f3ccde316ec4e12892da7f7660a761289a0c6486dc5fa,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
ENGINEERING_WORK_PACKAGE_REGISTER.csv,ab09ef6bfc90444548d6ae330ff14dffa8ae6e8152832792d94282ca988f7134,COMPLETED,NONE,NO,0,ab09ef6bfc90444548d6ae330ff14dffa8ae6e8152832792d94282ca988f7134,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
EVIDENCE_MANIFEST.json,71bba937060e2b43f7f0b309156c3546ebd31b302181440b632b030d26bf664a,COMPLETED,NONE,NO,0,71bba937060e2b43f7f0b309156c3546ebd31b302181440b632b030d26bf664a,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_DECISION_BRIEF.md,d049049897d24d70a8d6b31d2e6f8ce43f136e7c97694ca06fa9296f1792f1ae,COMPLETED,FAC-FIND-P3-001;FAC-FIND-P3-003,YES,0,d049049897d24d70a8d6b31d2e6f8ce43f136e7c97694ca06fa9296f1792f1ae,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_DECISION_RECOMMENDATION_MATRIX.csv,5251f21a7c4e755a77859a4c89826a6f274938db311517d490c405158b062aea,COMPLETED,NONE,NO,0,5251f21a7c4e755a77859a4c89826a6f274938db311517d490c405158b062aea,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_DECISION_RECOMMENDATION_MATRIX.json,99f703ace7cf7564cd72a4cb6c065967bbfbbbd1508cc1b14d44831547f040c3,COMPLETED,NONE,NO,0,99f703ace7cf7564cd72a4cb6c065967bbfbbbd1508cc1b14d44831547f040c3,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_DECISION_REGISTER.md,cef4ab7d874d86c833d140ec72db46a7118dd64810ab4beae4b84c2a6ed7a3b3,COMPLETED,FAC-FIND-P2-005,YES,0,cef4ab7d874d86c833d140ec72db46a7118dd64810ab4beae4b84c2a6ed7a3b3,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_INPUT_QUESTIONS.md,1a04cf3e0d5e8407afa3fce159ec414329d5e3f6a9a062d75c9e506cf53fb008,COMPLETED,NONE,NO,0,1a04cf3e0d5e8407afa3fce159ec414329d5e3f6a9a062d75c9e506cf53fb008,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_INPUT_QUESTION_REGISTER.csv,e4ba262eb9fc9e8c4161d6b5e7da5cf782e7ea2ba248b982cd60bddb18d1c9c9,COMPLETED,NONE,NO,0,e4ba262eb9fc9e8c4161d6b5e7da5cf782e7ea2ba248b982cd60bddb18d1c9c9,COMPLETED,CONFIRMED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
FOUNDER_REVIEW_PACKET.md,2ccf3180eb529546f555572369a592fa58c7afd8c3253d960ca26bf9e9fb7046,COMPLETED,FAC-FIND-P3-003,YES,0,2ccf3180eb529546f555572369a592fa58c7afd8c3253d960ca26bf9e9fb7046,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
GOLDEN_PATHS.md,b65fc72877be8431bfe82318f4cf2aabe4affbd661eaad24f2a1c8f54b465b59,COMPLETED,FAC-FIND-P1-004;FAC-FIND-P2-002;FAC-FIND-P3-001,YES,0,b65fc72877be8431bfe82318f4cf2aabe4affbd661eaad24f2a1c8f54b465b59,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
INHERITANCE_AND_SHARED_CONTROL_REGISTER.md,7be4e6a803ff9e4cc3d2b1812ae8a2280e68900d5b414d477bbd2313b44c4a4f,COMPLETED,FAC-FIND-P2-004,YES,0,7be4e6a803ff9e4cc3d2b1812ae8a2280e68900d5b414d477bbd2313b44c4a4f,COMPLETED,REVISED_AND_ACCEPTED_FOR_FOUNDER_REVIEW
