path,line,matched_terms,assertion_excerpt,classification,rationale
governance/implementation/code-guides/CONTROLLED_VALUES.md,23,ADOPTED,- `ADOPTED`,OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/CONTROLLED_VALUES.md,98,NOT_ADOPTED;ADOPTED,- `NOT_ADOPTED`,OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,9,NOT_ADOPTED;ADOPTED,**Guide adoption state:** `NOT_ADOPTED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,24,PR #42,- Historical PR #42 final head: `83d8e3af9afa50a55af4b679016c2568c6d3c61d`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,25,PR #42;db4984ee8781534c8ad8731f89c7a882013cb592,- Historical PR #42 merge commit: `db4984ee8781534c8ad8731f89c7a882013cb592`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,26,CGP006-W1-CAR-0001,- Historical adoption record: `CGP006-W1-CAR-0001`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,27,NOT_ADOPTED;ADOPTED,- Current controlling state: `WAVE_1_V1_1_ADOPTION_STATE_NOT_ADOPTED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,31,PR #42,"PR #42 remains preserved as historical pre-V1.1 documentary authority and is not void, erased, or retroactively invalidated. PR #42 conditional adoption is not carried forward as V1.1 Stage 22 adoption and may not be used as evidence that `ES-CG-00`, `ES-CG-01`, `ES-CG-10`, or `ES-CG-13` completed the V1.1 lifecycle.",CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,35,NOT_ADOPTED;ADOPTED,| `ES-CG-00` | Conditional adoption preserved historically | `NOT_ADOPTED` | `NOT_ACTIVE` |,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,36,NOT_ADOPTED;ADOPTED,| `ES-CG-01` | Conditional adoption preserved historically | `NOT_ADOPTED` | `NOT_ACTIVE` |,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,37,NOT_ADOPTED;ADOPTED,| `ES-CG-10` | Conditional adoption preserved historically | `NOT_ADOPTED` | `NOT_ACTIVE` |,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,38,NOT_ADOPTED;ADOPTED,| `ES-CG-13` | Conditional adoption preserved historically | `NOT_ADOPTED` | `NOT_ACTIVE` |,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,48,NOT_ADOPTED;ADOPTED,`CURRENT_WAVE_1_V1_1_ADOPTION_STATE_NOT_ADOPTED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,72,ADOPTED,`NO_ADOPTED_OR_CANDIDATE_GUIDE_BYTES_CHANGED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,154,ADOPTED,`NO_ADOPTED_GUIDE_BYTES_CHANGED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/PROGRAM_STATUS.md,206,NOT_ADOPTED;ADOPTED,"All fourteen guides remain `NOT_ADOPTED` and `NOT_ACTIVE`. No guide is effective. No implementation, production, source-promotion, source-freeze amendment, CGP-006 warning closure, `CGP005-TA-APP-GAP-0004` closure, app-code, product-test, CI, schema, migration, deployment, provider, pilot, financial, messaging, moderation, AI, archival, enrollment, PIA, atlas, or CGP-007 authority is granted. Documentary closure is limited to `CGP005-TA-APP-GAP-0001`, `CGP005-TA-APP-GAP-0002`, and `CGP005-TA-APP",CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/README.md,35,NOT_ADOPTED;ADOPTED;CGP006-W1-CAR-0001;PR #42,"PR #42 and adoption record `CGP006-W1-CAR-0001` are preserved as historical pre-V1.1 conditional-adoption authority. Under the current V1.1 program plan, that historical conditional adoption is not carried forward as V1.1 Stage 22 adoption; `ES-CG-00`, `ES-CG-01`, `ES-CG-10`, and `ES-CG-13` remain `NOT_ADOPTED` and `NOT_ACTIVE`.",CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/README.md,43,NOT_ADOPTED;ADOPTED,`CURRENT_WAVE_1_V1_1_ADOPTION_STATE_NOT_ADOPTED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/README.md,67,ADOPTED,`NO_ADOPTED_OR_CANDIDATE_GUIDE_BYTES_CHANGED`,CURRENT_V1_1_STATUS_CONTROLLING,Classified by authority-reconciliation validator from path and assertion context.
governance/implementation/code-guides/classification/CGP-006/CGP_006_CONFLICT_REGISTER.csv,2,ADOPTED,"CGCON-0001,CGSRC-ARCH-0021;CGSRC-GOV-0018,ES-CG-01;ES-CG-13,CANDIDATE_VERSUS_ADOPTED,NON_BLOCKING_RETAINED_FOR_DRAFTING,Treat candidates/history as non-controlling unless an adoption or lock record makes them controlling.,NO,VISIBLE_RETAINED_CONFLICT_EVIDENCE_NO_GATE_BLOCKER,Use canon registries and source supersession before source freeze.,Retained as conflict evidence; documentary authority controls over implementation behavior.",OUT_OF_SCOPE_CONTEXT_ONLY,Classified by authority-reconciliation validator from path and assertion context.
