question_id,decision_id,question,why_needed,recommended_answer,alternatives,gate,status,founder_input
FAC-OQ-001,FAC-FD-019,What topology behavior is allowed offline?,Stale authority can corrupt canonical topology.,Permit only minimum-authorized expiring reads and context-neutral observations; no consequential topology mutation until online revalidation.,Allow offline create/move/merge; no offline access at all.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,
FAC-OQ-002,FAC-FD-020,What happens on Tenant or Facility suspension?,Safety evidence loss or unauthorized continuation.,"Deny ordinary consequential access across all surfaces, preserve emergency/safety evidence capture only through a narrowly controlled path, and require online revalidation for reinstatement.",Total lockout including safety evidence; allow reads/writes unchanged.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,
FAC-OQ-003,FAC-FD-021,What support-access model is allowed?,Privacy exposure or inability to resolve incidents.,"Use ticket-bound, reason-coded, time-limited, least-privilege, impersonation-free access with approval and immutable audit.",Standing superuser access; no support access.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,
FAC-OQ-004,FAC-FD-022,"What retention rules apply to topology, identity, projection, and evidence records?",Unsupported legal precision or loss of evidence.,"Retain identity/lineage/audit under governed evidence rules, make public projections revocable, and set field-level schedules only after legal and operational review.",One universal duration; hard-delete the entire topology.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,
FAC-OQ-005,FAC-FD-023,What capacity and suitability assertions may a first-user Facility or Area display?,Unsafe reliance or poor planning.,"Treat them as dated, sourced assertions with units, confidence and limitations; never as guarantees of safety.",Static unqualified numbers; omit capacity entirely.,REQUIRED_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,
FAC-OQ-006,FAC-FD-024,How is active context switching presented to users?,Wrong-context changes.,"Show persistent Tenant/Facility/Organization context, require confirmation for consequential actions, and never silently switch because a link was opened.",Hidden automatic context; single sticky Barn.,REQUIRED_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,
FAC-OQ-007,FAC-FD-025,"Which canonical API commands, events, and jobs are permitted?",Contract drift or unbuildable design.,Use the candidate contracts as design interfaces only and require separate implementation authorization plus schema/security review.,Build directly from prose; defer all contracts.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,
FAC-OQ-008,FAC-FD-026,What nonfunctional thresholds apply?,False precision or untestable reliability.,"Require measured isolation, accessibility, recovery, latency and scale budgets in an authorized work package; retain qualitative gates until evidence exists.",Invent numeric thresholds now; omit quality gates.,REQUIRED_BEFORE_IMPLEMENTATION_AUTHORIZATION,OPEN_BEFORE_IMPLEMENTATION_AUTHORIZATION,
FAC-OQ-009,FAC-FD-027,What closure and suspension communication is required?,Stranded users or excessive access.,"Notify affected context members through governed notice, show effective time/consequences, and preserve access only where separate authority requires it.",Immediate silent closure; indefinite full access.,REQUIRED_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,
FAC-OQ-010,FAC-FD-028,What evidence is required before Founder design approval and later enrollment decisions?,Status inflation and unreviewed doctrine.,"Resolve design-gate decisions, commission fresh segregated review, verify source/traceability gaps are zero, and record separate approval and later readiness decisions.",Treat this recommendation as approval; approve from summary alone.,REQUIRED_BEFORE_ENROLLMENT,OPEN_BEFORE_ENROLLMENT,
