exclusion_id,guide_id,source_id,title,repository_path,authority_status,source_class,inclusion_category,exclusion_reason,required_later_action,blocks_drafting,blocks_adoption_or_activation
CGP005-EXCL-ES-CG-01-0001,ES-CG-01,CGSRC-ARCH-0001,API_CONTRACTS.md,docs/API_CONTRACTS.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0002,ES-CG-01,CGSRC-ARCH-0002,API_VERSIONING.md,docs/API_VERSIONING.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0003,ES-CG-01,CGSRC-ARCH-0003,ARCHITECTURE.md,docs/ARCHITECTURE.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0004,ES-CG-01,CGSRC-ARCH-0004,Audit Logging (Phase 5),docs/AUDIT_LOGGING.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0005,ES-CG-01,CGSRC-ARCH-0005,Care Workflow Strengthening (Phase 6),docs/CARE_WORKFLOW_STRENGTHENING.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0006,ES-CG-01,CGSRC-ARCH-0006,DATA_MODEL.md,docs/DATA_MODEL.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0007,ES-CG-01,CGSRC-ARCH-0007,Field Reliability Offline Matrix,docs/FIELD_RELIABILITY_OFFLINE_MATRIX.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0008,ES-CG-01,CGSRC-ARCH-0008,INCIDENT_RESPONSE.md,docs/INCIDENT_RESPONSE.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0009,ES-CG-01,CGSRC-ARCH-0009,OBSERVABILITY.md,docs/OBSERVABILITY.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
CGP005-EXCL-ES-CG-01-0010,ES-CG-01,CGSRC-ARCH-0010,Offline Implementation Plan,docs/OFFLINE_IMPLEMENTATION_PLAN.md,SUPPORTING,APPROVED_ARCHITECTURE,REFERENCE_CORPUS_INDEXED_NOT_NORMATIVE,Retained in the non-normative Wave 1 reference corpus because it was mapped during CGP-003 but was not necessary under the guide-specific inclusion test.,"Re-evaluate only if later drafting identifies a concrete authority, interpretation, provenance, implementation-evidence, or retained-conflict need.",NO,NO
