provider_id,provider,boundary_id,source_path,source_symbol,source_evidence_id,configuration_names,configured,integration_state,state,attempt_count,attempted_count,succeeded_count,failed_count,skipped_count,timed_out_count,unavailable_count,event_sequence,event_sha256,guard_session_id,measurement_basis,global_unapproved_attempt_count
analytics,Analytics,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,analytics_absence_attestation,S2A-SRC-6F3614BBAA5B,['ANALYTICS_WRITE_KEY'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,11,216a28910b637f90523ccdee38f08672d957bbe9f288f1af1d47b01884d274af,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
cloudflare_api,Cloudflare API,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,cloudflare_api_absence_attestation,S2A-SRC-6F3614BBAA5B,['CLOUDFLARE_API_TOKEN'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,5,739285fb3f9442f5c644bd879643ec83b358b72f9eb637987690c7761863bf0e,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
docusign,DocuSign,DOCUSIGN_READINESS,backend/core/document_signing.py,provider_readiness,S2A-SRC-C3171954381B,"['DOCUSIGN_ACCOUNT_ID', 'DOCUSIGN_INTEGRATION_KEY', 'DOCUSIGN_PRIVATE_KEY', 'DOCUSIGN_PRIVATE_KEY_PATH', 'DOCUSIGN_USER_ID']",False,PRESENT,SKIPPED_NOT_CONFIGURED,0,0,0,0,1,0,0,3,5cba3761e041548c5f23a6e29b605574975dc899afdcb0c55fe93e4cfcf7bb9e,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
external_ai,External AI,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,external_ai_absence_attestation,S2A-SRC-6F3614BBAA5B,"['EMERGENT_LLM_KEY', 'GEMINI_API_KEY', 'GOOGLE_API_KEY', 'OPENAI_API_KEY']",False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,10,4c4f3ac38e3696d97033387918ec1cbeef9f10dd46d984c474fe4f05a915ab1f,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
object_storage,Object storage,OBJECT_STORAGE_PROVIDER_SELECTION,backend/storage.py,get_provider,S2A-SRC-F233586AA1C3,"['STORAGE_ACCESS_KEY_ID', 'STORAGE_BUCKET', 'STORAGE_ENDPOINT_URL', 'STORAGE_PROVIDER', 'STORAGE_PUBLIC_BASE_URL', 'STORAGE_SECRET_ACCESS_KEY']",False,PRESENT,SKIPPED_LOCAL_STUB_SELECTED,0,0,0,0,1,0,0,4,cce73f32cfcd88cadb5979745af7ccdc17fc6459b7dea0a297239442709c126f,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
render,Render,NO_APPLICATION_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,render_out_of_process_attestation,S2A-SRC-6F3614BBAA5B,['RENDER_API_KEY'],False,OUT_OF_PROCESS_DEPLOYMENT_CONTROL,UNAVAILABLE_OUT_OF_PROCESS_CONTROL,0,0,0,0,0,0,1,6,0de33159b2ae41196217d2dc9ee4ef34adb0e26d2bbe0530593bacff5291259d,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
resend,Resend,RESEND_SEND,backend/mailer.py,send,S2A-SRC-47C839F00DCC,['RESEND_API_KEY'],False,PRESENT,SKIPPED_NOT_CONFIGURED,0,0,0,0,1,0,0,2,7e55e17c26d223a9cdf2af21c2198ac5d8826af0af38bcd2221845144b8a7244,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
sendgrid,SendGrid,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,sendgrid_absence_attestation,S2A-SRC-6F3614BBAA5B,['SENDGRID_API_KEY'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,8,6f379a668caadb8a77775ebd3088cb400d1709429db550799e0e48871335b231,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
stripe,Stripe,STRIPE_STARTUP_CATALOG,backend/core/billing_provisioning.py,ensure_stripe_catalog,S2A-SRC-D56B75262B02,['STRIPE_API_KEY'],False,PRESENT,SKIPPED_CONTROLLED_STAGE2A_OVERRIDE,0,0,0,0,1,0,0,1,0ef11adc87850f2da0e7953d452e20e2fd57e8702ed39a95b7c2ae833c094774,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
twilio,Twilio,NO_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,twilio_absence_attestation,S2A-SRC-6F3614BBAA5B,['TWILIO_AUTH_TOKEN'],False,ABSENT_FROM_RUNTIME_SOURCE,UNAVAILABLE_INTEGRATION_ABSENT,0,0,0,0,0,0,1,9,25bc670ecb5e62912181f283df80ddb713ae386402feab3b22d4ffddb362c549,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
vercel,Vercel,NO_APPLICATION_RUNTIME_BOUNDARY,stage2a/provider-capability-registry.json,vercel_out_of_process_attestation,S2A-SRC-6F3614BBAA5B,['VERCEL_TOKEN'],False,OUT_OF_PROCESS_DEPLOYMENT_CONTROL,UNAVAILABLE_OUT_OF_PROCESS_CONTROL,0,0,0,0,0,0,1,7,86711eebe5d49de2da0e32cb6279c421635046916da962cf5af26ce944968303,276e33f8ad79448a90873506bddc97f1,PROCESS_BOUND_HASH_CHAINED_RUNTIME_CAPABILITY_EVENT,0
