crosswalk_id,guide_id,source_id,source_class,authority_status,inclusion_category,mapping_type,coverage_note,source_freeze_record_id,freeze_manifest_path,readiness_effect
CGP005-XW-00001,ES-CG-00,CGSRC-GOV-0002,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0001,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00002,ES-CG-00,CGSRC-GOV-0003,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0002,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00003,ES-CG-00,CGSRC-GOV-0005,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0003,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00004,ES-CG-00,CGSRC-GOV-0006,ADOPTED_GOVERNANCE,SUPPORTING,SUPPORTING_FROZEN,SUPPORTING,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0004,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00005,ES-CG-00,CGSRC-GOV-0008,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0005,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00006,ES-CG-00,CGSRC-GOV-0009,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0006,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00007,ES-CG-00,CGSRC-GOV-0011,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0007,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00008,ES-CG-00,CGSRC-GOV-0012,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0008,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00009,ES-CG-00,CGSRC-GOV-0014,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0009,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
CGP005-XW-00010,ES-CG-00,CGSRC-GOV-0084,ADOPTED_GOVERNANCE,CONTROLLING,CONTROLLING_FROZEN,MANDATORY,charter_authority;program_scope;lifecycle;ownership;non_authorization,CGP005-NF-ES-CG-00-0010,governance/implementation/code-guides/guides/ES-CG-00/source-freeze/ES-CG-00_SOURCE_FREEZE_MANIFEST.json,SUPPORTS_FOUNDER_REVIEW_NOT_CGP006_READY
