component_id,component_name,component_type,repository_path,deployable_unit,implementation_state,authority_alignment,confidence,evidence_basis,source_ids,applicable_guides,owner_or_boundary,risk_domains,notes
CGP004-COMP-0001,Backend FastAPI application assembly,APPLICATION_ASSEMBLY,backend/server.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"FastAPI application factory imports API routers, request context, security headers, lifecycle hooks, and health endpoints.",CGSRC-REPO-0621,ES-CG-00;ES-CG-01;ES-CG-02;ES-CG-10;ES-CG-13,Backend runtime assembly; repository evidence only,architecture;operations;assurance,"Current routing topology is implementation evidence, not guide authority."
CGP004-COMP-0002,Backend configuration and database binding,CONFIGURATION_DATA_ACCESS,backend/core/config.py;backend/core/db.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Settings validation requires MONGO_URL and DB_NAME, tightens production JWT and CORS behavior, and creates the Motor client from configuration.",CGSRC-REPO-0621,ES-CG-02;ES-CG-03;ES-CG-10;ES-CG-11;ES-CG-13,Backend configuration and MongoDB access,data_state;operations;security,"Operational runbook, rotation, and restore authority remain downstream gaps."
CGP004-COMP-0003,Authentication and account session surface,IDENTITY_AUTH,backend/core/auth.py;backend/routes/auth.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"JWT validation, bcrypt password handling, refresh support, suspension checks, email verification gates, and server-side barn resolution are present.",CGSRC-REPO-0621;CGSRC-PIA-0001;CGSRC-PIA-0003,ES-CG-01;ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,Backend identity and authorization evidence,identity_access;privacy;security,Exact offline and stale-token behavior is not resolved by CGP-004.
CGP004-COMP-0004,Tenancy and permission helpers,TENANCY_AUTHORIZATION,backend/core/tenancy.py;backend/core/permissions.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Barn scoping helpers, account barn filters, active facility checks, optional auth gating, platform-role separation, and fail-closed unknown capabilities are present.",CGSRC-REPO-0621;CGSRC-PIA-0002;CGSRC-PIA-0003,ES-CG-01;ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,Backend tenancy and permission boundary,identity_access;facility_scope;safeguarding,Support/admin operational ownership and review cadence need later authority.
CGP004-COMP-0005,Horse profile and lifecycle routes,DOMAIN_API,backend/routes/horses.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,Horse list/get/create/update paths apply barn or provider-grant scoping and block barn_id moves through patch behavior.,CGSRC-REPO-0621;CGSRC-PIA-0004,ES-CG-04;ES-CG-08;ES-CG-10;ES-CG-13,Horse domain API,horse_profile;tenant_data;privacy,Guide-specific control mapping remains absent.
CGP004-COMP-0006,Care operations routes,DOMAIN_API,backend/routes/care.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Care records scope by barn or provider grant, validate referenced horse access, and include idempotency hints for medication/feed completion flows.",CGSRC-REPO-0621;CGSRC-PIA-0007,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,Care operations API,care_operations;idempotency;tenant_data,Veterinary/medical boundary wording must be set by later guide controls.
CGP004-COMP-0007,"Lessons, training, messages, service requests, and incidents",DOMAIN_API,backend/routes/operations.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Operations routes cover lesson, training, message, service-request, incident, and minor-communication guard behaviors with scoped access checks.",CGSRC-REPO-0621;CGSRC-PIA-0008;CGSRC-PIA-0010,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,Operations API,safeguarding;communications;domain_operations,Messaging/community activation remains unauthorized.
CGP004-COMP-0008,"Task materialization, events, notifications, and digests",EVENT_JOB_SYSTEM,backend/task_engine.py;backend/notifications.py;backend/core/lifespan.py,backend-api,PARTIALLY_IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Task templates, task completions, task events, notification dispatcher, retries, indexes, optional background loops, and startup materialization hooks are present.",CGSRC-REPO-0621;CGSRC-PIA-0006;CGSRC-EXT-0005,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,Backend job/event machinery,jobs;notifications;data_state;operations,"Operational ownership, recovery behavior, and external-standard adoption remain open."
CGP004-COMP-0009,"Subscription, billing, payment, and webhook surfaces",BILLING_FINANCIAL,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/membership.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Stripe checkout, allowed-origin checks, production webhook signature requirement, idempotency states, retry/stale-lock handling, and legacy membership 410 treatment are present.",CGSRC-REPO-0621;CGSRC-PIA-0009,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,Billing and financial operation evidence,financial;provider_webhook;operations,Financial activation remains unauthorized; provider live behavior not executed in CGP-004.
CGP004-COMP-0010,Minor safety and guarded communication helpers,SAFEGUARDING,backend/core/minor_safety.py;backend/core/minor_communication.py,backend-api,IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Pure helper logic covers age checks, guardian-link treatment, minor communication blocking, and conservative unknown-age handling.",CGSRC-REPO-0621;CGSRC-PIA-0008,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,Safeguarding helper layer,minor_safety;safeguarding;communications,Substantive safety controls remain reserved for guide drafting.
CGP004-COMP-0011,Document signing foundation,DOCUMENT_PROVIDER,backend/routes/document_signatures.py;backend/core/document_signing.py,backend-api,PARTIALLY_IMPLEMENTED,PARTIALLY_ALIGNED,HIGH,"Document templates, signing request foundation, guardian-required handling, DocuSign sandbox gating, and webhook HMAC/account/config validation are present.",CGSRC-REPO-0621;CGSRC-PIA-0008;CGSRC-PIA-0010,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-11;ES-CG-13,Document workflow and provider evidence,signatures;privacy;provider_webhook,No guide control or provider activation created.
