gap_id,gap_title,gap_type,affected_guides,repository_evidence,authority_alignment,implementation_state,severity,blocks_drafting,blocks_adoption,blocks_activation,required_next_action,status,notes
CGP004-GAP-0001,Guide-specific exact-byte source freeze remains required,SOURCE_FREEZE,PROGRAM_WIDE,governance/implementation/code-guides/source-accession,PARTIALLY_ALIGNED,MISSING,P2,YES,YES,YES,Complete guide-specific source freeze before any guide advances from CHARTERED to DRAFTING.,OPEN,Carries forward CGP-003 Founder decision CGP003-D-0002.
CGP004-GAP-0002,Complete repository-to-guide mapping is not yet finished,MAPPING,PROGRAM_WIDE,backend;frontend;.github/workflows/ci.yml;backend/tests,PARTIALLY_ALIGNED,PARTIALLY_IMPLEMENTED,P2,YES,YES,YES,Use CGP-004 component register as planning evidence for later guide-specific mapping and control work.,OPEN,"CGP-004 is a broad current-state assessment, not control mapping completion."
CGP004-GAP-0003,Offline stale authorization and revocation model is unresolved,OFFLINE_AUTH,ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-13,frontend/src/lib/api.js;frontend/src/lib/horseOpsDrafts.js,AUTHORITY_AMBIGUOUS,PARTIALLY_IMPLEMENTED,P2,YES,YES,YES,"Founder or later authorized guide work must set stale-token, revocation, device-loss, and offline write boundaries.",OPEN,Open decision CGP004-D-0001.
CGP004-GAP-0004,General offline conflict resolution is not proven,OFFLINE_CONFLICT,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-13,backend/task_engine.py;frontend/src/lib/horseOpsDrafts.js,PARTIALLY_ALIGNED,PARTIALLY_IMPLEMENTED,P2,YES,YES,YES,"Define conflict handling, idempotency, reconciliation, and user-visible recovery per guide before drafting/adoption.",OPEN,"Task completion has idempotency evidence, but broad offline conflict policy is absent."
CGP004-GAP-0005,Support and platform-admin operational access review is incomplete,IDENTITY_OPERATIONS,ES-CG-03;ES-CG-08;ES-CG-11;ES-CG-12;ES-CG-13,backend/core/permissions.py;backend/core/tenancy.py;frontend/src/lib/roleNavigation.js,PARTIALLY_ALIGNED,PARTIALLY_IMPLEMENTED,P2,YES,YES,YES,"Record operational ownership, review cadence, evidence, and support/admin access boundaries before activation.",OPEN,Open decision CGP004-D-0003.
CGP004-GAP-0006,Provider outage retry and disablement evidence is uneven,PROVIDER_OPERATIONS,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,backend/routes/subscriptions_webhook_handlers.py;backend/notifications.py;backend/mailer.py;backend/core/document_signing.py,PARTIALLY_ALIGNED,PARTIALLY_IMPLEMENTED,P2,NO,YES,YES,"Map provider retry, disablement, support response, and evidence requirements before guide adoption or gate activation.",OPEN,Stripe/subscription paths show stronger evidence than other provider areas.
CGP004-GAP-0007,"Migration, startup backfill, and rollback treatment is missing",DATA_MIGRATION,ES-CG-03;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,backend/core/lifespan.py;backend/task_engine.py,AUTHORITY_AMBIGUOUS,PARTIALLY_IMPLEMENTED,P2,NO,YES,YES,"Define migration/backfill ownership, rollback, recovery, and verification evidence in later guides.",OPEN,Startup side effects are implementation evidence only.
CGP004-GAP-0008,Frontend/backend role mirror drift remains a risk,AUTHORIZATION_DRIFT,ES-CG-03;ES-CG-07;ES-CG-08;ES-CG-10;ES-CG-13,backend/core/permissions.py;frontend/src/lib/permissions.js;frontend/src/lib/roleNavigation.js,PARTIALLY_ALIGNED,PARTIALLY_IMPLEMENTED,P3,NO,YES,YES,Later mapping should prove backend enforcement coverage for each UI surface and detect UI mirror drift.,OPEN,"Backend source of truth is visible, but guide assurance mapping is not complete."
CGP004-GAP-0009,Accessibility standard and coverage are not adopted,ACCESSIBILITY,ES-CG-07;ES-CG-10;ES-CG-13,frontend/src;frontend/public/manifest.json,NO_AUTHORITY_MAPPING_FOUND,UNKNOWN,P3,NO,YES,YES,Adopt specific accessibility standard/version and run appropriate UI accessibility evidence under later authority.,OPEN,External standards remain supporting only under CGP-003 Founder decision.
CGP004-GAP-0010,"File upload commit, scanning, retention, and recovery controls are incomplete",FILE_STORAGE,ES-CG-06;ES-CG-08;ES-CG-09;ES-CG-11;ES-CG-13,backend/storage.py,PARTIALLY_ALIGNED,PARTIALLY_IMPLEMENTED,P2,NO,YES,YES,"Specify upload commit verification, content inspection, retention, deletion, and provider recovery evidence.",OPEN,Current evidence is upload-intent and namespace focused.
CGP004-GAP-0011,AI/model-provider authority remains absent,AI_BOUNDARY,ES-CG-08;ES-CG-09;ES-CG-13,frontend/src/pages/AiAutomation.jsx;backend/routes/backlog.py,AUTHORITY_AMBIGUOUS,SCAFFOLDED,P2,NO,YES,YES,Keep AI surfaces review-first/non-active unless later Founder-authorized AI controls and activation are created.,OPEN,No external LLM execution was found or authorized by CGP-004.
CGP004-GAP-0012,Local test and build execution constrained by missing dependencies,LOCAL_ASSURANCE,ES-CG-10;ES-CG-12;ES-CG-13,pytest.ini;frontend/package.json;.github/workflows/ci.yml,PARTIALLY_ALIGNED,UNKNOWN,P3,NO,NO,YES,Run full backend and frontend test/build evidence in an authorized prepared environment before adoption or activation.,OPEN,System Python lacks pytest and frontend/node_modules is absent; CGP-004 did not install dependencies.
