map_id,component_id,repository_path,source_ids,source_classes,authority_statuses,applicable_guides,evidence_use,limitations,confidence
CGP004-MAP-0001,CGP004-COMP-0001,backend/server.py,CGSRC-REPO-0621,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-00;ES-CG-01;ES-CG-02;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0002,CGP004-COMP-0002,backend/core/config.py;backend/core/db.py,CGSRC-REPO-0621,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-02;ES-CG-03;ES-CG-10;ES-CG-11;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0003,CGP004-COMP-0003,backend/core/auth.py;backend/routes/auth.py,CGSRC-REPO-0621;CGSRC-PIA-0001;CGSRC-PIA-0003,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-01;ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0004,CGP004-COMP-0004,backend/core/tenancy.py;backend/core/permissions.py,CGSRC-REPO-0621;CGSRC-PIA-0002;CGSRC-PIA-0003,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-01;ES-CG-03;ES-CG-08;ES-CG-09;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0005,CGP004-COMP-0005,backend/routes/horses.py,CGSRC-REPO-0621;CGSRC-PIA-0004,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-04;ES-CG-08;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0006,CGP004-COMP-0006,backend/routes/care.py,CGSRC-REPO-0621;CGSRC-PIA-0007,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0007,CGP004-COMP-0007,backend/routes/operations.py,CGSRC-REPO-0621;CGSRC-PIA-0008;CGSRC-PIA-0010,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0008,CGP004-COMP-0008,backend/task_engine.py;backend/notifications.py;backend/core/lifespan.py,CGSRC-REPO-0621;CGSRC-PIA-0006;CGSRC-EXT-0005,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-06;ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0009,CGP004-COMP-0009,backend/routes/subscriptions.py;backend/routes/subscriptions_webhook_handlers.py;backend/routes/membership.py,CGSRC-REPO-0621;CGSRC-PIA-0009,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-08;ES-CG-10;ES-CG-11;ES-CG-12;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
CGP004-MAP-0010,CGP004-COMP-0010,backend/core/minor_safety.py;backend/core/minor_communication.py,CGSRC-REPO-0621;CGSRC-PIA-0008,REPOSITORY_EVIDENCE plus controlling/supporting source families where listed,SUPPORTING repository evidence; controlling only where PIA/source IDs are listed and later exact-byte freeze is completed,ES-CG-08;ES-CG-09;ES-CG-10;ES-CG-13,Planning and assessment evidence for CGP-005 and later guide-specific work,Directory and repository evidence does not replace guide-specific source freeze or adopted controls.,HIGH
