decision_id,audit_finding_id,finding_title,severity,affected_product_area,current_validation_status,founder_disposition_effect,recommended_remediation_family,closure_evidence_required
ES-TA-FD-001,M1-CI-RATCHET,No reliable non-regression gate for retained backend failures,High,CI and pilot gate,CLOSED_WITH_RETAINED_TECHNICAL_DEBT,"No blanket waiver; 161-node classification and P0/P1 gate required.",ES-TA-PRF-008,"Node-level register; CI evidence; baseline reduction or exact Founder risk acceptance"
ES-TA-FD-002,M2-CROSS-BARN-TASK-MUTATION,Task mutation cross-barn isolation not proven by non-live CI,High,Tenant and barn authorization,OPEN_VALIDATION_GAP,"Fail-closed authorization model adopted; cross-barn workflows blocked until resolved or excluded.",ES-TA-PRF-001,"Passing regression matrix or controlled exclusion evidence"
ES-TA-FD-006,M2-CROSS-BARN-TASK-MUTATION,Task mutation cross-barn isolation not proven by non-live CI,High,Offline replay authorization,OPEN_VALIDATION_GAP,"Every queued replay must be reauthorized against current identity tenant barn role relationship and capability.",ES-TA-PRF-005,"Replay reauthorization tests and denied replay audit evidence"
ES-TA-FD-003,M2-NOTIFICATION-ASYNC-SEND,Outbound notification and digest mailer calls are not awaited,Medium,Notifications and digests,OPEN_VALIDATED_SOURCE_BUG,"Durable delivery model required; live provider activation remains separate.",ES-TA-PRF-003,"Delivery-state tests; retry/dead-letter evidence; no unawaited calls"
ES-TA-FD-005,M2-NOTIFICATION-ASYNC-SEND,Outbound notification and digest mailer calls are not awaited,Medium,Notification scheduling,OPEN_VALIDATED_SOURCE_BUG,"Signature notifications and reminders must respect background-job leadership and duplicate controls.",ES-TA-PRF-004,"Single-runner and duplicate-send prevention evidence"
ES-TA-FD-005,M2-BACKGROUND-JOB-DUPLICATE-EXECUTION,Startup background loops can run in every app instance,Medium,Background scheduling,OPEN_RELIABILITY_RISK,"Dedicated worker/database lease or equivalent required before pilot-visible scheduled jobs.",ES-TA-PRF-004,"Lease/ownership/failover/concurrency tests"
ES-TA-FD-003,M2-BACKGROUND-JOB-DUPLICATE-EXECUTION,Startup background loops can run in every app instance,Medium,Notification and digest scheduling,OPEN_RELIABILITY_RISK,"Notification delivery reliability must account for duplicate schedule prevention.",ES-TA-PRF-003,"Idempotent delivery and durable queue evidence"
ES-TA-FD-004,M2-STORAGE-PRODUCTION-FALLBACK,Object storage falls back to local dev stub after provider failure,Medium,Uploads and document custody,OPEN_VALIDATED_SOURCE_RISK,"Production storage must fail closed; no STUB upload success.",ES-TA-PRF-002,"Production missing-config/provider-failure tests and health evidence"
ES-TA-FD-007,M2-STORAGE-PRODUCTION-FALLBACK,Object storage falls back to local dev stub after provider failure,Medium,Signed document custody,OPEN_VALIDATED_SOURCE_RISK,"DocuSign signed-document custody depends on ES-TA-FD-004 storage readiness.",ES-TA-PRF-006,"Storage readiness evidence before e-signature custody activation"
ES-TA-FD-006,M3-OFFLINE-LIMITED-FIELD-RECOVERY,Offline posture is limited to selected task retry and draft preservation,Medium,Offline field reliability,RETAINED_LIMITED_CAPABILITY,"Online-first limited actor/context/barn-bound field recovery approved; full offline remains unauthorized.",ES-TA-PRF-005,"Queue binding; replay reauthorization; logout/account-switch/quarantine tests"
ES-TA-FD-008,M3-OFFLINE-LIMITED-FIELD-RECOVERY,Offline posture is limited to selected task retry and draft preservation,Medium,PWA/native claims,RETAINED_LIMITED_CAPABILITY,"Private native beta distribution does not imply full offline or background sync.",ES-TA-PRF-007,"Channel copy and capability tests proving no unsupported claims"
ES-TA-FD-007,M3-DOCUSIGN-PRODUCTION-CAPABILITY,DocuSign is sandbox draft plus disabled-by-default status sync,Medium,Legal e-signature,RETAINED_PROVIDER_ACTIVATION_DECISION,"Production-ready DocuSign with provider-neutral adapter is now mandatory before pilot.",ES-TA-PRF-006,"Readiness package; legal/privacy/security/storage evidence; exact Founder activation approval"
ES-TA-FD-004,M3-DOCUSIGN-PRODUCTION-CAPABILITY,DocuSign is sandbox draft plus disabled-by-default status sync,Medium,Storage for legal signatures,RETAINED_PROVIDER_ACTIVATION_DECISION,"Storage fail-closed decision is prerequisite to signed-document custody.",ES-TA-PRF-002,"Verified production storage and retention/custody evidence"
ES-TA-FD-008,M3-NATIVE-STORE-READINESS,Native app-store launch is not technically ready,Medium,Pilot channel and native release,BLOCKED_OR_DEFER_REQUIRED,"Web/PWA/private native beta preparation allowed; public app-store release remains unauthorized.",ES-TA-PRF-007,"Build/signing/account/privacy/crash/support/channel-specific evidence"
ES-TA-FD-001,PILOT-TECHNICAL-READINESS,Pilot technical readiness is not unconditional,High,Pilot gate,NOT_READY_FOR_UNCONDITIONAL_PILOT,"Overall technical gate remains; ES-TA-FD-007 adds mandatory DocuSign readiness before pilot.",ALL,"Founder decisions; remediation evidence; post-remediation audit; exact activation approvals"
