source_id,source,authority_and_lifecycle,controlling_version_or_reference,known_sha256_or_commit,design_gate_accession_status,design_gate_treatment,implementation_authorization_condition,conflict_or_supersession_treatment
OPC-SRC-001,EquineSync Global Governance V1.0,Locked constitutional baseline,commit acb518ea5a160820e64681ff95a16b010fe1156c; tag equinesync-governance-v1.0-locked-2026-07-16,,IMMUTABLE_REFERENCE_REGISTERED,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,REVERIFY_AGAINST_IMPLEMENTATION_BASELINE,No conflict identified; controls all lower sources.
OPC-SRC-002,EquineSync Product Implementation Atlas Master Standard V1.1,Founder-adopted controlling PIA standard,ES-PIA-MASTER-STANDARD-V1.1,c751a73331d89eb4dd5d5ff3b059c81bb1d99284102c6f39a008aeb84620bbbc,EXACT_HASH_REGISTERED,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,REVERIFY_AGAINST_IMPLEMENTATION_BASELINE,Supersedes V1.0 when adopted.
OPC-SRC-003,Founder Adoption and Approval Record for PIA V1.1,Founder-approved and effective,adoption record,bd5d466494bf24d5ec6942b8f8c7b9248881d4d731a5861b020cef8a7d6ffcd8,EXACT_HASH_REGISTERED,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,REVERIFY_AGAINST_IMPLEMENTATION_BASELINE,Confirms V1.1 effectiveness.
OPC-SRC-004,Founder decision record OPC-FD-001 through OPC-FD-024,Founder-approved documentary product direction,approved 2026-07-22,,AUTHORITY_AND_DECISION_SUBSTANCE_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Exact package path and checksum retained for final repository accession.
OPC-SRC-005,Master Product Vision,Product direction and experience doctrine,active successor to be registered,,SOURCE_FAMILY_AND_PRECEDENCE_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Exact active successor byte accession retained for implementation authorization.
OPC-SRC-006,"Identity, Account, Actor, Enrollment, and Onboarding PIA",Identity authority,ES-PIA-IDENTITY-ONBOARDING-V1.1.0,34dc47aa358d8d515186f2ed082b9c54e2ed351c6e02e55fb20163cf3137ff9b,APPROVED_SOURCE_FAMILY_IDENTIFIED,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Package hash identifies controlled V1.1.0 family; exact interface version must match implementation baseline.
OPC-SRC-007,Master Relationship Model and Relationships PIA,Relationship and delegation authority,locked relationship family and approved successor,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Field-level overlay supplied in this package; exact repository accession retained.
OPC-SRC-008,Permission and Access-Control authority,Authorization authority,active approved successor required,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Authorization remains final allow/deny owner; implementation contract version retained.
OPC-SRC-009,"Facility, Tenant, and Organization PIA",Facility and tenant authority,approved documentary baseline,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Facility enablement and same-facility eligibility remain source-owned.
OPC-SRC-010,"Horse Identity, Profile, and Lifecycle PIA",Horse identity authority,Founder-approved documentary baseline,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Horse ownership/custody and lifecycle remain source-owned.
OPC-SRC-011,"Task, Calendar, Scheduling, and Notification PIA",Scheduling and notification authority,Founder-approved documentary baseline,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Notification orchestration and schedule truth remain source-owned.
OPC-SRC-012,"Lessons, Training, Riders, and Guardians PIA","Training, rider, guardian authority",Founder-approved documentary baseline,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Guardian and rider authority remain source-owned.
OPC-SRC-013,Care Operations PIA,Care-operation authority,Founder-approved documentary baseline with retained conditions,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Owner-visible care projection and request handoff only.
OPC-SRC-014,"Billing, Payments, and Financial Operations PIA",Financial authority,Founder-approved documentary baseline,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,No payment credential or bank data projection.
OPC-SRC-015,"Master Communication, Notification, and Notice Model",Communication authority,active approved successor required,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Item 10 owns bounded communications records; provider implementation retained.
OPC-SRC-016,"Privacy, Record Stewardship, Audit, Claims, Agreement, Consent, and Safeguarding authorities",Cross-cutting control set,active controlling source families,,AUTHORITY_AND_FAIL_CLOSED_PRECEDENCE_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Stricter privacy/safeguarding control wins where applicable.
OPC-SRC-017,Media and Digital Asset Governance,Media authority,active approved successor required,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Attachment activation remains separately gated.
OPC-SRC-018,AI Governance and Decision Boundary Model V2.0,Adopted and locked AI authority,V2.0 locked,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,AI remains assistive and non-authoritative.
OPC-SRC-019,"External Architecture, Vendor Security, and Integration Governance",Adapter and vendor boundary,active controlling family,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Provider selection and regional processing require later ADR implementation decisions.
OPC-SRC-020,"Platform Operations, Resilience, Configuration, Security, and Offline Governance",Operational authority,active controlling family,,AUTHORITY_FAMILY_FROZEN,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Numeric targets and procedures retained for operational gate.
OPC-SRC-021,EquineSync MIAP Controlled Baseline Release v1.0.0,Controlling implementation-program baseline,ZIP SHA-256 5e494c785feb6b8a2dad9d8289fc1ac5af254223bd88cf439611773a4082314f,5e494c785feb6b8a2dad9d8289fc1ac5af254223bd88cf439611773a4082314f,BASELINE_IDENTITY_REGISTERED,SOURCE_AUTHORITY_FAMILY_AND_PRECEDENCE_FROZEN,VERIFY_EXACT_ACTIVE_BYTES_REPOSITORY_PATH_SUPERSESSION_AND_INTERFACE_VERSION,Active successor revalidation required at implementation freeze.
