contract_id,field_key,meaning,source_authority,projection_or_action_type,sensitivity,minimum_read_conditions,portal_write_or_action_boundary,staleness_and_revocation,correction_or_dispute_route,audit_obligation,linked_requirements,contract_status
OPC-XPIA-001,canonical_identity_id,Stable identity reference,Identity,REFERENCE,Restricted,Authenticated principal; same tenant/facility context; field permission,No identity creation or merge through portal projection,"Immediate deny on suspension, closure, compromise or protected transition",Identity correction/recovery workflow,"Record actor, principal, context, source version and decision","OPC-REQ-002,006,047,050",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-001,account_status,"Active, restricted, suspended, closed or compromised",Identity,PROJECTION,Restricted,Action-time identity and account check,Portal cannot override status,No cache may outlive revocation version,Identity support/recovery,Record status version used for decision,"OPC-REQ-002,047,050,065",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-001,acting_and_represented_principal,Real actor and represented party,Identity,REFERENCE,Sensitive,Authenticated and purpose-bound context,Portal cannot conceal support or representative actor,Re-evaluate on context switch and session change,Identity/Authorization,Audit both actor and represented principal,"OPC-REQ-002,050,051,069",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-001,assurance_and_step_up,"Authentication method, assurance and freshness",Identity,DECISION_INPUT,Security,Only minimum necessary assurance facts,Portal requests step-up but cannot set assurance truth,Expires by policy and on recovery/compromise events,Identity security workflow,Record assurance version and step-up result,"OPC-REQ-002,050,071",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-002,tenant_id,Current tenant isolation context,Facility,REFERENCE,Restricted,Current membership and authorization,No portal-created tenancy,Re-evaluate on tenancy change,Facility administration,Audit context selection and denial,"OPC-REQ-002,005,083",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-002,facility_id_and_display_name,Facility context and approved display name,Facility,PROJECTION,Internal,Current facility relationship and display permission,Portal cannot alter legal or operating identity,"Invalidate on split, merge or operator change",Facility correction route,Audit source version,"OPC-REQ-001,005,053,083",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-002,community_enablement_state,Facility decision enabling bounded peer community,Facility,DECISION_INPUT,Restricted,Current facility enablement plus assigned operational owner,Portal may request but not self-approve enablement,Immediate effect; kill switch overrides caches and queues,Facility/Platform operations,"Audit decision, actor, effective time and disablement","OPC-REQ-053,073,083",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-002,moderator_assignment_reference,Qualified moderator assignment and conflict metadata,Facility / Safeguarding,REFERENCE,Highly restricted,"Only moderation control plane, not peer discovery",Portal cannot assign qualification without approved workflow,Expires or suspends immediately on role/relationship change,Facility operations/safeguarding,Audit access case and assignment version,"OPC-REQ-059,073,078",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-003,relationship_type_and_status,"Owner, lessee, guardian, staff or other governed relationship",Relationships,DECISION_INPUT,Sensitive,"Current effective relationship, facility and horse context","No relationship inference from payment, email, horse name or invitation",Immediate revocation propagation; each-send revalidation for peer messaging,Relationship correction/dispute,Audit relationship version and basis,"OPC-REQ-002,006,047,061,083",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-003,community_eligibility,Current same-facility owner eligibility,Relationships / Facility,DECISION_INPUT,Sensitive,"Verified current owner, same active facility, voluntary participation, no block/restriction",Portal cannot infer or broaden eligibility,Revalidate at discovery and send; facility/relationship changes revoke,Relationship/Facility review,Audit eligibility inputs without exposing private data,"OPC-REQ-053,054,061,064,075,083",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-003,authorization_decision,"Allow, deny, step-up, field projection and reason code",Authorization,DECISION,Security,"Action-time policy with identity, tenant, facility, horse, relationship, purpose, time and restrictions",Portal must obey decision and cannot widen fields,Short bounded cache with version invalidation; deny on stale critical facts,Authorization policy owner,Audit policy/fact versions and outcome,"OPC-REQ-002,007,052,066,069",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-003,block_and_contact_restriction,Peer contact restriction,Communications / Authorization,DECISION_INPUT,Sensitive,"Applied before discovery, send, notification and search",Facility cannot override individual peer block,Immediate and wins over offline queues,Community safety workflow,Audit block changes without disclosing to blocked party beyond safe UX,"OPC-REQ-057,065,076",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-004,horse_id,Canonical horse reference,Horse,REFERENCE,Internal,Authorized current or historical relationship and field permission,No horse creation or merge from portal view,"Invalidate or narrow on transfer, move, death or relationship end",Horse correction workflow,Audit source version,"OPC-REQ-003,004,047,048",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-004,horse_display_profile,"Approved display name, image and bounded profile",Horse,PROJECTION,Variable,"Field-level permission, purpose and current relationship","No clinical, ownership or custody inference beyond source fields",Show staleness/as-of time; revoke on field restriction,Horse profile correction,Audit fields and projection version,"OPC-REQ-003,007,033,049",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-004,ownership_or_custody_reference,Scoped source-owned relationship reference,Horse / Relationships,PROJECTION,Sensitive,Only the exact authorized relationship label and period,Portal cannot adjudicate ownership or custody,Effective-dated and revocable,Horse/Relationship dispute,Audit provenance and limitation,"OPC-REQ-006,048,083",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-005,schedule_item,Event/lesson/training appointment summary,TCSN,PROJECTION,Internal,Participant and horse/facility permission,Portal may request change but source domain completes it,Refresh on event change/cancellation,Scheduling correction/request,Audit source version and request status,"OPC-REQ-003,004,044,046",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-005,notification_class_and_channel_plan,"Communication category, mandatory status, approved channels",TCSN / Communications,DECISION_INPUT,Internal,"Authorized sender, recipient and category",Portal cannot relabel mandatory notice as optional,Versioned and recomputed on preference/channel changes,Communication operations,Audit taxonomy and plan version,"OPC-REQ-009,010,011,015",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
OPC-XPIA-005,quiet_hours_and_preferences,User preference and mandatory override treatment,TCSN / Communications,DECISION_INPUT,Sensitive,Purpose-specific and category-aware,Mandatory communications may override only by approved rule,Immediate for future eligible delivery; does not retract prior sends,Preference correction,Audit applied rule and override reason,"OPC-REQ-015,035,076",PROPOSED_FOR_FOUNDER_DOCUMENTARY_APPROVAL
