control_id,control,due_gate,decision_owner,decision_method,required_evidence,status
OPC-OPS-001,Portal/authentication service availability,Operational readiness,Platform Operations,Measure representative cohort availability by environment; approve target after load and dependency evidence,"Monitoring dashboard, outage simulation and dependency SLOs",OPEN_FOR_TARGET_EXECUTION
OPC-OPS-002,Interactive projection latency,Verification / operational readiness,Platform Operations,Benchmark representative horse-first portal views at agreed percentiles and device/network profiles,Performance report and budget decomposition,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-003,Delivery retry and backoff,Provider activation,Communications Operations,"Use provider sandbox failure distributions and idempotency tests to set attempts, delay, ceiling and dead-letter behavior",Failure injection and reconciliation evidence,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-004,Provider timeout and uncertain state,Provider activation,Architecture / Vendor Security,Define timeout by channel/provider evidence and preserve uncertainty rather than success,Contract tests and provider evidence map,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-005,Critical acknowledgment escalation,Operational readiness,Operations / Product,Set escalation windows by communication category and available staffing; never infer acknowledgment from open,Rehearsal and recipient-action evidence,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-006,Moderation initial triage,Community activation,Operations / Safeguarding,"Set coverage and triage target from cohort size, risk, staffing and after-hours route","Staffing roster, queue simulation and escalation drill",OPEN_FOR_TARGET_EXECUTION
OPC-OPS-007,Safeguarding escalation,Community activation,Safeguarding,Jurisdiction and severity-based escalation procedure with safe notification and evidence custody,Scenario rehearsal and reviewer qualification,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-008,Support first response and resolution,Operational readiness,Support Operations,"Set category-specific targets based on staffing, severity and supported hours","Ticket simulations, staffing plan and escalation matrix",OPEN_FOR_TARGET_EXECUTION
OPC-OPS-009,Incident severity and communication,Operational readiness,Platform Operations,"Adopt severity matrix, ownership, communication and post-incident evidence requirements",Tabletop and incident communication exercise,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-010,Recovery time objective,Operational readiness,Platform Operations,"Derive from business impact, architecture and restore tests; do not invent before implementation",Successful timed restore and dependency recovery evidence,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-011,Recovery point objective,Operational readiness,Platform Operations,Derive from data-loss tolerance and storage architecture,"Backup frequency, consistency and restore evidence",OPEN_FOR_TARGET_EXECUTION
OPC-OPS-012,Authorization/revocation propagation,Verification,Identity / Authorization / Platform,"Measure end-to-end propagation for relationship, block, restriction and facility disablement across interfaces and queues",Negative tests and timestamped audit evidence,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-013,Portal projection/cache freshness,Implementation authorization / verification,Architecture / Source Domains,"Set by field sensitivity, source event support and safe stale behavior",Contract and stale-state tests,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-014,Offline maximum staleness and retained scope,Implementation authorization,Security / Offline,Approve per field/workflow based on sensitivity and revocation risk,Device tests and data inventory,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-015,Backup and restore procedure,Operational readiness,Platform Operations,"Define scope, encryption, custody, restore order, reconciliation and evidence",Restore exercise,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-016,Rollback and feature disablement,Release / community activation,Platform Operations,"Define triggers, owner, sequence, data implications and communications",Rollback and kill-switch rehearsal,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-017,Moderator appeal process,Community activation,Operations / Safeguarding,"Define eligibility, independence/conflict checks, response stages and evidence",Case simulation and training records,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-018,Attachment scanning and quarantine,Attachment activation,Media / Security,"Set scanner coverage, failure behavior, quarantine and re-scan procedure from selected technology",Malware test corpus and failure simulation,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-019,Peer attachment release parameters,Later controlled change,Media / Security / Safeguarding,"Formats, size, metadata, minor rules and access lifetime require a separate Founder-approved change",Attachment-specific ADR and activation evidence,DEFERRED
OPC-OPS-020,Jurisdictional notice/consent/recording/translation,Release,Legal / Privacy / Safeguarding,Create jurisdiction applicability matrix and approved copy/procedure before affected release,Counsel/authority review and locale tests,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-021,Provider regional processing and exit,Provider activation,Vendor Security / Privacy,"Approve region, subprocessors, retention, export and exit reconciliation per provider",Vendor review and exit rehearsal,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-022,Anti-abuse rate and queue thresholds,Community activation,Security / Operations,Calibrate against synthetic/pilot traffic with false-positive review and kill switch,Load/misuse tests and monitoring evidence,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-023,Accessibility acceptance,Verification,Product / Accessibility,Use approved accessibility standard and representative assistive-technology test plan,Accessibility report and defect disposition,OPEN_FOR_TARGET_EXECUTION
OPC-OPS-024,Data retention and disposition schedule,Implementation authorization / release,Records / Privacy,"Approve per category, participant, claim, safeguarding, financial and legal-hold obligations",Retention matrix and deletion/hold tests,OPEN_FOR_PROCEDURE_EXECUTION
OPC-OPS-025,Community staffing and operating hours disclosure,Community activation,Founder / Operations,Define staffing coverage and truthful user-facing monitoring limitations,"Roster, training and disclosure review",OPEN_FOR_PROCEDURE_EXECUTION
