requirement_area,v1_1_requirement,repository_evidence,status,required_action,authority_boundary
Program approval package,"Exact plan, Founder disposition, change summary, authority analysis, source register, manifests, validation, protected integration, and custody receipt.",PR #45 merged at 77a1565f73cde94acf62d4137360ad7749321f4e; PR #46 merged at 6249c2fd79bfef897630855d633d62e830153414; source hash 9aa8cb29848ccf5b75a65320616a1196060589372bb0de09266fd32f3a9efd35.,SATISFIED_FOR_PLAN_CUSTODY,Preserve custody facts and use V1.1 as controlling source for separately authorized downstream reconciliation.,"Custody does not authorize activation, mapping, implementation, deployment, pilot, or production use."
Guide family coverage,ES-CG-00 through ES-CG-13 must be tracked through dependency-aware waves.,14 guide tracker rows located.,PARTIAL,"Reconcile each guide to V1.1 stages, statuses, dependencies, and evidence requirements.",No guide status may be advanced by this package.
Maturity model,Guides move through V1.1 controlled states and cannot skip gates without an approved waiver.,Tracker uses existing states including SOURCE_FROZEN and PLANNED; existing controlled values omit DOMAIN_REVIEW and IMPLEMENTER_USABILITY_REVIEW.,NOT_ALIGNED,"Update controlled values, transition validation, and guide records in a separate authorized revision.",This reconciliation does not approve state transitions.
Assurance classification,"A0 INFORMATIONAL, A1 STANDARD, A2 ELEVATED, A3 HIGH, A4 CRITICAL.","A1_STANDARD, A2_IMPORTANT, A3_HIGH, A4_CRITICAL",NOT_ALIGNED,Revise controlled values and reclassify guides and controls under V1.1.,No assurance class is assigned or changed by this package.
Evidence model,"E0 ABSENT, E1 ASSERTED, E2 DOCUMENTED, E3 REPEATABLE, E4 INDEPENDENTLY_REPRODUCED, E5 OPERATIONALLY_OBSERVED.","E0_ASSERTION, E1_MANUAL_OBSERVATION, E2_REPRODUCIBLE_LOCAL, E3_INDEPENDENT_CI, E4_CONTROLLED_ENVIRONMENT, E5_PRODUCTION",NOT_ALIGNED,Revise evidence controlled values and remap evidence records under V1.1.,Existing evidence is not promoted to V1.1 grades by this package.
Master registers,19 required registers.,"13 present; missing CODE_GUIDE_AUTHORITY_REGISTER.csv, GUIDE_ACTIVATION_REGISTER.csv, GUIDE_WAIVER_AND_EXCEPTION_REGISTER.csv, IMPLEMENTATION_PROFILE_REGISTER.csv, EVIDENCE_RETENTION_REGISTER.csv, VALIDATOR_VERSION_REGISTER.csv.",PARTIAL,Create missing registers and revalidate present registers under V1.1.,No global register files are modified by this package.
Schemas,13 machine-readable schemas.,"11 present; missing REPOSITORY_MAPPING_SCHEMA.json, GUIDE_ACTIVATION_SCHEMA.json.",PARTIAL,Create missing schemas and revise controlled-value schema semantics under V1.1.,No global schema files are modified by this package.
Implementation profiles,18 implementation profiles at minimum.,0 present; missing 18.,MISSING_REQUIRED_ARTIFACTS,Create profiles in a separate authorized revision workstream.,Profile creation is not performed here.
Templates,19 templates.,"12 present; missing IMPLEMENTATION_PLAN_TEMPLATE.md, ATLAS_MAPPING_TEMPLATE.csv, PULL_REQUEST_EVIDENCE_TEMPLATE.md, TASK_COMPLETION_RECORD_TEMPLATE.md, EXCEPTION_REQUEST_TEMPLATE.md, GUIDE_ACTIVATION_RECORD_TEMPLATE.md, GUIDE_DEACTIVATION_RECORD_TEMPLATE.md.",PARTIAL,Create missing templates and revise existing templates to V1.1.,Template changes are not performed here.
Validators,15 required validator filenames and V1.1 reliability standard.,14 present; missing validate_activation_records.py.,PARTIAL,Add missing activation validator and revalidate all validators against V1.1 no-silent-skip requirements.,Only this package-local reconciliation validator is added.
Stage 24 activation,Activation only through a separate Founder-approved activation record with explicit scope.,No V1.1 GUIDE_ACTIVATION_REGISTER.csv or GUIDE_ACTIVATION_SCHEMA.json exists; PR #44 proposes activation readiness only.,NOT_AUTHORIZED,Rebase and revalidate PR #44 or successor activation work against V1.1 before Founder consideration.,Guide activation is not authorized.
Program completion,"All 14 guides formally dispositioned, accessioned, checksum-verifiable, mapped, reviewed, scenario-validated, and drift-monitored for active scopes.",Tracker shows all guide rows NOT_ADOPTED and NOT_ACCESSIONED; no active scope is granted.,INCOMPLETE,Run successor revision workstream through V1.1 gates.,This package does not claim program completion.
Founder disposition of PR #47,"Founder acceptance, successor workstream decisions, and continuing non-authorization statements are recorded before protected integration.",governance/implementation/code-guides/drafting/CGP-006/CODE_GUIDE_PROGRAM_V1_1_RECONCILIATION/FOUNDER_DISPOSITION_OF_RECONCILIATION.md,RECORDED_FOR_PROTECTED_INTEGRATION,"Merge PR #47 through protected controls, then create separate custody receipt PR.","Does not authorize guide activation, repository-specific implementation mapping, implementation, deployment, pilot use, production use, runtime evidence, CGP-007, or PR #44 rewrite."
