acceptance_id,requirement_id,criterion,evidence_required,current_result
FAC-AC-001,FAC-REQ-001,"Documentary or later authorized executable evidence demonstrates: Facility, Tenant, and Organization identifiers remain stable through rename, transfer, restructuring, and closure.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-002,FAC-REQ-002,"Documentary or later authorized executable evidence demonstrates: Facility, Tenant, Organization, Barn, and Business remain distinct concepts and are never silently aliased.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-003,FAC-REQ-003,"Documentary or later authorized executable evidence demonstrates: Every tenant-scoped object, request, event, job, cache, export, search record, and offline bundle is bound to exactly one tenant unless an explicit cross-tenant contract applies.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-004,FAC-REQ-004,"Documentary or later authorized executable evidence demonstrates: Organization-to-Tenant control is explicit, temporal, evidenced, and non-permission-bearing by itself.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-005,FAC-REQ-005,"Documentary or later authorized executable evidence demonstrates: Tenant-to-Facility association is explicit, temporal, purpose-scoped, and does not expose tenant-private projections to another tenant.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-006,FAC-REQ-006,Documentary or later authorized executable evidence demonstrates: Facility containment and non-containment topology are modeled separately with effective dates and lineage.,Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-007,FAC-REQ-007,"Documentary or later authorized executable evidence demonstrates: Aliases, historical names, splits, merges, and relocations preserve prior references and provenance.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-008,FAC-REQ-008,"Documentary or later authorized executable evidence demonstrates: Facility association, organization type, role label, employment, lease, payment, contact, profile, ownership claim, or stewardship claim never independently grants permission.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-009,FAC-REQ-009,"Documentary or later authorized executable evidence demonstrates: Membership, staff assignment, representation, delegation, and guardianship remain Relationship-domain facts.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-010,FAC-REQ-010,"Documentary or later authorized executable evidence demonstrates: Permission decisions remain owned by Permission and consume only referenced, current topology facts.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-011,FAC-REQ-011,Documentary or later authorized executable evidence demonstrates: The active tenant and applicable facility are continuously visible to the actor.,Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-012,FAC-REQ-012,"Documentary or later authorized executable evidence demonstrates: Every context switch records actor chain, prior and new context, reason, timestamp, session, device, and result.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-013,FAC-REQ-013,"Documentary or later authorized executable evidence demonstrates: Server authorization binds the selected tenant, facility, context version, principal, permission version, and resource scope; caller-supplied IDs never override it.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-014,FAC-REQ-014,"Documentary or later authorized executable evidence demonstrates: Tenant, facility, or organization suspension is enforced across online, API, search, exports, jobs, support, and integrations.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-015,FAC-REQ-015,"Documentary or later authorized executable evidence demonstrates: Offline access expires and stale bundles cannot authorize consequential writes after suspension, context change, or authority revocation.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-016,FAC-REQ-016,Documentary or later authorized executable evidence demonstrates: Support and representation preserve the authenticated human actor and represented principal; silent impersonation is prohibited.,Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-017,FAC-REQ-017,"Documentary or later authorized executable evidence demonstrates: Facility, Organization, Tenant, people, horses, and precise location are private and non-discoverable by default.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-018,FAC-REQ-018,"Documentary or later authorized executable evidence demonstrates: Public facility discovery uses a separate minimal projection with field-level authority, revocation, freshness, and anti-enumeration controls.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-019,FAC-REQ-019,"Documentary or later authorized executable evidence demonstrates: Search, autocomplete, error behavior, counts, timing, and exports do not reveal cross-tenant existence.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-020,FAC-REQ-020,"Documentary or later authorized executable evidence demonstrates: Precise facility location, security systems, minor-associated areas, animal location, hazards, and emergency resources receive sensitive treatment.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-021,FAC-REQ-021,"Documentary or later authorized executable evidence demonstrates: Facility transfer or operator change never automatically transfers horses, private records, relationships, agreements, invoices, permissions, credentials, or evidence.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-022,FAC-REQ-022,"Documentary or later authorized executable evidence demonstrates: Organization, Tenant, or Facility merge and split operations never cascade into unrelated identities or downstream domain merges.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-023,FAC-REQ-023,"Documentary or later authorized executable evidence demonstrates: Duplicate detection preserves uncertainty and no merge is automatic or based only on name, address, payment, contact, or shared user.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-024,FAC-REQ-024,"Documentary or later authorized executable evidence demonstrates: Ambiguous legacy topology remains quarantined, tenant-scoped, non-public, non-authority-bearing, attributable, and reviewable.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-025,FAC-REQ-025,"Documentary or later authorized executable evidence demonstrates: Timezone uses an IANA identifier; locale uses BCP 47; postal and geospatial representations retain source, precision, confidence, and effective time.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
FAC-AC-026,FAC-REQ-026,"Documentary or later authorized executable evidence demonstrates: Every material topology fact records provenance, confidence or verification state, effective time, and responsible actor.",Traceable design record now; executable proof only in a separately authorized implementation phase.,DESIGN_DOCUMENTED_EXECUTION_NOT_AUTHORIZED
