id,requirement_id,criterion,prohibited_result,evidence_id,gate
SHELL-AC-001,SHELL-REQ-001,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall resolve authenticated identity, session validity, current memberships, candidate contexts, permission projection, configuration version, and shell version before protected content renders.","Protected content, route names, counts, or tenant structure appearing before authorization completes.",SHELL-EVID-001,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-002,SHELL-REQ-002,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep the selected tenant, organization, and facility visibly identified on every private shell surface.",Silent context changes or an unlabeled active context.,SHELL-EVID-002,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-003,SHELL-REQ-003,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall require explicit confirmation before a user changes to a materially different tenant or facility context.","Inferring context from the last clicked record, search result, or stale cache.",SHELL-EVID-003,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-004,SHELL-REQ-004,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall on context switch, re-evaluate permissions and invalidate routes, search, recents, pins, badges, drafts, and caches that do not belong to the new context.",Carrying protected state across contexts.,SHELL-EVID-004,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-005,SHELL-REQ-005,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use persona defaults only to select ordering, emphasis, and initial landing after authorization filtering.",Treating a persona label as a permission or source of truth.,SHELL-EVID-005,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-006,SHELL-REQ-006,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall when a user has multiple valid contexts and no safe default, require context selection before private domain content appears.",Selecting a context using guesswork or a hidden ranking.,SHELL-EVID-006,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-007,SHELL-REQ-007,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall separate public, invitation, recovery, and authentication surfaces from the private application shell.","Leaking private taxonomy, names, counts, or recent activity on pre-authentication surfaces.",SHELL-EVID-007,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-008,SHELL-REQ-008,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall preserve one stable correlation identifier across shell bootstrap, context selection, route resolution, and downstream diagnostic events without storing secrets.","Logging tokens, credentials, private message bodies, or unrestricted search text.",SHELL-EVID-008,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-009,SHELL-REQ-009,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall maintain a versioned route registry with stable route ID, owner, path pattern, capability, sensitivity, context requirements, lifecycle status, and deep-link policy.",Unregistered routes or duplicate route ownership.,SHELL-EVID-009,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-010,SHELL-REQ-010,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall build visible navigation from current route eligibility and permission projection rather than a static role-name menu.",Showing a menu item as proof that access is granted.,SHELL-EVID-010,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-011,SHELL-REQ-011,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall reauthorize every route load, refresh, Back/Forward navigation, bookmark, and deep-link open.",Relying solely on prior menu visibility or client-side route guards.,SHELL-EVID-011,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-012,SHELL-REQ-012,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use a persistent or collapsible rail on suitable desktop and tablet widths, with keyboard-operable groups and deterministic collapse behavior.","Hover-only access, unreachable collapsed controls, or loss of current-location indication.",SHELL-EVID-012,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-013,SHELL-REQ-013,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall use a bounded mobile bottom navigation for highest-frequency authorized destinations and an accessible More destination for the remainder.","Overcrowded, horizontally scrolling, or permission-leaking mobile navigation.",SHELL-EVID-013,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-014,SHELL-REQ-014,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall keep the current destination, parent group, active context, and unsaved-work state perceivable without relying on color alone.",Ambiguous location or color-only active indicators.,SHELL-EVID-014,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-015,SHELL-REQ-015,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall generate breadcrumbs from registered route relationships and domain-owned labels, not from raw URLs.","Exposing identifiers, inaccessible ancestors, or stale names in breadcrumbs.",SHELL-EVID-015,IMPLEMENTATION_AUTHORIZATION
SHELL-AC-016,SHELL-REQ-016,"Given a current actor, session, context, configuration, and source state, when the covered shell behavior occurs, then the system shall provide predictable Back behavior that respects browser history, modal origin, and context boundaries.",A Back action that silently changes tenant context or loses unsaved work.,SHELL-EVID-016,IMPLEMENTATION_AUTHORIZATION
