family,statement,prohibited,failure,source_refs,release_class,gate,id
Bootstrap and context,"Resolve authenticated identity, session validity, current memberships, candidate contexts, permission projection, configuration version, and shell version before protected content renders.","Protected content, route names, counts, or tenant structure appearing before authorization completes.","Render a neutral protected-loading state, then route to sign-in, context selection, denied, or safe recovery.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-001
Bootstrap and context,"Keep the selected tenant, organization, and facility visibly identified on every private shell surface.",Silent context changes or an unlabeled active context.,"Freeze risky actions, show context uncertainty, and require explicit selection.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-002
Bootstrap and context,Require explicit confirmation before a user changes to a materially different tenant or facility context.,"Inferring context from the last clicked record, search result, or stale cache.",Cancel the switch and preserve the current known context.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-003
Bootstrap and context,"On context switch, re-evaluate permissions and invalidate routes, search, recents, pins, badges, drafts, and caches that do not belong to the new context.",Carrying protected state across contexts.,"Clear incompatible state, refresh projections, and record the failed or completed switch.",SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-004
Bootstrap and context,"Use persona defaults only to select ordering, emphasis, and initial landing after authorization filtering.",Treating a persona label as a permission or source of truth.,Use a neutral authorized landing and log configuration drift.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-005
Bootstrap and context,"When a user has multiple valid contexts and no safe default, require context selection before private domain content appears.",Selecting a context using guesswork or a hidden ranking.,Show a disclosure-minimized context picker.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-006
Bootstrap and context,"Separate public, invitation, recovery, and authentication surfaces from the private application shell.","Leaking private taxonomy, names, counts, or recent activity on pre-authentication surfaces.",Render the minimal pre-authentication shell only.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-007
Bootstrap and context,"Preserve one stable correlation identifier across shell bootstrap, context selection, route resolution, and downstream diagnostic events without storing secrets.","Logging tokens, credentials, private message bodies, or unrestricted search text.",Redact the payload and retain only privacy-minimized diagnostics.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-008
Navigation and routes,"Maintain a versioned route registry with stable route ID, owner, path pattern, capability, sensitivity, context requirements, lifecycle status, and deep-link policy.",Unregistered routes or duplicate route ownership.,Block publication and open a configuration finding.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-009
Navigation and routes,Build visible navigation from current route eligibility and permission projection rather than a static role-name menu.,Showing a menu item as proof that access is granted.,Hide or disable the item and reauthorize at destination.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-010
Navigation and routes,"Reauthorize every route load, refresh, Back/Forward navigation, bookmark, and deep-link open.",Relying solely on prior menu visibility or client-side route guards.,Return a disclosure-safe denied or reauthentication state.,SHELL-SRC-001; SHELL-SRC-002,INITIAL_REQUIRED_CORE,IMPLEMENTATION_AUTHORIZATION,SHELL-REQ-011
