requirement_id,sources,founder_decisions,workflow_id,entity_id,acceptance_id,test_id,evidence_id,work_package_id,gate
SHELL-REQ-001,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-001,SHELL-WF-001,SHELL-ENT-001,SHELL-AC-001,SHELL-TEST-001,SHELL-EVID-001,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-002,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-002,SHELL-WF-002,SHELL-ENT-002,SHELL-AC-002,SHELL-TEST-002,SHELL-EVID-002,SHELL-WP-002,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-003,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-003,SHELL-WF-003,SHELL-ENT-003,SHELL-AC-003,SHELL-TEST-003,SHELL-EVID-003,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-004,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-004,SHELL-WF-004,SHELL-ENT-004,SHELL-AC-004,SHELL-TEST-004,SHELL-EVID-004,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-005,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-005,SHELL-WF-005,SHELL-ENT-005,SHELL-AC-005,SHELL-TEST-005,SHELL-EVID-005,SHELL-WP-005,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-006,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-006,SHELL-WF-006,SHELL-ENT-006,SHELL-AC-006,SHELL-TEST-006,SHELL-EVID-006,SHELL-WP-006,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-007,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-007,SHELL-WF-007,SHELL-ENT-007,SHELL-AC-007,SHELL-TEST-007,SHELL-EVID-007,SHELL-WP-007,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-008,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-008,SHELL-WF-008,SHELL-ENT-008,SHELL-AC-008,SHELL-TEST-008,SHELL-EVID-008,SHELL-WP-008,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-009,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-009,SHELL-WF-009,SHELL-ENT-009,SHELL-AC-009,SHELL-TEST-009,SHELL-EVID-009,SHELL-WP-009,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-010,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-010,SHELL-WF-010,SHELL-ENT-010,SHELL-AC-010,SHELL-TEST-010,SHELL-EVID-010,SHELL-WP-010,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-011,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-011,SHELL-WF-011,SHELL-ENT-011,SHELL-AC-011,SHELL-TEST-011,SHELL-EVID-011,SHELL-WP-011,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-012,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-012,SHELL-WF-012,SHELL-ENT-012,SHELL-AC-012,SHELL-TEST-012,SHELL-EVID-012,SHELL-WP-012,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-013,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-001,SHELL-WF-013,SHELL-ENT-013,SHELL-AC-013,SHELL-TEST-013,SHELL-EVID-013,SHELL-WP-001,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-014,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-002,SHELL-WF-014,SHELL-ENT-014,SHELL-AC-014,SHELL-TEST-014,SHELL-EVID-014,SHELL-WP-002,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-015,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-003,SHELL-WF-015,SHELL-ENT-015,SHELL-AC-015,SHELL-TEST-015,SHELL-EVID-015,SHELL-WP-003,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-016,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-004,SHELL-WF-016,SHELL-ENT-016,SHELL-AC-016,SHELL-TEST-016,SHELL-EVID-016,SHELL-WP-004,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-017,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-005,SHELL-WF-017,SHELL-ENT-017,SHELL-AC-017,SHELL-TEST-017,SHELL-EVID-017,SHELL-WP-005,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-018,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-006,SHELL-WF-018,SHELL-ENT-018,SHELL-AC-018,SHELL-TEST-018,SHELL-EVID-018,SHELL-WP-006,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-019,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-007,SHELL-WF-019,SHELL-ENT-019,SHELL-AC-019,SHELL-TEST-019,SHELL-EVID-019,SHELL-WP-007,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-020,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-008,SHELL-WF-020,SHELL-ENT-020,SHELL-AC-020,SHELL-TEST-020,SHELL-EVID-020,SHELL-WP-008,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-021,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-009,SHELL-WF-001,SHELL-ENT-021,SHELL-AC-021,SHELL-TEST-021,SHELL-EVID-021,SHELL-WP-009,IMPLEMENTATION_AUTHORIZATION
SHELL-REQ-022,SHELL-SRC-001; SHELL-SRC-002,SHELL-FD-CAND-010,SHELL-WF-002,SHELL-ENT-022,SHELL-AC-022,SHELL-TEST-022,SHELL-EVID-022,SHELL-WP-010,IMPLEMENTATION_AUTHORIZATION
