sg_decision_id,sg_topic,parallel_decision_ids,parallel_sections,treatment,alignment,founder_action
SG-FD01,Transition to majority,FD-MSP15,"81-84",RESOLVES_IF_PROVEN,Aligned,"Reconfirm FD-MSP15 and the V1.1 source event"
SG-FD02,Conflicting guardians,FD-MSP04,"13-18",RESOLVES_IF_PROVEN,Aligned,"Reconfirm FD-MSP04"
SG-FD03,Adult-to-minor ordinary electronic communication,FD-MSP06,"23-32; 115-117",CONFLICT_REQUIRES_DECISION,"Parallel text imposes an absolute prohibition; Codex recommendation allowed tightly governed communication","Choose the absolute parallel rule or expressly retain a narrower exception"
SG-FD04,Media location search and recommendation defaults,FD-MSP05,"58-64",PARTIAL_IF_PROVEN,"Parallel text is more protective and covers refusal public exposure and precise location","Confirm the complete default-deny package including search and recommendation behavior"
SG-FD05,Emergency intervention before guardian contact,FD-MSP09,"37-40",RESOLVES_IF_PROVEN,Aligned,"Reconfirm FD-MSP09"
SG-FD06,Mandated-reporting governance,,"37.1; 37.2; 109",BODY_ONLY_REQUIRES_CONFIRMATION,"Body text supports no-delay external reporting but no FD-MSP decision directly approves the jurisdiction and human-duty boundary","Approve or modify the body-only rule"
SG-FD07,Safeguarding record access sealing and unsealing,"FD-MSP07; FD-MSP08; FD-MSP14","70-80; 96",BODY_ONLY_REQUIRES_CONFIRMATION,"Segregated access and disclosure are addressed; sealing and unsealing authority classes remain incomplete","Approve access classes and direct a later sealing/unsealing standard"
SG-FD08,Background-check and credential representations,FD-MSP12,"43-47; 85",PARTIAL_IF_PROVEN,"Eligibility is governed but claim vocabulary and continuous-status limitations remain body-level","Confirm claim-neutral credential language"
SG-FD09,Minor account capability tiers,"FD-MSP03; FD-MSP05; FD-MSP11","19-20; 54-57",PARTIAL_IF_PROVEN,"Age-appropriate access and task limits are present but a canonical capability-tier decision is absent","Approve tiering principle without implementation activation"
SG-FD10,Unsubstantiated mistaken withdrawn and malicious reports,FD-MSP14,"36; 42; 76-80",RESOLVES_IF_PROVEN,Aligned,"Reconfirm FD-MSP14 and the separate maliciousness determination rule"
SG-FD11,Communication observability and content-review authority,"FD-MSP06; FD-MSP13","23-32; 65-69",PARTIAL_IF_PROVEN,"Thread integrity and monitoring boundaries are present; content-review authority requires a specific confirmation","Confirm metadata preservation and purpose-specific audited content review"
SG-FD12,SafeSport and comparable framework claims,,"Founder notice; 85; 111; 117; MSP-T60",BODY_ONLY_REQUIRES_CONFIRMATION,"The parallel body prohibits unsupported compliance claims but no FD-MSP decision independently approves it","Approve claim-neutral framework language"
