decision_id,topic,package_disposition,asserted_exact_language,asserted_source_artifact,independent_source_event,classification,founder_modification,provisional
FD-MSP01,Final domain boundary,Approved as recommended,"The Relationship Model owns the underlying delegated-assistance relationship. Agreement and Permission own the grant, scope, duration, enforcement, and revocation. Search owns discoverability and minimum-information exposure. This Model owns the heightened eligibility, safety, supervision, communication, and safeguarding restrictions that apply when a minor or protected participant is involved.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP02,Protected-participant definition,Approved as recommended,"Protected Participant includes minors; adults subject to guardianship, conservatorship, supported decision-making, or comparable authority arrangements; persons whose capacity to provide informed authorization is materially limited for the relevant matter; persons subject to an active safeguarding or protective restriction; alleged victims, reporters, and witnesses whose identity or safety requires heightened protection; and persons temporarily designated through a documented protective process. Diagnosis, disability, age, or vulnerability alone does not remove autonomy.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP03,Age and jurisdiction model,Approved as recommended,"EquineSync shall use a jurisdiction-aware model and treat anyone under eighteen as a minor by default unless controlling law establishes a different status. Product age bands may support age-appropriate experiences but may not substitute for legal status, capacity, guardian authority, or individual assessment.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP04,Guardian authority and conflicting guardians,Approved as recommended,"Guardian authority must be independently evidenced, person-specific, scope-specific, time-bound where applicable, subject to court orders and legal restrictions, and distinguishable from payer, emergency-contact, account-administrator, or household status. When valid guardians conflict, EquineSync must preserve the conflict, restrict disputed consequential actions, maintain necessary safety services, and route the matter to controlled review. The platform must not select whichever guardian acted first, pays, or controls the account.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP05,Minor assent and refusal,Approved as recommended,"Minor assent should be collected in an age-appropriate form for material participation decisions whenever practicable. A minor's refusal controls optional promotional media, public profiles, nonessential direct communications, optional research, testimonials, optional AI-assisted personalization, and optional social or community participation. Emergency care, legally required action, and immediate safety interventions remain separate.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP06,Electronic communications involving minors,Approved with founder modification,"EquineSync shall prohibit one-to-one electronic communication between a minor and a trainer, coach, instructor, staff member, volunteer, provider, or other adult third party. Every ordinary electronic communication between an adult third party and a minor must include at least one currently verified parent or guardian as an active participant from the time the message is sent and throughout the thread. The platform must prevent prohibited messaging, including minor-initiated messages, guardian removal, delayed guardian addition, external-channel evasion, disappearing communications, attachments, comments, replies, and integrated communications. A separate protected safeguarding-intake path may restrict guardian involvement when inclusion would create danger, retaliation, investigative compromise, or another documented safeguarding risk; it may not create private messaging with the trainer, coach, accused person, or ordinary third party.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says founder modification,true
FD-MSP07,Safeguarding report intake and anonymity,Approved as recommended,"Reports may be submitted by minors, guardians, staff, providers, volunteers, customers, witnesses, or other affected persons. EquineSync should support identified, confidential, anonymous where technically and legally supportable, on-behalf-of, and emergency reports, with preservation of supporting evidence. Anonymous status must not be represented as absolute where identity becomes legally required, technically discoverable, or necessary to prevent immediate harm.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP08,Guardian notification and access exceptions,Approved as recommended,"A guardian is not always entitled to immediate notice of or access to every safeguarding matter. Notice or access may be delayed, restricted, or withheld when the guardian is the subject of the concern, disclosure could increase danger or retaliation, disclosure could compromise an investigation, another person's protected information would be exposed, law or a valid order restricts disclosure, or a qualified safeguarding authority determines that disclosure would be unsafe. The exception must be documented, scoped, time-aware, and reviewable.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP09,Emergency protective authority,Approved as recommended,"A defined safeguarding authority and narrowly authorized emergency personnel may impose temporary minimum-necessary restrictions where there is a reasonable safety concern, including suspension of messaging, physical access, directory visibility, assignments, media access, delegated authority, contact, or pickup, plus preservation and escalation. Emergency restrictions must be attributable, time-limited, promptly reviewed, and must not be treated as final guilt or liability.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP10,"In-person interaction, transportation, and release",Approved as recommended,"Observable, interruptible, and accountable interaction is the default. EquineSync shall require authorized pickup and release records, transportation-specific authorization, identified driver and responsible organization, destination and expected time, emergency-contact availability, and documented emergency exceptions. Lesson or participation authorization does not automatically authorize transportation, pickup, lodging, or private-space access.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP11,Minor participation in delegated horse care,Approved as recommended,"Minors may receive only age-appropriate, competence-appropriate, horse-specific, task-specific, time-limited duties with appropriate guardian, facility, or program authorization and supervision. Minors may not independently exercise medication, veterinary, emergency-disposition, horse-transport, financial, ownership, custody, safeguarding-investigation, unrelated-record, or unsupervised high-risk authority.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP12,Eligibility of adults working with protected participants,Approved as recommended,"A governed eligibility state is required before an adult receives protected-participant access or assignments. The constitutional floor includes verified identity, applicable role and relationship, required training or acknowledgment, restriction and suspension checks, purpose-limited access, periodic revalidation, immediate revocation capability, no self-approval, and no automatic transfer of eligibility between unrelated organizations.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP13,AI and automated safeguarding support,Approved as recommended,"AI may assist with intake organization, duplicate detection, translation, missing-information prompts, urgent-language surfacing for human review, timelines, routing, and controlled redaction. AI may not independently determine abuse, danger, credibility, mandatory-reporting conclusions, discipline, report closure, guardian rights, emergency contact, or predictive risk profiles, and may not create cross-tenant safeguarding lists.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP14,"Challenge, appeal, and non-retaliation",Approved as recommended,"Affected persons may request human review, correction, clarification, or appeal. A challenge does not automatically suspend a protective restriction. The process must prohibit retaliation, preserve evidence, separate allegations, interim measures, factual findings, eligibility outcomes, and legal determinations, and prevent ordinary appeal from exposing protected reporter or witness information.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
FD-MSP15,Transition to adulthood or restored autonomy,Approved as recommended,"At adulthood or a material change in supported authority, EquineSync must conduct a governed transition rather than silently continuing guardian control. Guardian-derived permissions must end or be reassessed; the participant should be invited to control their own account; optional consents, privacy, and communication settings must be reviewed; historical actions and agreements must be preserved; payer responsibility changes only through a separate process; and safeguarding restrictions continue only where supported by an independent basis.",EQUINESYNC_MINOR_SAFEGUARDING_FOUNDER_DECISION_DIRECTIVE_FD_MSP01_FD_MSP15_V1_0,NOT_LINKED,APPROVAL_ASSERTED_SOURCE_EVENT_NOT_LINKED,Package says approved as recommended,true
