source_id,source,authority_and_status,version_or_reference,use_in_pia,candidate_verification_posture,repository_path,repository_sha256,locator_review_status
TCSN-SRC-001,EquineSync Global Governance V1.0,Locked constitutional baseline,Commit `acb518ea5a160820e64681ff95a16b010fe1156c`; protected tag `equinesync-governance-v1.0-locked-2026-07-16`,"Non-regression, precedence, authority",Immutable reference registered,docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_LOCK_RECORD.md,16c9b4c4f16f078c036c0768da38ae0d70cc643b10f9b5d76a50205a426ba551,EXACT_PATH_HASH_RECORDED
TCSN-SRC-002,PIA Master Standard and Controlled Template,Founder-adopted controlling implementation standard,ES-PIA-MASTER-STANDARD-V1.1`; SHA-256 `c751a73331d89eb4dd5d5ff3b059c81bb1d99284102c6f39a008aeb84620bbbc,"Structure, BRAVO, gates, evidence, five questions",Exact bytes previously ingested and verified,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/controlling/EquineSync_Product_Implementation_Atlas_Master_Standard_V1_1.pdf,c751a73331d89eb4dd5d5ff3b059c81bb1d99284102c6f39a008aeb84620bbbc,EXACT_PATH_HASH_RECORDED
TCSN-SRC-003,Founder Adoption and Approval Record for PIA V1.1,Controlling adoption and effectiveness record,SHA-256 `bd5d466494bf24d5ec6942b8f8c7b9248881d4d731a5861b020cef8a7d6ffcd8`,Effectiveness and lifecycle authority,Exact bytes previously ingested and verified,governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/adoption/Founder_Adoption_and_Approval_Record_ES_PIA_Master_Standard_V1_1.pdf,bd5d466494bf24d5ec6942b8f8c7b9248881d4d731a5861b020cef8a7d6ffcd8,EXACT_PATH_HASH_RECORDED
TCSN-SRC-004,Master Product Vision,Product direction,"V2.1 successor candidate, subject to controlling governance posture","User experience, tasks, calendar, scheduling, notification direction",Content reviewed; repository locator rechecked at freeze,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-005,RF29 Calendar Domain Canon,Primary calendar-domain authority,Locked RF29 family,"Event identity, recurrence, time, synchronization ownership",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-006,Master Barn Lifecycle and Operations Canon,Primary operational-task authority,Controlling family,"Daily work, completion, barn operations, exceptions",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-007,"Master Communication, Notification, and Notice Model",Primary communication authority,V2.0 family,"Classification, routing, delivery, acknowledgment, notice evidence",Content reviewed,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-008,"Master Identity, Account, and Actor Model",Identity and attribution authority,V2.0 locked family,"Actor, principal, account, device, attribution",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-009,Master Relationship Model,Relationship truth authority,V2.0 locked family,"Horse, facility, organization, guardian, delegation context",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-010,Master Permission and Access-Control Model,Authorization enforcement authority,Controlling family,Action-level permissions and least privilege,Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-011,"Master Agreement, Consent, and Authorization Model",Agreement and consent authority,Controlling family,"SMS preferences, authorization, acknowledgment separation",Content reviewed,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-012,Master Record Stewardship and Retention Model,Record lifecycle authority,V2.1 locked family,"Retention, correction, deletion, legal hold",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-013,Master Audit Event and Evidence Model,Audit and evidence authority,V2.0 locked family,"Event fields, evidence integrity, custody",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-014,Master External Architecture and Adapter Model,Integration boundary authority,V2.0 locked family,"Provider neutrality, adapter truth, revocation, exit",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-015,"Master Platform Operations, Reliability, and Release Model",Operations and release authority,Controlling family,"Monitoring, incidents, rollout, rollback",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
TCSN-SRC-016,"Master Platform Resilience, Backup, and Recovery Model",Recovery authority,Controlling family,"Backup, restore, degraded mode, continuity",Family and authority identified,REQUIRES_COMPLIANT_FREEZE_VERIFICATION,,FAMILY_LOCATOR_REQUIRES_COMPLIANT_REVIEW
