source_id,title,version,status,path,sha256,authority_level,use,boundary
SRC-001,"EquineSync Product Implementation Atlas Master Standard",1.1,FOUNDER_APPROVED_ADOPTED_AND_EFFECTIVE,"governance/founder_authorized_remediation/identity_relationships/ES-REM-2026-001/source_evidence/controlling/EquineSync_Product_Implementation_Atlas_Master_Standard_V1_1.pdf",c751a73331d89eb4dd5d5ff3b059c81bb1d99284102c6f39a008aeb84620bbbc,PIA_STANDARD,"Template lifecycle and readiness","No implementation authority"
SRC-002,"Remaining PIA Program Directive",2026-07-21,CURRENT_FOUNDER_DIRECTIVE,"external supplied pasted-text.txt",f19568fa7ecf6527306808afd5116f6df4a65ab91a7886e2e451a2b87d350d68,FOUNDER_DIRECTIVE,"Current program scope terminology and controls","Documentary work only"
SRC-003,"Global Governance V1.0 baseline",1.0,LOCKED,"docs/governance_v1_0/GLOBAL_GOVERNANCE_V1_0_BASELINE_MANIFEST.json",f5666ebffbfe527f6d01eb7fe7fbe9f21de541b7b3afe5c4a1fe2d1b3379bfe9,CONSTITUTIONAL,"Locked authority baseline","Preserves each artifact lifecycle"
SRC-004,"Master EquineSync Implementation Atlas",1.0,ADOPTED_PLANNING_ATLAS_NOT_LOCKED,"docs/implementation/MASTER_EQUINESYNC_IMPLEMENTATION_ATLAS_V1_0.md",bfa77b5e03fd9a75c8865b723794ee2da687754f030e72022f1476b9af6021d8,MIAP,"Planning and orchestration","No implementation production or enrollment authority"
SRC-005,"Controlling Ten-Item PIA Portfolio",1.0.0,FOUNDER_DIRECTED_CONTROLLING_LIST,"governance/pia_portfolio/ES-PIA-PORTFOLIO-REALIGNMENT-V1.0.0/sources/LOCKED_TEN_ITEM_PIA_PORTFOLIO.md",d487df6cd36b8b4c62c4df59ea6f278a1358c3dee824bda17d74c94732b27dd2,FOUNDER_DIRECTIVE,"Position 02 scope and portfolio cap","No eleventh PIA without Founder decision"
SRC-006,"Master Facility Domain Model",2.1,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_FACILITY_DOMAIN_MODEL_V2_1_ADOPTED_SOURCE.md",8323b8402c3d445fe2b8d363caf16bb2a8eb4e08b0b37bd36b90ee69092a698d,LOCKED_CANON,"Facility identity lifecycle and topology","Does not grant authority"
SRC-007,"Master Barn Lifecycle and Operations Canon",3.1,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_BARN_LIFECYCLE_V3_1_ADOPTED_SOURCE.md",c2a698ca1bbb8dc723ea7ac0270a9f66e8b06d0cbcb01535efefc517b6076d4a,LOCKED_CANON,"Barn lifecycle and operational context","Does not replace Facility PIA"
SRC-008,"Master Business Lifecycle Model",2.1,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_BUSINESS_LIFECYCLE_V2_1_ADOPTED_SOURCE.md",a07b0ba2fc6c3c0ce5b9db3f56c5f26fcda8d87e5f4f115a02e19b6b5fb4b37d,LOCKED_CANON,"Organization and business lifecycle","Business label grants no authority"
SRC-009,"Master Ecosystem Model",2.1,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_ECOSYSTEM_MODEL_V2_1_ADOPTED_SOURCE.md",67175779abfe8ff2dee0ff7b1b8c06eee42943052071bbad1f65439c73696d07,LOCKED_CANON,"Ecosystem actors and provider context","Does not activate providers"
SRC-010,"Master Identity Account and Actor Model",2.0,ADOPTED_AND_LOCKED,"docs/canon/MASTER_IDENTITY_ACCOUNT_AND_ACTOR_MODEL_V2_0.md",1c79c20a2edd2e7e3907e875679c5871d53c146a226364fb0cc3f956d39f5d0e,LOCKED_CANON,"Identity interface","Facility does not own identity"
SRC-011,"Master Relationship Model",2.0,ADOPTED_AND_LOCKED,"docs/canon/MASTER_RELATIONSHIP_MODEL.md",f6715f0a02cad2eb8d8eb140d765b7906052c4d6bf3a5a40372c74c5c1e8ba01,LOCKED_CANON,"Relationship and delegation interface","Current successor text remains separate"
SRC-012,"Master Permission and Access Control Model",1.1,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_V1_1_ADOPTED_SOURCE.md",6e3f4160e4166831cfe4f154032ff7648a5a44b70762289252c615e98b899fa3,LOCKED_CANON,"Permission interface","Context never grants permission"
SRC-013,"Master Agreement Consent and Authorization Model",2.1,ADOPTED_AND_LOCKED,"docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/MASTER_AGREEMENT_CONSENT_AND_AUTHORIZATION_MODEL_V2_1_ADOPTED_PRE_LOCK.md",a96effd167554d84dbdf18f0804468abcf67a9a9e326c6ea8907e59779097bc0,LOCKED_CANON,"Agreement consent and authorization facts","Facility cannot create these facts"
SRC-014,"Master Claims Disputes and Authority Model",2.0,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_CLAIMS_DISPUTES_AND_AUTHORITY_MODEL_V2_0_ADOPTED_SOURCE.md",a4787fb641dca1d28d98f10240957d0b09ea8ee1cee8358f64e80dd658b8b626,LOCKED_CANON,"Dispute restriction and claim interface","No silent conflict resolution"
SRC-015,"Master Record Stewardship and Retention Model",2.1,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_RECORD_STEWARDSHIP_AND_RETENTION_MODEL_V2_1_ADOPTED_SOURCE.md",4623fb036481a4ffea4e7edde53fa6e83e9a81f062251c8371e242219f524c2a,LOCKED_CANON,"Ownership correction retention and export","No invented retention period"
SRC-016,"Master Audit Event and Evidence Model",2.0,ADOPTED_AND_LOCKED,"docs/canon/adopted_sources/MASTER_AUDIT_EVENT_AND_EVIDENCE_MODEL_V2_0_ADOPTED_SOURCE.md",321aefaeee9f04ad927c01d96e4b05549713c118f9868b7fccf7a8e9b53d8ea2,LOCKED_CANON,"Attribution evidence and audit","Mechanical log is not substantive review"
SRC-017,"Master Privacy and Data Protection Model",2.0,FOUNDER_APPROVED_ADOPTED_AND_LOCKED,"docs/canon/locks/privacy_v2_0/pre_lock/MASTER_PRIVACY_AND_DATA_PROTECTION_MODEL_V2_0_FOUNDER_APPROVED.md",b773389d83308ab051e4959a4f61304cc3fb5328a5f8086ef683ab0a914498bb,LOCKED_CANON,"Privacy projection and purpose limitation","Public profile does not waive privacy"
SRC-018,"Facility V1.0.0 predecessor package",1.0.0,PRESERVED_NOT_ADOPTED,"governance/pia/ES-PIA-FACILITY-TENANT-ORGANIZATION-V1.0.0",NOT_APPLICABLE,PIA_PREDECESSOR,"Initial candidate and review evidence","Must not be overwritten"
SRC-019,"Facility V1.0.1-R3 predecessor package",1.0.1-R3,FACILITY_PIA_REVIEW_BLOCKED_BY_RUNTIME_PERMISSION_FAILURE,"governance/pia/ES-PIA-FACILITY-TENANT-ORGANIZATION-V1.0.1-FOUNDER-DECISION-INCORPORATED-REVIEW-CANDIDATE",03ab98f70930558a2964a3f632e57ff37d1a0180,GIT_TREE,"Founder decision incorporated design and registers","Not adopted reviewed or implementation-authorized"
