label_1,label_2,ledger_item_id,assigned_procedure,denominator,completed,status,evidence_or_result,limitation
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-001,Read controlling lane prompt and mandatory operating contracts,4 documents,4,COMPLETED,"CMT-01_PROMPT; AGENTS.md; CODEX_ORCHESTRATION_DIRECTIVE V1.0.0; COMMON_AGENT_OPERATING_CONTRACT V1.0.0",Runtime permission control also inspected; no custom agent loaded
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-002,Verify external handoff ZIP SHA-256 and compressed-data integrity,1 archive,1,COMPLETED,"SHA-256 91cdb1c24f13940814035036c2c76c7cec415945337edbf3778e2a77c4a140f6; unzip test PASS",External archive remained outside repository
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-003,Verify expanded handoff against external ZIP and handoff controls,15 files,15,COMPLETED,"15/15 byte-equal to ZIP; 14/14 checksum entries PASS; 13/13 manifest entries match bytes and SHA-256",PACKAGE_MANIFEST and SHA256SUMS are control files and not both self-listed
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-004,Verify embedded archive compressed-data integrity,5 archives,5,COMPLETED,5/5 unzip tests PASS,None
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-005,Verify expanded package bytes against embedded archives,140 files,140,COMPLETED,140/140 byte-equal; zero missing; zero mismatches,None
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-006,Verify internal package SHA256SUMS,130 entries,130,COMPLETED,130/130 PASS across five packages,None
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-007,Verify internal package manifests,130 entries,130,COMPLETED,130/130 present with matching bytes and SHA-256; counts 38+12+24+24+32,None
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-008,Parse supplied JSON and CSV inputs,64 files,64,COMPLETED,"JSON 16/16 parse; CSV 48/48 parse with 841 data rows",Parsing only; semantic machine validation belongs to CMT-06
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-009,Verify directive-listed repository commits locally,3 commits,3,COMPLETED_WITH_LIMITATION,"2/3 present locally: acb518e and 75c56ac; 56dc68c absent","Coordinator reports authenticated GitHub verification of 56dc68c; CMT-01 did not independently reperform network verification"
NON_AGENT_CONTROLLED_THREAD_REVIEW,NOT_ES_RA_AGENT_EVIDENCE,WCL-010,Verify Stage 2A closure document commit chain locally,3 commits,3,COMPLETED_WITH_LIMITATION,"0/3 locally present: 2ffdeea; 3b96692; 3245ec6","Closure document bytes are verified within handoff; referenced repository objects are unavailable locally"
