role,accountable_function,accountability_gap_effect,responsible_function,consulted_function,informed_function,appointment_authority,appointment_evidence,acceptance_evidence,effective_date,deputy,succession_process,response_deadline,overdue_escalation,conflict_restrictions,review_responsibility,reassignment_trigger
governance stewardship,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for whether this package is reviewed at all; the 90-day governance review has no addressee.,Governance Stewardship,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review governance stewardship controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
product domain ownership,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for the 96 requirement rows; requirements_with_no_owner is 96 of 96.,Product Domain Ownership,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review product domain ownership controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
technical implementation,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for locating implementations; 66 of 96 requirements have no implementation candidate.,Technical Implementation,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review technical implementation controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
security,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for security findings; the observed findings register holds zero records and no one is required to add any.,Security,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review security controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
privacy,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for the 5 privacy-relevant requirements or for any data-protection assessment.,Privacy,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review privacy controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
safeguarding,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for the 1 safeguarding-relevant requirement.,Safeguarding,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review safeguarding controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
financial controls,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for the 2 financial-control requirements.,Financial Controls,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review financial controls controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
equine health and welfare,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,"No function is answerable for the 1 equine health and welfare requirement, which has no implementation candidate.",Equine Health And Welfare,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review equine health and welfare controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
records and evidence custody,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,"No function is answerable for evidence custody, so the LOCKED and ACCESSIONED lifecycle states are unreachable.",Records And Evidence Custody,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review records and evidence custody controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
release authority,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,"No function holds release authority, so the ACCESSIONED to ACTIVE transition is unreachable and nothing in this package can become operative.",Release Authority,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review release authority controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
incident response,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for incidents; the incident triggering event in the review calendar has no addressee.,Incident Response,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review incident response controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
review administration,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,"No function maintains the review calendar, so the 14 review dates and 14 escalation deadlines are unmonitored.",Review Administration,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review review administration controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
source reconciliation,INTERIM_FUNCTION_DEFINED_NOT_PERSON_APPOINTED,No function is answerable for the 2961 source rows or the 578 rows requiring Founder disposition.,Source Reconciliation,Founder; affected governance steward; implementation reviewer,Founder review packet recipients,Founder or expressly delegated appointment authority,NOT_RECORDED,NOT_RECORDED,,TO_BE_APPOINTED,Founder decision required if vacant past response deadline,2026-08-16,Escalate to Founder if no accountable appointment evidence by deadline,Cannot close own unresolved finding without independent validation where required,Review source reconciliation controls every 90 days or on triggering event,vacancy; conflict; missed review; source drift; material incident
