predecessor_artifact,predecessor_source_id,predecessor_title,successor_source_id,crosswalk_status
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-001,Master Identity Account and Actor Model V2.0,ES-SRC-IDENTITY,EXACT
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-002,Master Relationship Model V2.0,ES-SRC-RELATIONSHIP,EXACT
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-003,Master Permission Model V1.1,ES-SRC-PERMISSION,ACTIVE_PATH_AND_LOCK_RESOLVED
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-004,Master Agreement Consent and Authorization Model V2.1,ES-SRC-AGREEMENT,RAW_SOURCE_TO_LOCKED_MARKDOWN_PROVENANCE_RESOLVED
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-005,Master Minor Guardianship Safeguarding and Protected Participant Model V1.2,ES-SRC-SAFEGUARDING,ACTIVE_HASH_AND_LOCK_RESOLVED
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-006,Master Audit Event and Evidence Model V2.0,ES-SRC-AUDIT,ACTIVE_SOURCE_AND_LOCK_RESOLVED
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-007,Master Communication Notification and Notice Model V2.0,ES-SRC-COMMUNICATION,ACTIVE_SOURCE_AND_LOCK_RESOLVED
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-008,Master Privacy and Data Protection Model V2.0,ES-SRC-PRIVACY,ACTIVE_SOURCE_AND_LOCK_RESOLVED
Identity SOURCE_RECONCILIATION_REGISTER.csv,ID-SRC-009,Product Implementation Atlas Master Standard V1.1,ES-SRC-PIA-STANDARD,UNRESOLVED_EXACT_BYTES_RETAINED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-001,Master Relationship Model V2.0,ES-SRC-RELATIONSHIP,EXACT
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-002,Master Identity Account and Actor Model V2.0,ES-SRC-IDENTITY,EXACT
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-003,Master Claims Disputes and Authority Model V2.0,ES-SRC-CLAIMS,ACTIVE_PATH_HASH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-004,Master Record Stewardship and Retention Model V2.1,ES-SRC-RECORDS,ACTIVE_PATH_HASH_AND_LOCK_RESOLVED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-005,Constitutional Authority Matrix V1.2,ES-SRC-AUTHORITY-MATRIX,PATH_AND_HASH_RESOLVED_COMPANION_STATUS_RETAINED
Relationships controlled SOURCE_RECONCILIATION_REGISTER.csv,REL-SRC-006,Constitutional Cross Reference Index V1.2,ES-SRC-XREF,PATH_AND_HASH_RESOLVED_COMPANION_STATUS_RETAINED
