candidate_adr,domain,founder_decisions,candidate_clause_surface,redline_ids,status
candidate_adrs/identity/ADR-IDENTITY-001_FORMAL.md,Identity,IDENTITY-FD-002;IDENTITY-FD-008,provider neutrality verified contact and attributable actor chain,CMT08-PR-004,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/identity/ADR-IDENTITY-002_FORMAL.md,Identity,IDENTITY-FD-002;IDENTITY-FD-003,passkeys lifecycle and implementation-parameter boundary,CMT08-PR-005,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/identity/ADR-IDENTITY-003_FORMAL.md,Identity,IDENTITY-FD-003;IDENTITY-FD-006,MFA TOTP step-up recovery restriction and parameter boundary,CMT08-PR-002;CMT08-PR-005,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/identity/ADR-IDENTITY-004_FORMAL.md,Identity,IDENTITY-FD-003;IDENTITY-FD-006;IDENTITY-FD-009;IDENTITY-FD-011,session architecture parameter boundary support attribution closure and stale denial,CMT08-PR-004;CMT08-PR-005;CMT08-PR-010,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/identity/ADR-IDENTITY-005_FORMAL.md,Identity,IDENTITY-FD-006;IDENTITY-FD-007;IDENTITY-FD-009;IDENTITY-FD-011,bounded recovery merge support closure and case evidence,CMT08-PR-002;CMT08-PR-004;CMT08-PR-005;CMT08-PR-008,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/identity/ADR-IDENTITY-006_FORMAL.md,Identity,IDENTITY-FD-001;IDENTITY-FD-005;IDENTITY-FD-007;IDENTITY-FD-008;IDENTITY-FD-012,invitation public signup topology boundary merge and onboarding completion,CMT08-PR-003;CMT08-PR-004;CMT08-PR-006,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/identity/ADR-IDENTITY-007_FORMAL.md,Identity,IDENTITY-FD-004;IDENTITY-FD-010;IDENTITY-FD-011,separate minor account protective pause transition and history,CMT08-PR-001;CMT08-PR-004;CMT08-PR-007,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-001_FORMAL.md,Relationships,REL-FD-001;REL-FD-002;REL-FD-003;REL-FD-004;REL-FD-007;REL-FD-011;REL-FD-013,canonical typed party representation taxonomy organization facility and history,CMT08-PR-011;CMT08-PR-016;CMT08-PR-019,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-002_FORMAL.md,Relationships,REL-FD-002;REL-FD-013,no-generic-barn type registry and version control,CMT08-PR-016;CMT08-PR-019,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-003_FORMAL.md,Relationships,REL-FD-005;REL-FD-006;REL-FD-014;REL-FD-016,delegation acceptance zero-authority restriction expiry renewal and source dependency,CMT08-PR-014;CMT08-PR-015;CMT08-PR-016,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-004_FORMAL.md,Relationships,REL-FD-003;REL-FD-007;REL-FD-010;REL-FD-011,claim-specific verification disputes restrictions and history,CMT08-PR-017;CMT08-PR-019,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-005_FORMAL.md,Relationships,REL-FD-004;REL-FD-008;REL-FD-009;REL-FD-010;REL-FD-012;REL-FD-015,organization facility Care Circle emergency contact signup and emergency access,CMT08-PR-016;CMT08-PR-019,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-006_FORMAL.md,Relationships,REL-FD-005;REL-FD-006;REL-FD-007;REL-FD-010;REL-FD-014;REL-FD-016,offline proposal authoritative time conflict and revalidation,CMT08-PR-016;CMT08-PR-019,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
candidate_adrs/relationships/ADR-REL-007_FORMAL.md,Relationships,REL-FD-001;REL-FD-003;REL-FD-004;REL-FD-007;REL-FD-011;REL-FD-012;REL-FD-013,migration provisional status lineage and semantic separation,CMT08-PR-016;CMT08-PR-017;CMT08-PR-019,PROPOSED_NOT_APPROVED_PENDING_FRESH_REVIEW
