decision_id,approval_status,approved_answer,source_section,source_ids,requirement_ids,acceptance_ids,test_ids,gate_effect,authority_limit
HOR-FD-001,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,Version 3.0 controls broad architecture; locked Transfer V2.0 controls transfer; V3.1 remains state-qualified until verified adoption/supersession.,37.1,HOR-SRC-005,HOR-REQ-029;HOR-REQ-030;HOR-REQ-031;HOR-REQ-050;HOR-REQ-052;HOR-REQ-094;HOR-REQ-099,HOR-AC-012;HOR-AC-016;HOR-AC-017;HOR-AC-038;HOR-AC-040,HOR-TST-010;HOR-TST-017;HOR-TST-018;HOR-TST-041;HOR-TST-044;HOR-TST-045,Required before implementation authorization.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-002,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,"Elevated Item 03 authority, multi-source evidence, conflict review, lineage preservation, no access expansion, and reversible downstream reconciliation.",37.1,HOR-SRC-005,HOR-REQ-040;HOR-REQ-041;HOR-REQ-042;HOR-REQ-043;HOR-REQ-044;HOR-REQ-045;HOR-REQ-046;HOR-REQ-047;HOR-REQ-089;HOR-REQ-092;HOR-REQ-119,HOR-AC-008;HOR-AC-009;HOR-AC-010;HOR-AC-011;HOR-AC-036;HOR-AC-042,HOR-TST-005;HOR-TST-014;HOR-TST-015;HOR-TST-016;HOR-TST-038;HOR-TST-048,Required before implementation authorization.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-003,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,No. Preserve adaptive horse-first onboarding.,37.1,HOR-SRC-005,HOR-REQ-002;HOR-REQ-090;HOR-REQ-091;HOR-REQ-120,HOR-AC-001;HOR-AC-035;HOR-AC-050,HOR-TST-001;HOR-TST-037;HOR-TST-060,Documentary recommendation ready; confirm before adoption.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-004,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,Private/off by default; separate authorization for minimum projection.,37.1,HOR-SRC-005,HOR-REQ-026;HOR-REQ-075;HOR-REQ-104,HOR-AC-015;HOR-AC-024;HOR-AC-042,HOR-TST-013;HOR-TST-026;HOR-TST-048,Required before public-surface implementation.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-005,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,"Purpose-based precision with heightened suppression for theft, dispute, safeguarding, and security risk.",37.1,HOR-SRC-005,HOR-REQ-059;HOR-REQ-060;HOR-REQ-061;HOR-REQ-071;HOR-REQ-116;HOR-REQ-118,HOR-AC-020;HOR-AC-027;HOR-AC-048;HOR-AC-049,HOR-TST-021;HOR-TST-028;HOR-TST-042;HOR-TST-057;HOR-TST-058;HOR-TST-059,Required before location-surface implementation.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-006,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,Multi-axis versioned vocabulary; no single universal dropdown and no retroactive reinterpretation.,37.1,HOR-SRC-005,HOR-REQ-029;HOR-REQ-030;HOR-REQ-031;HOR-REQ-032;HOR-REQ-033;HOR-REQ-034,HOR-AC-012,HOR-TST-010,Required before schema/configuration authorization.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-007,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,"Source-qualified claims with issuer, version, date, confidence, expiry, retraction, and reconciliation.",37.1,HOR-SRC-005,HOR-REQ-010;HOR-REQ-105;HOR-REQ-106,HOR-AC-006;HOR-AC-043,HOR-TST-006;HOR-TST-049;HOR-TST-050,Required before registry automation.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-008,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,Preserve constitutional data distinctions; defer specialized workflow unless separately prioritized.,37.1,HOR-SRC-005,HOR-REQ-038;HOR-REQ-039;HOR-REQ-109,HOR-AC-022;HOR-AC-045,HOR-TST-023;HOR-TST-053,Release-scope decision.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-009,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,Elevated death-record authority; separate current permission/consent for public memorial.,37.1,HOR-SRC-005,HOR-REQ-063;HOR-REQ-064;HOR-REQ-065;HOR-REQ-066;HOR-REQ-117,HOR-AC-023;HOR-AC-024;HOR-AC-025;HOR-AC-049,HOR-TST-024;HOR-TST-025;HOR-TST-026;HOR-TST-039;HOR-TST-059,Required before implementation.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
HOR-FD-010,FOUNDER_APPROVED_DOCUMENTARY_DESIGN_ONLY,"Minimum purpose-specific projection under Records, Claims, Privacy, Agreement, and Item 03.",37.1,HOR-SRC-005,HOR-REQ-056;HOR-REQ-110;HOR-REQ-115,HOR-AC-018;HOR-AC-046;HOR-AC-048,HOR-TST-019;HOR-TST-054;HOR-TST-055;HOR-TST-057;HOR-TST-058,Required before transfer release.,DOCUMENTARY_DESIGN_ONLY_NO_IMPLEMENTATION_NO_REVIEW_CLOSURE
