evidence_id,evidence_subject,required_fields_or_proof,source_sections,requirement_ids,status
HOR-AUD-001,Identity and source IDs,"Canonical, candidate, predecessor, and external IDs.",16;33,HOR-REQ-087;HOR-REQ-105;HOR-REQ-106,DOCUMENTED_NOT_EXECUTED
HOR-AUD-002,Actor and authority chain,"Actor, represented principal, accountable human, authority reference, and Item 03 permission result.",14;16;33,HOR-REQ-052;HOR-REQ-069;HOR-REQ-072;HOR-REQ-087,DOCUMENTED_NOT_EXECUTED
HOR-AUD-003,Context and purpose,"Tenant/context, action, purpose, affected horse, policy version, permission watermark, and source versions.",16;33,HOR-REQ-024;HOR-REQ-087,DOCUMENTED_NOT_EXECUTED
HOR-AUD-004,Source claim and provenance,"Source claim, evidence object, exact source version, owning domain, verification state, and confidence basis.",11;33,HOR-REQ-009;HOR-REQ-010;HOR-REQ-076;HOR-REQ-087,DOCUMENTED_NOT_EXECUTED
HOR-AUD-005,Sensitivity restriction and dispute,"Sensitivity, restriction, dispute state, former and successor values, correction times, and claim links.",12;21;33,HOR-REQ-015;HOR-REQ-017;HOR-REQ-071;HOR-REQ-115,DOCUMENTED_NOT_EXECUTED
HOR-AUD-006,Lifecycle and transfer state,"Lifecycle, existence, duplicate, transfer, location, archive, impact-specific effective time, and reconciliation state.",13;33,HOR-REQ-029;HOR-REQ-050;HOR-REQ-111;HOR-REQ-112,DOCUMENTED_NOT_EXECUTED
HOR-AUD-007,"Merge, unmerge, split, and references","Merge/unmerge/split lineage, durable redirect or tombstone, downstream reference map, and no access expansion evidence.",13;23;33,HOR-REQ-042;HOR-REQ-044;HOR-REQ-045;HOR-REQ-046;HOR-REQ-119,DOCUMENTED_NOT_EXECUTED
HOR-AUD-008,Passport and export projection,"Projection generation, policy and source versions, purpose, requester, watermark, expiry, invalidation, verification, external-copy limitation, and export manifest.",15;16;33,HOR-REQ-020;HOR-REQ-021;HOR-REQ-024;HOR-REQ-025;HOR-REQ-073;HOR-REQ-113;HOR-REQ-114,DOCUMENTED_NOT_EXECUTED
HOR-AUD-009,Outcome and exception ownership,"Outcome, safe reason, step-up, exception owner, residual risk, continuity-packet limitations, and required notice references.",23;33,HOR-REQ-055;HOR-REQ-087;HOR-REQ-110,DOCUMENTED_NOT_EXECUTED
HOR-AUD-010,Correlation and idempotency,"Correlation, causation, idempotency IDs, ordering, retry and replay controls.",16;20;33,HOR-REQ-079;HOR-REQ-080;HOR-REQ-083;HOR-REQ-087,DOCUMENTED_NOT_EXECUTED
HOR-AUD-011,Retention and legal hold,"Retention, legal-hold, disposition, archive, correction, and memorial state.",12;13;33,HOR-REQ-063;HOR-REQ-066;HOR-REQ-067;HOR-REQ-115,DOCUMENTED_NOT_EXECUTED
