source_id,source_class,record_status,source,status_and_permitted_use,authority_use,prohibited_use
HOR-SRC-001,PIA_STANDARD,ADOPTED_EFFECTIVE,ES-PIA-MASTER-STANDARD-V1.1,"Founder-approved, adopted, and effective. Controls the 43-section structure, lifecycle gates, readiness questions, and answer vocabulary.",Controls structure lifecycle gates readiness questions and answer vocabulary,Cannot authorize implementation or review completion
HOR-SRC-002,FOUNDER_CANON,CURRENT_BROAD_ARCHITECTURE_AUTHORITY,"docs/canon/MASTER_HORSE_LIFECYCLE.md, Version 3.0",Founder Canon and current broad horse identity/lifecycle architecture authority identified by the program inventory. Implementation remains separately gated.,Controls broad horse identity and lifecycle architecture,Cannot authorize runtime work or override locked transfer controls
HOR-SRC-003,LOCKED_CANON,ADOPTED_LOCKED_CONTROLLING_TRANSFER,"docs/canon/MASTER_HORSE_TRANSFER_AND_CONTINUITY_POLICY.md, Version 2.0","Founder-approved, adopted, locked, and controlling for horse transfer, custody transition, Passport continuity, former-party boundaries, and historical continuity.",Controls transfer custody transition Passport continuity and former-party boundaries,Cannot create implementation authority
HOR-SRC-004,STATE_QUALIFIED_SUCCESSOR_INPUT,NOT_ADOPTED_STATE_QUALIFIED,docs/canon/adopted_sources/MASTER_HORSE_LIFECYCLE_V3_1_ADOPTED_SOURCE.md,"State-qualified expanded successor input. Its embedded status says controlled successor candidate, not adopted. The directory name does not override the document's recorded lifecycle state.",Strengthens issue spotting where non-conflicting,Cannot silently supersede Version 3.0 or the locked Transfer policy
HOR-SRC-005,FOUNDER_APPROVAL,FOUNDER_APPROVED_DOCUMENTARY_ALLOCATION,ES-PIA-GFD-001 and the 2026-07-22 Founder approval record,Founder-approved documentary allocation: Item 04 owns horse lifecycle and eligibility facts; Item 08 owns competition/show/travel workflow; Item 06 owns scheduling; Item 09 owns financial consequences.,Controls GFD-001 allocation for horse lifecycle and eligibility facts,Cannot authorize implementation or enrollment
HOR-SRC-006,UPSTREAM_PIA_DOMAIN,SOURCE_OWNED_REFERENCE,"Identity, Account, Actor, and Onboarding governance","Controls people, organizations, accounts, actors, service identities, authentication context, and enrollment.",Controls people organizations accounts actors authentication and enrollment,Cannot be rewritten by Item 04
HOR-SRC-007,UPSTREAM_PIA_DOMAIN,SOURCE_OWNED_REFERENCE,"Relationship, Authorization, and Permission governance","Controls ownership, custody, possession, representation, delegation, authority, permission, restriction, and revocation.",Controls ownership custody possession authority permission restriction and revocation,Cannot be rewritten by Item 04
HOR-SRC-008,UPSTREAM_PIA_DOMAIN,SOURCE_OWNED_REFERENCE,"Facility, Tenant, and Organizational Structure governance","Controls facilities, organizations, tenants, areas, stalls, turnout spaces, and location topology.",Controls facilities organizations tenants areas stalls turnout spaces and topology,Cannot be rewritten by Item 04
HOR-SRC-009,LOCKED_CROSS_CUTTING_CANONS,SOURCE_OWNED_REFERENCE,"Record Stewardship, Audit, Claims, Privacy, Safeguarding, Agreement, and Media governance","Controls record class, stewardship, evidence, correction, dispute, consent, protected participants, media, retention, legal hold, and disposition.",Controls record stewardship evidence correction privacy safeguarding agreement and media,Cannot create horse-domain product behavior
HOR-SRC-010,DOWNSTREAM_OR_ADJACENT_DOMAIN,SOURCE_OWNED_REFERENCE,Equine Health and Care Operations governance,"Controls clinical, welfare, medication, feed, treatment, care-plan, and daily-care truth.",Controls clinical welfare medication feed treatment care-plan and daily-care truth,Cannot be replaced by a horse Passport or profile
HOR-SRC-011,LOCKED_CROSS_CUTTING_CANONS,SOURCE_OWNED_REFERENCE,"Communication, Search, Reporting, AI, External Architecture, Resilience, Platform Operations, Configuration, and Vendor Security governance","Controls cross-domain surfaces, automation, adapters, operational controls, and shared presentation.",Controls surfaces automation adapters operations and presentation,Cannot authorize provider registry marketplace AI or external-service activation
HOR-SRC-012,PLANNING_CONTEXT,PLANNING_ONLY,Master Product Vision and MIAP,"Supplies product purpose, sequencing, and planning context only. It does not authorize runtime work.",Supplies product purpose sequencing and planning context,Cannot authorize runtime work
