transition_id,axis,states_or_flow,trigger_or_rule,guards,evidence,prohibited_automatic_behavior,requirement_ids
HOR-STM-001,Existence axis,PLANNED | EXPECTED | LIVE_BORN_OR_FIRST_KNOWN | PREGNANCY_LOSS_RECORD | STILLBIRTH_RECORD | DECEASED | EXISTENCE_DISPUTED | ERRONEOUS_STATE_REVIEW,Authorized activation event only for active live-horse identity,Pregnancy loss and stillbirth remain preserved non-active outcomes,"Activation, source, actor, effective and recorded times",Planned or expected foal silently becoming active,HOR-REQ-005;HOR-REQ-006;HOR-REQ-007;HOR-REQ-109
HOR-STM-002,Identity-record axis,CANDIDATE -> ACTIVE -> DISPUTED_OR_RESTRICTED -> SUPERSEDED -> ARCHIVED,"Verification, dispute, correction, supersession, or archive action","Supporting states include pending verification, duplicate, merge, unmerge, and split correction review","Candidate IDs, canonical IDs, decisions, restrictions, lineage",Destructive overwrite or hidden convergence,HOR-REQ-001;HOR-REQ-012;HOR-REQ-015;HOR-REQ-040;HOR-REQ-119
HOR-STM-003,Fact-verification axis,ASSERTED | IMPORTED | SOURCE_CONFIRMED | PROFESSIONALLY_VERIFIED | DISPUTED | RESTRICTED | SUPERSEDED | UNKNOWN,Attributable evidence and governed verification,Automated confidence alone cannot advance to professionally verified,"Source owner, version, confidence basis, dispute and correction state",Imported or AI-derived claim becoming verified truth,HOR-REQ-008;HOR-REQ-009;HOR-REQ-010;HOR-REQ-014;HOR-REQ-076;HOR-REQ-081;HOR-REQ-082
HOR-STM-004,Operational lifecycle axis,"Compatible time-bounded states including care, training, competition, breeding, rehabilitation, sale, transport, retirement, missing, stolen, memorialized, and archived",Versioned compatibility and precedence rules,Configuration changes do not rewrite historical meaning,"State version, effective time, source, owning domain",Single global status collapse or retroactive reinterpretation,HOR-REQ-029;HOR-REQ-030;HOR-REQ-031;HOR-REQ-032;HOR-REQ-033;HOR-REQ-034
HOR-STM-005,Transfer-case axis,DRAFT -> INITIATED -> AUTHORITY_REVIEW -> EVIDENCE_REVIEW -> CONTINUITY_PREPARATION -> APPROVED_OR_DECLINED -> SCHEDULED -> EFFECTIVE -> DOWNSTREAM_RECONCILIATION -> COMPLETED,Separate transfer case decisions and reconciliation,Completion prohibited while critical obligations remain unresolved unless separately approved exception names risk owner,"Parties, authority, evidence, restrictions, impact states, reconciliation",Owner-field edit or false completion,HOR-REQ-050;HOR-REQ-051;HOR-REQ-052;HOR-REQ-053;HOR-REQ-054;HOR-REQ-055;HOR-REQ-111;HOR-REQ-112
HOR-STM-006,Duplicate-case axis,OPEN -> EVIDENCE_GATHERING -> LIKELY_SAME | LIKELY_DISTINCT | INCONCLUSIVE -> MERGE_APPROVED_OR_REJECTED -> MERGED -> RECONCILED -> CLOSED,Governed duplicate investigation and merge decision,UNMERGE_REVIEW or SPLIT_CORRECTION_REVIEW may open after closure,"All candidate IDs, source records, conflicts, restrictions, lineage and downstream reference map","Automatic merge from weak match, AI, name, color, facility, photo, or vendor ID",HOR-REQ-040;HOR-REQ-041;HOR-REQ-042;HOR-REQ-043;HOR-REQ-044;HOR-REQ-045;HOR-REQ-046;HOR-REQ-047;HOR-REQ-048;HOR-REQ-119
HOR-STM-007,Projection axis,GENERATED -> ACTIVE -> EXPIRED | REVOKED | SUPERSEDED,"Projection invalidated when permission, restriction, source, policy, or watermark changes",Verification discloses minimum safe status only,"Generation time, policy, source versions, watermark, expiry, invalidation and external-copy limitation",Claiming remote deletion of external copies,HOR-REQ-019;HOR-REQ-020;HOR-REQ-021;HOR-REQ-024;HOR-REQ-025;HOR-REQ-073;HOR-REQ-113;HOR-REQ-114
HOR-STM-008,Archive axis,ACTIVE_OPERATIONAL -> RETIRED_OR_INACTIVE -> DECEASED_OR_OTHER_ARCHIVE_BASIS -> ARCHIVE_PENDING -> ARCHIVED,"Authorized archive basis, correction, claim, legal hold, retention, erroneous-state restoration, or memorial action",Archive prevents ordinary mutation while preserving correction route,"Archive basis, restriction, legal hold, retention and restoration evidence",Deletion of identity/history or ordinary active mutation,HOR-REQ-063;HOR-REQ-064;HOR-REQ-065;HOR-REQ-066;HOR-REQ-067
HOR-STM-009,Cross-tenant mediation axis,REQUESTED -> BLIND_MATCHING -> NO_MATCH | MEDIATION_REQUIRED | AUTHORIZED_HANDOFF -> RECONCILED -> CLOSED,"Purpose-bound blind match, mediated result, and current authority","Do not expose other tenant, horse-record existence, protected facts, or canonical internal ID before authority permits handoff","Transfer token, limited evidence, mediation state, permission result, audit",Cross-tenant enumeration or automatic convergence,HOR-REQ-101;HOR-REQ-102;HOR-REQ-103;HOR-REQ-104
HOR-STM-010,Transfer-impact axis,PENDING -> AUTHORIZED -> EFFECTIVE -> RECONCILED | REVERSED | CORRECTION_PENDING,Each material transfer impact carries its own state and effective time,Case completion does not retroactively make every impact effective at one time,Impact-specific relationship custody possession access care facility communication schedule financial and stewardship records,Collapsed single transfer effective time,HOR-REQ-052;HOR-REQ-111;HOR-REQ-112
