unresolved_id,category,description,carried_disposition,decision_ids,requirement_ids,gate_effect,status
HOR-UNR-001,COMPLIANT_FRESH_REVIEW,GFD-007-compliant fresh independent review runtime is not provisioned and formal review has not started.,Leave formal review pending; mechanical validation is not independent review.,HOR-FD-001;HOR-FD-017,HOR-REQ-099,Blocks independent-review and ready-for-implementation claims,OPEN_PENDING_SEPARATE_AUTHORITY
HOR-UNR-002,IMPLEMENTATION_AUTHORITY,"No implementation, schema, migration, deployment, production, external activation, or enrollment authority exists.",Keep all authority flags false and use documentary package only.,HOR-FD-011;HOR-FD-015;HOR-FD-016,HOR-REQ-096;HOR-REQ-097;HOR-REQ-100,Blocks build and enrollment authorization,OPEN_PENDING_FOUNDER_AUTHORITY
HOR-UNR-003,UPSTREAM_INTERFACE,"Item 01, Item 02, and Item 03 interfaces remain pending compliant review and owning-domain concurrence.",Use explicit source-owned references without promoting predecessor successors.,HOR-FD-002;HOR-FD-003;HOR-FD-017,HOR-REQ-052;HOR-REQ-054;HOR-REQ-058;HOR-REQ-069;HOR-REQ-111;HOR-REQ-120,Blocks final cross-contract and implementation readiness,OPEN_PENDING_COMPLIANT_REVIEW
HOR-UNR-004,SOURCE_QUALIFICATION,Horse Lifecycle V3.1 remains state-qualified until verified adoption or supersession evidence proves otherwise.,Apply HOR-FD-001: V3.0 controls broad architecture; Transfer V2.0 controls transfer; V3.1 remains state-qualified.,HOR-FD-001,HOR-REQ-029;HOR-REQ-030;HOR-REQ-031;HOR-REQ-094;HOR-REQ-099,Blocks source-promotion and silent adoption claims,CARRIED_STATE_QUALIFIED
HOR-UNR-005,NUMERIC_TARGETS,"Latency, capacity, availability, recovery, synchronization, retention, propagation, and staffing targets are deferred.",Do not invent numeric thresholds; defer to MIAP and operational governance.,HOR-FD-011,HOR-REQ-088;HOR-REQ-093;HOR-REQ-096,"Blocks Questions 1, 2, and 4 from becoming YES_WITH_EVIDENCE",OPEN_PENDING_OPERATIONAL_AUTHORITY
HOR-UNR-006,EXECUTABLE_QA,"Executable tests, fixtures, environments, adapter contracts, and executed evidence do not exist.",Keep all design tests DESIGN_TEST_DEFINED_NOT_EXECUTED.,HOR-FD-014;HOR-FD-016;HOR-FD-017,HOR-REQ-088;HOR-REQ-089;HOR-REQ-093,Blocks QA and implementation readiness,OPEN_PENDING_IMPLEMENTATION_AUTHORITY
HOR-UNR-007,PASSPORT_AND_EXPORT_RELEASE,"Passport, export, public, marketplace, memorial, and broad projection release scopes remain separately gated.",Preserve purpose-bound minimum projections and external-copy limitation.,HOR-FD-004;HOR-FD-014;HOR-FD-015,HOR-REQ-020;HOR-REQ-021;HOR-REQ-026;HOR-REQ-073;HOR-REQ-113;HOR-REQ-114,Blocks public-surface and Passport implementation,OPEN_PENDING_RELEASE_AUTHORITY
HOR-UNR-008,CROSS_TENANT_IDENTITY_FORM,The layered identity posture is approved documentary-only; implementation form remains separately gated.,"Carry HOR-FD-016 without selecting schemas, IDs, services, or convergence mechanics.",HOR-FD-016,HOR-REQ-101;HOR-REQ-102;HOR-REQ-103;HOR-REQ-104;HOR-REQ-108;HOR-REQ-119,Blocks schema and cross-tenant transfer implementation,OPEN_PENDING_IMPLEMENTATION_DESIGN
HOR-UNR-009,TRANSFER_EFFECTIVE_TIMES,Impact-specific transfer effective times are approved documentary-only and not implemented.,Carry HOR-FD-017 as design constraint; no transfer behavior is changed.,HOR-FD-017,HOR-REQ-052;HOR-REQ-111;HOR-REQ-112,Blocks transfer implementation until executable design exists,OPEN_PENDING_IMPLEMENTATION_DESIGN
HOR-UNR-010,MIGRATION_AND_ROLLBACK,"Migration rehearsal, rollback proof, and no-orphan-reference evidence are absent.",Quarantine ambiguity and preserve rollback requirements as documentary controls.,HOR-FD-002,HOR-REQ-089;HOR-REQ-090;HOR-REQ-091;HOR-REQ-092,Blocks migration and production readiness,OPEN_PENDING_SEPARATE_AUTHORITY
HOR-UNR-011,EXTERNAL_INTEGRATIONS,"Registry, microchip, veterinary, insurer, competition, transport, marketplace, AI, and vendor integrations are not activated.",Treat external data as claims or evidence; preserve provider-neutral non-authority boundaries.,HOR-FD-007;HOR-FD-014,HOR-REQ-084;HOR-REQ-085;HOR-REQ-105;HOR-REQ-106;HOR-REQ-113;HOR-REQ-114,"Blocks provider, registry, marketplace, AI, and external-service activation",OPEN_PENDING_SEPARATE_AUTHORITY
HOR-UNR-012,DOWNSTREAM_RECONCILIATION,"Downstream death, missing, stolen, recovery, archive, care, scheduling, finance, and communication reconciliation remains unexecuted.",Emit documentary obligations only; Item 04 does not mutate downstream truth.,HOR-FD-009;HOR-FD-012;HOR-FD-017,HOR-REQ-062;HOR-REQ-117;HOR-REQ-118,Blocks operational readiness and downstream PIA approval,OPEN_PENDING_DOWNSTREAM_PIAS
HOR-UNR-013,FIRST_USER_ENROLLMENT,First-user enrollment readiness remains NO.,All five readiness questions must become YES_WITH_EVIDENCE under separate authority before enrollment.,HOR-FD-015,HOR-REQ-097,Blocks enrollment,OPEN_PENDING_FOUNDER_AUTHORITY
