consolidated_finding_id,source_reviewer,source_finding_id,original_severity,package_version_reviewed,exact_affected_path,affected_row_field_symbol_or_template,plain_language_explanation,verification_method,current_repository_status,disposition,remediation_performed,validation_evidence,residual_risk,founder_action_required,closure_authority,closure_status
C-OR-01,Cursor,F-02,S1,Round 3 Part B and final-draft successor,10_CLOSING_AUDIT_PROTOCOL/templates/*.md,See source review and final validator evidence,Replaced clone templates with 19 instrument-specific templates and distinctness validator.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Replaced clone templates with 19 instrument-specific templates and distinctness validator.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-02,Cursor,F-09/F-15,S2,Round 3 Part B and final-draft successor,04_AUTHORITY_LIFECYCLE_REGISTER; FOUNDER_DECISION_PACKET,See source review and final validator evidence,Established exact 13-state vocabulary and byte-identical decision question text.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Established exact 13-state vocabulary and byte-identical decision question text.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-03,Cursor,F-16,S2,Round 3 Part B and final-draft successor,VALIDATION/validate_final_draft.py,See source review and final validator evidence,Added document-specific validator with negative controls.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Added document-specific validator with negative controls.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-04,Cursor,ownership,S2,Round 3 Part B and final-draft successor,07_OWNERSHIP_STEWARDSHIP_REVIEW,See source review and final validator evidence,Validator checks no invented appointments and vacancy consistency.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Validator checks no invented appointments and vacancy consistency.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-05,Cursor,F-12,S2,Round 3 Part B and final-draft successor,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS,See source review and final validator evidence,Consolidated review findings are real rows; source register limitations remain tracked.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,PARTIALLY_REMEDIATED,Consolidated review findings are real rows; source register limitations remain tracked.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,External attestation and Founder decisions remain unavailable,YES,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
C-OR-06,Cursor,F-20,S3,Round 3 Part B and final-draft successor,08_SOURCE_RECONCILIATION,See source review and final validator evidence,Legacy source authority labels retained as historical source metadata with authority boundary.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,DEFERRED_WITH_RECORDED_BASIS,Legacy source authority labels retained as historical source metadata with authority boundary.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,External attestation and Founder decisions remain unavailable,YES,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
C-OR-07,Cursor,inventory,S3,Round 3 Part B and final-draft successor,TIER_1_DOCUMENT_INVENTORY.csv,See source review and final validator evidence,Final executive summary and validator align final determination token.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Final executive summary and validator align final determination token.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-08,Cursor,F-22,S3,Round 3 Part B and final-draft successor,UNRESOLVED_ISSUE_REGISTER.csv,See source review and final validator evidence,"Final unresolved register separates open, remediated, deferred, and Founder decision items.",Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,PARTIALLY_REMEDIATED,"Final unresolved register separates open, remediated, deferred, and Founder decision items.",VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,External attestation and Founder decisions remain unavailable,YES,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
C-OR-09,Cursor,PR #83 hash,S3,Round 3 Part B and final-draft successor,PR metadata,See source review and final validator evidence,Final package records new package hash; PR #83 is left draft and unmerged.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,SUPERSEDED_BY_LATER_CHANGE,Final package records new package hash; PR #83 is left draft and unmerged.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
C-OR-10,Cursor,F-05/F-28,S3,Round 3 Part B and final-draft successor,integrity model,See source review and final validator evidence,"Final package has manifest, checksums, integrity root, ZIP sidecar; external attestation remains not supplied.",Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,DEFERRED_WITH_RECORDED_BASIS,"Final package has manifest, checksums, integrity root, ZIP sidecar; external attestation remains not supplied.",VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,External attestation and Founder decisions remain unavailable,YES,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
C-OR-11,Cursor,F-01,S3,Round 3 Part B and final-draft successor,03_IMPLEMENTATION_TRACEABILITY,See source review and final validator evidence,Validator confirms candidate vs verified evidence separation and no static-scan verification claim.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Validator confirms candidate vs verified evidence separation and no static-scan verification claim.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-12,Cursor,delta heading,S4,Round 3 Part B and final-draft successor,FINAL_DRAFT_DELTA_REPORT.md,See source review and final validator evidence,Final delta report is single-purpose and not repeated.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Final delta report is single-purpose and not repeated.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
C-OR-13,Cursor,F-28,S4,Round 3 Part B and final-draft successor,VALIDATION_RESULTS,See source review and final validator evidence,Repository and package-only validation are recorded; independent external signature remains unavailable.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,DEFERRED_WITH_RECORDED_BASIS,Repository and package-only validation are recorded; independent external signature remains unavailable.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,External attestation and Founder decisions remain unavailable,YES,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,RETAINED_OPEN_OR_LIMITED
F-01,Perplexity/Cursor,F-01,S1,Round 3 Part B and final-draft successor,03_IMPLEMENTATION_TRACEABILITY/REQUIREMENT_TRACEABILITY_REGISTER.csv,See source review and final validator evidence,"Candidate rows remain source-text candidates, not normative requirements.",Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,"Candidate rows remain source-text candidates, not normative requirements.",VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-03,Perplexity/Cursor,F-03,S1,Round 3 Part B and final-draft successor,VALIDATION/validate_final_draft.py,See source review and final validator evidence,Negative controls prove material checks fail.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Negative controls prove material checks fail.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-04,Perplexity/Cursor,F-04,S1,Round 3 Part B and final-draft successor,04_AUTHORITY_LIFECYCLE_REGISTER/INVALID_STATE_RULES.csv,See source review and final validator evidence,Invalid-state rules are checked or explicitly documented.,Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,Invalid-state rules are checked or explicitly documented.,VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
F-05,Perplexity/Cursor,F-05,S1,Round 3 Part B and final-draft successor,MANIFEST_OF_MANIFESTS.sha256,See source review and final validator evidence,"Package has manifest-of-manifests and final integrity root, with external attestation limitation disclosed.",Direct current-package inspection plus final-draft validator,Addressed in final-draft branch; not merged; protected branch unchanged,CONFIRMED_REMEDIATED,"Package has manifest-of-manifests and final integrity root, with external attestation limitation disclosed.",VALIDATION_RESULTS/FINAL_DRAFT_VALIDATION_REPORT.json,No material residual risk identified for this finding within documentary scope,NO_FOR_DOCUMENTARY_REMEDIATION,DOCUMENTARY_VALIDATION_ONLY_NO_FOUNDER_DECISION_RECORDED,CLOSED_FOR_FINAL_DRAFT_VALIDATION
