source_id,title,filename,repository_path,source_class,authority_status,version,effective_date,approval_authority,approval_record_path,checksum,checksum_verification_status,exact_approved_bytes_accessioned,source_format,related_pias,related_atlases,applicable_code_guides,related_controls_or_domains,predecessor,successor,supersession_status,conflicts,limitations,custody_status,review_status,originating_commit,repository_integration_receipt_path,notes
CGSRC-FOUNDER-0001,Canon adoption package: c0_004_master_product_vision,c0_004_master_product_vision,docs/canon/adoptions/c0_004_master_product_vision,FOUNDER_AUTHORITY,CONTROLLING,,,Founder,docs/canon/adoptions/c0_004_master_product_vision/C0_004_MASTER_PRODUCT_VISION_CONSTITUTIONAL_ADOPTION_RECORD.md,a7988f74661567f628f891da833e369f7ce045cc762a9fc6e83da6c7b6d3948a,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-04;ES-CG-12;ES-CG-10,authority;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0002,Canon adoption package: c0_005_ecosystem_v2_1,c0_005_ecosystem_v2_1,docs/canon/adoptions/c0_005_ecosystem_v2_1,FOUNDER_AUTHORITY,CONTROLLING,2.1,,Founder,docs/canon/adoptions/c0_005_ecosystem_v2_1/C0_005_MASTER_ECOSYSTEM_MODEL_CONSTITUTIONAL_ADOPTION_RECORD.md,d5876d0006c59ade7d98bc2a52415bc6d31acb84fdddfffb5ef52f3299d910f7,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-04;ES-CG-12;ES-CG-10,authority;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0003,Canon adoption package: c0_012_horse_lifecycle_v3_1,c0_012_horse_lifecycle_v3_1,docs/canon/adoptions/c0_012_horse_lifecycle_v3_1,FOUNDER_AUTHORITY,CONTROLLING,3.1,,Founder,docs/canon/adoptions/c0_012_horse_lifecycle_v3_1/C0_012_MASTER_HORSE_LIFECYCLE_AND_PASSPORT_MODEL_CONSTITUTIONAL_ADOPTION_RECORD.md,09ab6f73c3a9ae738975a7f9d18f9abf0b2f40379ba0bc119dbf2d655fcdb065,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-04;ES-CG-08;ES-CG-12;ES-CG-10,authority;architecture;domain_operations,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0004,Canon adoption package: c0_014_facility_domain_v2_1,c0_014_facility_domain_v2_1,docs/canon/adoptions/c0_014_facility_domain_v2_1,FOUNDER_AUTHORITY,CONTROLLING,2.1,,Founder,docs/canon/adoptions/c0_014_facility_domain_v2_1/C0_014_MASTER_FACILITY_DOMAIN_MODEL_CONSTITUTIONAL_ADOPTION_RECORD.md,7fd27a6ab8973e3f7e6d150334685ed79f25bad70f349aefa8af875334ae93e8,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,PIA-02_FACILITY,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-03;ES-CG-04;ES-CG-08;ES-CG-09;ES-CG-12,authority;architecture;domain_operations;safeguarding_privacy_security_ai;evidence_assurance,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0005,Canon adoption package: c0_015_barn_lifecycle_v3_1,c0_015_barn_lifecycle_v3_1,docs/canon/adoptions/c0_015_barn_lifecycle_v3_1,FOUNDER_AUTHORITY,CONTROLLING,3.1,,Founder,docs/canon/adoptions/c0_015_barn_lifecycle_v3_1/C0_015_MASTER_BARN_LIFECYCLE_AND_OPERATIONS_CANON_CONSTITUTIONAL_ADOPTION_RECORD.md,b8fa9f3f9907ed295725a041203fc743e2310fd8a57df8817b8ac8246e0293c1,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,PIA-02_FACILITY,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-03;ES-CG-04;ES-CG-08;ES-CG-12;ES-CG-10,authority;architecture;domain_operations,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0006,Canon adoption package: c0_016_business_lifecycle_v2_1,c0_016_business_lifecycle_v2_1,docs/canon/adoptions/c0_016_business_lifecycle_v2_1,FOUNDER_AUTHORITY,CONTROLLING,2.1,,Founder,docs/canon/adoptions/c0_016_business_lifecycle_v2_1/C0_016_MASTER_BUSINESS_LIFECYCLE_MODEL_CONSTITUTIONAL_ADOPTION_RECORD.md,0e9145a7bac72bb13549b6e96bd15b2ca40cab9a9e0fe34374ccbe2d762e95fa,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-04;ES-CG-12;ES-CG-10,authority;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0007,Canon adoption package: c0_019_agreement_consent_authorization_v2_1,c0_019_agreement_consent_authorization_v2_1,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1,FOUNDER_AUTHORITY,CONTROLLING,2.1,,Founder,docs/canon/adoptions/c0_019_agreement_consent_authorization_v2_1/C0_019_AGREEMENT_CONSENT_AND_AUTHORIZATION_CONSTITUTIONAL_ADOPTION_RECORD.md,505a5c93f775a29402e5f71e0096e71e6735c8093d378a146364fb72b3cb6d59,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,PIA-03_RELATIONSHIP,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-03;ES-CG-04;ES-CG-08;ES-CG-12;ES-CG-10,authority;identity_access;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0008,Canon adoption package: c0_022_permission_access_control_v1_1,c0_022_permission_access_control_v1_1,docs/canon/adoptions/c0_022_permission_access_control_v1_1,FOUNDER_AUTHORITY,CONTROLLING,1.1,,Founder,docs/canon/adoptions/c0_022_permission_access_control_v1_1/C0_022_MASTER_PERMISSION_AND_ACCESS_CONTROL_MODEL_CONSTITUTIONAL_ADOPTION_RECORD.md,924637a979e1eb0abb82fa570021ed6c4dead4f3610c90345033fff5fdd649bc,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,PIA-03_RELATIONSHIP,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-03;ES-CG-04;ES-CG-08;ES-CG-12;ES-CG-10,authority;identity_access;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0009,Canon adoption package: c0_023_c0_035_adoption,c0_023_c0_035_adoption,docs/canon/adoptions/c0_023_c0_035_adoption,FOUNDER_AUTHORITY,CONTROLLING,,,Founder,docs/canon/adoptions/c0_023_c0_035_adoption/C0_023_C0_035_ADOPTION_BUILD_RECORD.json,a27950152dafde34a13c6f6ce830ca612121e1a2efdf1d52fd15ca60266b0c9e,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-04;ES-CG-12;ES-CG-10,authority;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
CGSRC-FOUNDER-0010,Canon adoption package: c0_023_c0_035_lock_readiness,c0_023_c0_035_lock_readiness,docs/canon/adoptions/c0_023_c0_035_lock_readiness,FOUNDER_AUTHORITY,CONTROLLING,,,Founder,docs/canon/adoptions/c0_023_c0_035_lock_readiness/C0_023_C0_035_DEPENDENCY_SNAPSHOT.json,aeb5cf5fa8426967fd8c7eaac83227137a6573215345860df43a78290873f956,VERIFIED_DIRECTORY_AGGREGATE,YES,DIRECTORY_AGGREGATE,,,ES-CG-00;ES-CG-01;ES-CG-13;ES-CG-04;ES-CG-12;ES-CG-10,authority;architecture,,,CURRENT,,Adoption package grants documentary/canon authority only as stated; no implementation or activation authority.,REPOSITORY_NATIVE_WITH_RETAINED_GAPS,REVIEWED,905f9503e3d3a2dad7d74599fa53efa3eaee240d,,
