field_name,definition,data_type,required_or_optional,permitted_values,null_treatment,source_of_truth,validation_rule,example,prohibited_use,relationship_to_other_registers
record_id,record id,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,record_id_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
record_classification,record classification,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,record_classification_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
originating_source,originating source,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,originating_source_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
affected_requirement_or_control,affected requirement or control,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,affected_requirement_or_control_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
affected_product_surface,affected product surface,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,affected_product_surface_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
affected_actors,affected actors,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,affected_actors_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
severity,severity,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,severity_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
severity_rationale,severity rationale,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,severity_rationale_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
likelihood,likelihood,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,likelihood_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
impact,impact,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,impact_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
exploitability_where_relevant,exploitability where relevant,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,exploitability_where_relevant_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
user_harm_analysis_where_relevant,user harm analysis where relevant,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,user_harm_analysis_where_relevant_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
safeguarding_relevance,safeguarding relevance,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,safeguarding_relevance_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
privacy_relevance,privacy relevance,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,privacy_relevance_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
financial_relevance,financial relevance,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,financial_relevance_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
health_or_welfare_relevance,health or welfare relevance,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,health_or_welfare_relevance_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
owner,owner,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,owner_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
accountable_authority,accountable authority,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,accountable_authority_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
creation_date,creation date,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,creation_date_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
due_date,due date,string,required,controlled by validator or source register where applicable,empty allowed only when evidence is absent and gap is explicit,06_FINDINGS_RISKS_EXCEPTIONS_WAIVERS/FINDINGS_RISKS_EXCEPTIONS_WAIVERS_REGISTER.csv,required column present; enum and relationship checks where implemented,due_date_example,must not infer adoption activation implementation production merge certification or closure,"linked by stable id, source path, PR number, or document number"
